N	2gram	Vinokur_Ku	Problema
1	и в	44	182
2	и не	23	152
3	вовсе не	18	145
4	то что	14	144
5	не есть	4	113
6	не только	29	104
7	потому что	40	89
8	в этом	31	88
9	может быть	25	82
10	в том	47	81
11	том что	30	81
12	не просто	7	80
13	только в	15	73
14	сказать что	5	72
15	но и	13	70
16	в виде	1	69
17	у нас	19	68
18	также и	7	68
19	и даже	5	66
20	по себе	10	64
21	даже и	5	63
22	не менее	12	58
23	о том	10	57
24	тем не	10	56
25	а не	17	56
26	так и	10	56
27	но в	11	55
28	так что	5	52
29	ни в	3	51
30	для нас	6	50
31	в себе	4	48
32	отнюдь не	5	48
33	и вообще	1	48
34	смысле слова	3	47
35	было бы	28	46
36	прежде всего	14	45
37	в своей	4	45
38	что в	25	44
39	в его	16	44
40	не в	18	43
41	все эти	17	43
42	то же	12	42
43	а именно	4	42
44	как раз	10	42
45	таким образом	17	42
46	если мы	5	42
47	и что	11	40
48	и то	7	40
49	что он	7	40
50	так как	16	40
51	что мы	6	40
52	во всяком	8	39
53	не может	13	39
54	такого рода	1	39
55	и тем	7	39
56	в этой	8	39
57	как бы	11	39
58	той или	1	38
59	в данном	8	38
60	хотя бы	19	37
61	никак не	5	37
62	в нем	7	37
63	того что	11	37
64	точки зрения	25	36
65	есть нечто	2	36
66	еще не	10	36
67	и все	4	36
68	когда мы	3	35
69	и т	62	35
70	в виду	7	34
71	уже не	13	34
72	и с	11	34
73	как и	3	34
74	указывает на	2	34
75	в таком	3	33
76	не является	2	33
77	т д	21	33
78	или иной	3	33
79	здесь не	5	32
80	в то	4	32
81	но не	11	32
82	едва ли	1	32
83	так же	8	31
84	в своем	4	31
85	связи с	8	31
86	что такое	8	31
87	в конце	5	31
88	но это	4	31
89	все это	10	31
90	ясно что	7	30
91	подобного рода	4	30
92	и для	3	30
93	с другой	14	30
94	настоящее время	2	30
95	в настоящее	2	30
96	в связи	4	29
97	некоторого рода	1	29
98	все же	17	29
99	можно сказать	6	29
100	перед нами	4	29
101	как мы	2	29
102	об этом	4	29
103	что же	11	28
104	данном случае	2	28
105	мы не	1	28
106	а в	7	28
107	есть только	1	28
108	и о	3	28
109	и это	3	27
110	и как	3	27
111	хотя и	7	27
112	ничего общего	2	27
113	ничего не	6	27
114	в результате	8	26
115	другой стороны	12	26
116	крайней мере	11	26
