N	3gram	Tiupa_Anal	formyVre
1	и т п	3	32
2	то же время	7	21
3	в то же	9	18
4	в связи с	2	15
5	с точки зрения	6	15
6	друг с другом	2	13
7	для того чтобы	3	12
8	но и в	3	12
9	не только в	3	11
10	до сих пор	1	10
11	и того же	2	9
12	одного и того	2	9
13	в том числе	3	8
14	не может быть	17	7
15	в отличие от	8	7
16	в этом отношении	5	7
17	прежде всего в	2	7
18	в том же	1	6
19	и в этом	4	6
20	имеем в виду	1	6
21	во всех этих	1	6
22	пространственных и временных	1	6
23	с одной стороны	6	6
24	в том что	13	5
25	том числе и	1	5
26	то есть в	2	5
27	той или иной	8	5
28	как и в	2	5
29	одно и то	2	5
30	и то же	2	5
31	мы имеем в	1	5
32	в широком смысле	2	5
33	по отношению к	9	4
34	и во всех	1	4
35	в этом ряду	3	4
36	как если бы	1	4
37	с другой стороны	2	4
38	равно как и	1	4
39	с самим собою	1	4
40	включает в себя	1	4
41	в этом случае	4	4
42	во всяком случае	1	4
43	в той или	3	3
44	и как бы	1	3
45	о том как	1	3
46	до известной степени	1	3
47	сами по себе	3	3
48	в зависимости от	1	3
49	а не в	3	3
50	как мы увидим	1	3
51	как раз и	2	3
52	то же самое	3	3
53	вместе с тем	1	3
54	и в частности	1	3
55	но в то	2	3
56	о том что	8	3
57	и в сущности	1	3
58	из того же	1	3
59	также и в	1	3
60	можно сказать что	1	2
61	по природе своей	3	2
62	в частности в	2	2
63	начало и конец	1	2
64	и вместе с	1	2
65	в соответствии с	2	2
66	в данном случае	3	2
67	а вовсе не	1	2
68	к тому же	6	2
69	в произведении и	1	2
70	же время они	1	2
71	его то есть	1	2
72	произведения в его	2	2
73	все без исключения	1	2
74	в нашем случае	3	2
75	в борьбе с	2	2
76	а как бы	1	2
77	в свою очередь	1	2
78	почти вовсе не	1	2
79	не только для	1	2
80	нет ничего что	1	2
81	и должно быть	1	2
82	и та же	1	2
83	то есть без	1	2
84	не было и	1	2
85	в какой-то степени	1	2
86	здесь как и	1	2
87	в процессе его	1	2
88	и в самом	3	2
89	жизни но и	1	2
90	во всех своих	1	2
91	со всех сторон	1	2
92	к тому что	2	2
93	жизнь и смерть	1	2
94	с самим собой	2	2
95	одна и та	1	2
96	по своей природе	1	2
97	внешнее и внутреннее	1	2
98	времени и пространстве	5	2
99	если бы он	1	2
100	в основе своей	2	2
101	биографической жизнью человека	1	1
102	то что на	1	1
103	в самом начале	3	1
104	в осмысленном и	1	1
105	как и во	1	1
106	а отнюдь не	1	1
107	в его событийной	1	1
108	композиции произведения он	1	1
109	в композиции произведения	1	1
110	те же слова	1	1
111	же самое время	2	1
112	с ним как	1	1
113	в себе в	1	1
114	в применении к	1	1
115	уже не могут	1	1
116	в той же	1	1
117	как раз не	1	1
118	в литературе нового	1	1
119	состоит именно в	1	1
120	только для того	1	1
121	произведения он расчленяет	1	1
122	на каждом из	2	1
123	и тогда когда	2	1
124	и временных примет	1	1
125	в этом смысле	3	1
126	но и на	1	1
127	и имеет отношение	1	1
128	в эпосе в	1	1
129	и даже в	1	1
130	только в том	1	1
131	хотя бы и	1	1
132	с этой точки	2	1
133	в самом деле	3	1
134	или правдивейшую исповедь	1	1
135	я и другого	2	1
136	и частной жизни	1	1
137	не только его	1	1
138	произведение в его	1	1
139	литературного произведения в	6	1
140	он создал автобиографию	1	1
141	тем не менее	3	1
142	и в пределах	2	1
143	для того и	1	1
144	при этом отнюдь	1	1
145	с ним в	1	1
146	самого рассказывания в	1	1
147	более или менее	2	1
148	первой из них	1	1
149	мертвых но и	1	1
150	вместе с ними	1	1
151	на себе и	1	1
152	более высокой ступени	1	1
153	с другом в	1	1
154	событие о котором	1	1
155	ее остается вне	1	1
156	человека но мы	1	1
157	встречаем его то	1	1
158	по своему содержанию	1	1
159	точки зрения может	1	1
160	его активность прежде	1	1
161	может иметь место	1	1
162	даже если он	1	1
163	место в событии	1	1
164	в особенности же	1	1
165	и в словах	1	1
166	место слияние пространственных	1	1
167	событие самого рассказывания	2	1
168	по аналогии с	1	1
169	по себе они	1	1
170	как мы это	1	1
171	в разные времена	1	1
172	могут быть только	1	1
173	как она была	1	1
174	и все же	2	1
175	встречаемся с ним	1	1
176	имеет место слияние	1	1
177	автобиографию или правдивейшую	1	1
178	о нем но	1	1
179	точки зрения в	1	1
180	а затем и	1	1
181	мы и сами	1	1
182	участвуем как слушатели-читатели	1	1
183	того чтобы быть	1	1
184	до некоторой степени	1	1
185	не только на	1	1
186	как с творцом	1	1
187	но и как	1	1
188	создавший ее остается	1	1
189	романа мы имеем	1	1
