N	3gram	Savitsky_E	StatiiOP
1	в том что	6	47
2	и т д	1	32
3	в этом отношении	3	24
4	для того чтобы	5	19
5	с точки зрения	16	14
6	с другой стороны	2	13
7	во всяком случае	3	13
8	не может быть	2	11
9	то же время	14	9
10	на то что	2	9
11	в то же	15	9
12	дело в том	1	9
13	можно было бы	3	9
14	к тому что	1	8
15	не только в	4	8
16	в данном случае	2	7
17	но также и	1	7
18	заключается в том	2	7
19	в то время	1	7
20	и в этом	4	7
21	так же как	5	6
22	в этом смысле	3	6
23	так и в	2	6
24	речь идет о	1	6
25	в том смысле	1	6
26	в одном из	2	6
27	то время как	1	5
28	в том же	1	5
29	с тем что	1	5
30	но и в	1	5
31	в одной из	1	5
32	что же касается	1	5
33	то что в	2	5
34	в применении к	3	4
35	с одной стороны	8	4
36	в связи с	1	4
37	к сожалению не	1	4
38	того или иного	4	4
39	каждого из них	1	3
40	том смысле что	1	3
41	и в этих	1	3
42	можно сказать что	3	3
43	то или иное	1	3
44	говоря уже о	1	3
45	в том числе	1	3
46	более или менее	1	3
47	сказать что в	2	3
48	во многих случаях	1	3
49	к тому же	1	3
50	на этот раз	1	3
51	бы то ни	4	3
52	т е не	1	3
53	и только в	2	3
54	и не в	1	3
55	только в том	2	3
56	в известном смысле	3	3
57	в каком смысле	1	3
58	не говоря уже	2	3
59	в лучшем случае	1	3
60	в значительной степени	1	3
61	во всех этих	1	3
62	было бы совершенно	1	3
63	что в области	1	3
64	прежде всего в	2	3
65	в ряде случаев	1	2
66	в эту эпоху	1	2
67	в той или	3	2
68	хотя бы и	3	2
69	что мы знаем	1	2
70	он считает что	1	2
71	том числе и	1	2
72	независимо от того	1	2
73	и в то	8	2
74	в отличие от	1	2
75	русской истории и	1	2
76	только в виде	1	2
77	что в этом	1	2
78	то ни было	4	2
79	не может не	1	2
80	только тогда когда	1	2
81	а также и	1	2
82	в свою очередь	2	2
83	чуть ли не	1	2
84	той или иной	4	2
85	вовсе не в	1	2
86	по большей части	1	2
87	на этот вопрос	1	2
88	кажется что в	1	2
89	отметить что в	1	2
90	но в то	2	2
91	как мы видели	2	2
92	как бы ни	3	2
93	между прочим и	2	2
94	может быть и	1	2
95	с другой и	1	1
96	между тем некоторые	1	1
97	принадлежат к числу	1	1
98	в последние годы	3	1
99	же время не	1	1
100	ни на минуту	1	1
101	плоть от плоти	1	1
102	во многом на	1	1
103	одной стороны в	1	1
104	в известной степени	3	1
105	в большинстве случаев	2	1
106	для того же	1	1
107	по сравнению с	2	1
108	то что с	1	1
109	та и другая	1	1
110	независимо от этого	1	1
111	случае она не	1	1
112	с этой точки	5	1
113	как и другие	1	1
114	западной европой и	1	1
115	друг от друга	2	1
116	и не имеет	2	1
117	совершенно очевидно что	1	1
118	во многих отношениях	1	1
119	при помощи которого	1	1
120	было бы неправильно	1	1
121	в том случае	1	1
122	того что в	2	1
123	смысле этого слова	1	1
124	в отношении к	12	1
125	вместо того чтобы	1	1
126	уже и сейчас	1	1
127	само по себе	4	1
128	как и всякая	1	1
129	это один из	1	1
130	в соответствии с	1	1
131	что в таком	1	1
132	по себе не	2	1
133	выпала на долю	1	1
134	и та и	1	1
135	в ошибках и	1	1
136	его жизни но	1	1
137	не входя в	1	1
138	в пределах данной	1	1
139	это значит что	1	1
140	и в качестве	1	1
141	в каком же	1	1
142	мысль о возможности	1	1
143	но так как	1	1
144	к участию в	1	1
145	а также от	1	1
146	отметить что эти	1	1
147	между тем в	3	1
148	с западной европой	1	1
149	как будто к	1	1
150	друг к другу	1	1
151	это может быть	1	1
152	что в смысле	1	1
153	было связано с	1	1
154	в значительной мере	1	1
155	на своем пути	1	1
156	и далее в	1	1
157	и всякая иная	1	1
158	до него не	1	1
159	в отношении которого	1	1
160	и в отношении	1	1
161	этой точки зрения	5	1
162	ту или иную	3	1
163	в некоторых случаях	1	1
164	не имеет шансов	1	1
165	и не было	1	1
166	во внимание что	1	1
167	поскольку речь идет	1	1
168	говорить о том	1	1
169	связи с этим	1	1
170	не к тому	1	1
171	xviii и xix	2	1
172	что и сам	1	1
173	но как бы	1	1
174	это можно утверждать	1	1
175	но в отношении	1	1
176	каких бы то	2	1
177	во всех случаях	3	1
178	не означает что	1	1
179	и в частности	2	1
180	но и во	1	1
181	прежде всего к	2	1
182	именно в той	1	1
183	и притом в	2	1
184	то в отношении	1	1
185	в той области	1	1
186	какова должна быть	1	1
187	не быть в	1	1
188	хотя бы в	2	1
189	же как и	3	1
190	не могут быть	1	1
191	не только ее	1	1
192	смысле что оно	1	1
193	представление о том	1	1
194	самое простое и	1	1
195	во второй половине	2	1
196	не является ли	3	1
197	при прочих равных	1	1
198	с другой в	1	1
199	между тем для	1	1
200	не исключает возможности	1	1
201	можно думать что	3	1
202	начиная с г	1	1
203	и не только	1	1
204	бы ни была	1	1
205	также и в	1	1
206	могут быть установлены	1	1
207	в своей идеологии	1	1
208	к западной европе	1	1
209	нам кажется что	2	1
