N	3gram	Losev_Vlad	Morfolog
1	и т д	3	60
2	в этом случае	1	10
3	не может быть	4	9
4	в связи с	7	9
5	мы увидим ниже	4	6
6	тем не менее	8	6
7	как мы увидим	2	5
8	с другой стороны	3	5
9	а также и	2	5
10	в том что	13	4
11	в тех же	2	4
12	к тому что	1	4
13	но все же	1	4
14	на то что	6	3
15	о том что	9	3
16	для того чтобы	3	3
17	в настоящее время	2	3
18	в то время	6	3
19	бы то ни	2	3
20	то время как	2	3
21	и тем не	1	2
22	к чему не	1	2
23	ни к чему	1	2
24	дело не в	1	2
25	то что в	1	2
26	потому что его	1	2
27	более или менее	5	2
28	хотя и не	2	2
29	т д в	1	2
30	не что иное	2	2
31	точно так же	2	2
32	мы уже видели	1	2
33	то ни было	1	2
34	во всяком случае	8	2
35	что иное как	2	2
36	с одной стороны	1	2
37	в таких случаях	1	2
38	в этом отношении	2	2
39	мы не будем	1	2
40	оно может быть	1	2
41	может быть и	1	2
42	можно себе представить	1	1
43	есть не что	1	1
44	ответить на вопрос	1	1
45	в свою очередь	2	1
46	и тот же	2	1
47	но кроме того	1	1
48	мы уже знаем	1	1
49	за это время	2	1
50	не столько по	1	1
51	до известной степени	1	1
52	то что он	6	1
53	но и здесь	1	1
54	и сразу же	1	1
55	здесь перед нами	1	1
56	на обратном пути	2	1
57	и действительно в	1	1
58	один и тот	2	1
59	ни в каких	2	1
60	в первый раз	1	1
61	что же касается	8	1
62	а в с	1	1
63	с ними и	1	1
64	но это нисколько	1	1
65	но как бы	1	1
66	можно сказать что	3	1
67	во что бы	1	1
68	потому что в	2	1
69	здесь мы имеем	1	1
70	в то же	7	1
71	но и его	1	1
72	и то же	1	1
73	как мы уже	3	1
74	дает нам возможность	1	1
75	в нашем распоряжении	1	1
76	мы будем говорить	2	1
77	уже не может	1	1
78	и другие материалы	1	1
79	что бы то	1	1
80	не потому что	1	1
81	то же с	1	1
82	так как это	1	1
83	же время и	1	1
84	в подробности этой	1	1
85	одно и то	1	1
86	это нисколько не	2	1
87	большей частью в	1	1
88	в этой области	1	1
89	если бы мы	1	1
90	входить в подробности	1	1
91	или вовсе не	1	1
92	всяком случае это	1	1
93	из них не	2	1
94	том что он	4	1
95	может быть названа	1	1
96	в высшей степени	1	1
97	бы мы имели	1	1
98	можно сказать о	1	1
99	а для того	1	1
100	указанием на то	1	1
101	в целом и	1	1
102	и по существу	2	1
103	между прочим и	2	1
104	то же время	7	1
105	не то что	2	1
106	но это не	2	1
107	уже не только	2	1
108	что и в	2	1
109	после того как	2	1
110	что несмотря на	1	1
111	он не может	1	1
112	только в тех	1	1
113	того чтобы начать	1	1
114	то ни стало	1	1
