N	4gram	Vygotskiy_	DiskursI
1	в то же время	1	8
2	состоит в том что	3	7
3	с одной стороны и	4	5
4	одного и того же	3	4
5	в том что в	2	3
6	в том числе и	2	3
7	одно и то же	3	3
8	той мере в какой	2	2
9	в той мере в	2	2
10	и не может быть	2	2
11	одной и той же	5	2
12	одним и тем же	2	2
13	в одно и то	1	2
14	обстоит дело в этом	1	1
15	не что иное как	1	1
16	только после того как	1	1
17	прежде всего в том	1	1
18	как мы видели не	1	1
19	но в конечном счете	1	1
20	можно говорить и о	1	1
21	в одной и той	3	1
22	одном отношении в отношении	1	1
23	развития с точки зрения	1	1
24	говорить не только о	1	1
25	той ситуации в которой	1	1
26	об одном и том	3	1
27	в том что всякое	1	1
28	только в одном отношении	1	1
29	внимание на то что	2	1
30	нет и не может	2	1
31	в том что они	1	1
32	в одном отношении в	1	1
33	всего в том что	1	1
34	в такой же мере	3	1
35	только в том что	2	1
36	том что он не	1	1
37	одном и том же	3	1
38	заключается в том что	9	1
39	в том что он	2	1
40	только по отношению к	1	1
41	можно говорить не только	1	1
42	мы имеем дело с	1	1
43	проявляется не только в	1	1
44	есть не что иное	1	1
