N	3gram	Voloshinov	EvropaiC
1	в том что	9	16
2	до сих пор	3	15
3	по отношению к	11	11
4	друг с другом	1	9
5	с точки зрения	15	8
6	а между тем	1	8
7	для того чтобы	3	7
8	мы знаем что	6	7
9	на самом деле	4	7
10	мы говорили выше	1	6
11	сих пор не	1	5
12	по сравнению с	1	5
13	в самом деле	10	5
14	не может быть	14	4
15	о том что	3	4
16	и без того	1	4
17	тем не менее	4	4
18	в конце концов	2	4
19	в этом случае	1	4
20	может быть и	6	4
21	заключается в том	2	3
22	в целом ряде	1	3
23	в том же	1	3
24	в настоящее время	1	3
25	таким образом в	2	3
26	все же не	1	3
27	так же как	1	3
28	то ни было	2	3
29	в данном случае	4	3
30	бы то ни	3	3
31	в вопросе о	1	2
32	не может служить	1	2
33	в свою очередь	4	2
34	о которой мы	1	2
35	но вместе с	2	2
36	во всяком случае	8	2
37	которой мы говорили	1	2
38	и может быть	2	2
39	во всех этих	1	2
40	друг на друга	1	2
41	то что это	1	2
42	что же касается	3	2
43	а следовательно и	2	2
44	в то время	1	2
45	в то же	6	2
46	но и его	1	2
47	ничего общего с	1	2
48	как и все	1	2
49	в одну группу	1	2
50	а с другой	2	2
51	том что он	2	2
52	в высшей степени	6	2
53	из того же	1	2
54	но все же	1	2
55	только то что	3	2
56	в такой форме	1	2
57	с одной стороны	2	2
58	то же время	6	2
59	но так как	1	2
60	при таких условиях	1	2
61	мы видели что	3	1
62	в индивидуальном сознании	1	1
63	роль в развитии	1	1
64	благодаря тому что	2	1
65	однако мы знаем	1	1
66	потому не может	1	1
67	ничем не лучше	1	1
68	превратив его в	1	1
69	а может быть	1	1
70	и у нас	1	1
71	а как бы	1	1
72	которой он принадлежит	1	1
73	все то что	3	1
74	мы можем не	1	1
75	этому требованию и	1	1
76	культуры но и	1	1
77	мы уже знаем	3	1
78	только одно из	1	1
79	даже если признать	1	1
80	мы находим в	1	1
81	в более позднее	1	1
82	который как мы	1	1
83	борьбе за существование	1	1
84	из него только	1	1
85	в противоречие с	1	1
86	как мы знаем	1	1
87	по крайней мере	1	1
88	в данный момент	1	1
89	основе их лежит	1	1
90	как бы синтез	1	1
91	и все другие	1	1
92	и в дальнейшем	1	1
93	то направление в	1	1
94	но мы знаем	2	1
95	в себе и	1	1
96	но в целом	1	1
97	во всех отношениях	1	1
98	лет тому назад	1	1
99	для этого нужно	2	1
100	и в нем	1	1
101	не отличается от	2	1
102	и той же	3	1
103	они не могут	1	1
104	с этим понятием	1	1
105	что в данном	1	1
106	только с точки	1	1
107	только в этом	1	1
108	не имея возможности	1	1
109	самом деле если	1	1
110	чтобы ответить на	1	1
111	мы можем определить	1	1
112	к дальнейшему развитию	1	1
113	что если это	1	1
114	во многих отношениях	1	1
115	хотя и не	1	1
116	но при этом	1	1
117	именно в этой	1	1
118	что он сам	2	1
119	каких бы то	1	1
120	те же самые	1	1
121	дело в том	1	1
122	иметь в виду	1	1
123	смысле этого слова	1	1
124	одно и то	1	1
125	что все эти	3	1
126	в этом пункте	1	1
127	как мы видели	8	1
128	в зависимости от	4	1
129	между тем как	1	1
130	одна на другую	1	1
131	одной и той	3	1
132	мы не знаем	1	1
133	но для этого	1	1
134	можно было бы	1	1
135	целом ряде других	1	1
136	а потому и	3	1
137	и таким образом	1	1
138	как бы ни	1	1
139	в голову не	1	1
140	и в голову	1	1
141	направление в котором	1	1
142	с самого начала	5	1
143	к которой он	1	1
144	точки зрения настоящего	1	1
145	и то же	1	1
146	самом деле ведь	1	1
147	не без влияния	1	1
148	не только не	1	1
149	но именно в	1	1
150	уже знаем что	1	1
151	в его душе	1	1
152	в борьбу с	1	1
153	точки зрения на	1	1
154	то обстоятельство что	2	1
155	на первый взгляд	1	1
156	то же самое	2	1
157	и все прочие	1	1
158	и все же	1	1
159	по этому вопросу	1	1
160	к тому что	2	1
161	таким образом этот	1	1
162	все же остается	1	1
163	с большим трудом	1	1
164	в котором они	1	1
165	то что мы	2	1
166	из того что	1	1
167	то увидим что	1	1
168	таким образом и	1	1
169	является одним из	1	1
170	из него все	1	1
171	в основе их	1	1
172	теперь мы должны	3	1
173	во всех странах	1	1
174	нет и не	3	1
175	и социальной среды	1	1
176	упускать из виду	1	1
177	тот или иной	1	1
178	и не может	3	1
179	если мы будем	1	1
180	мы уже сказали	1	1
181	более позднее время	1	1
182	это было бы	1	1
