N	2gram	Trubetskoy	KFilosof
1	может быть	17	45
2	в его	5	42
3	в нем	3	32
4	не может	18	29
5	и не	9	28
6	и в	24	28
7	по отношению	11	26
8	в котором	2	24
9	не есть	4	22
10	для меня	4	22
11	отношению к	11	22
12	в себе	5	21
13	только в	6	18
14	и его	2	18
15	в своем	12	17
16	в ее	1	17
17	а не	1	17
18	в этом	13	15
19	для него	2	13
20	не в	9	13
21	точки зрения	14	13
22	к нему	2	12
23	но не	3	12
24	и это	3	12
25	в своей	1	11
26	все эти	19	11
27	во всех	10	11
28	из себя	10	11
29	все это	13	10
30	это не	3	10
31	с точки	8	10
32	от себя	2	10
33	и для	6	10
34	в целом	5	10
35	в их	4	9
36	и все	9	9
37	но и	11	9
38	как бы	10	9
39	не было	2	8
40	если бы	8	8
41	в мире	6	8
42	со стороны	1	8
43	было бы	3	8
44	лишь в	5	8
45	в себя	2	8
46	жизни и	2	8
47	во всем	3	7
48	что и	7	7
49	должен быть	2	7
50	вовсе не	2	7
51	уже не	1	7
52	совершенно не	4	7
53	то что	18	7
54	конечно не	3	7
55	но лишь	1	7
56	для себя	2	7
57	и только	2	7
58	отнюдь не	2	7
59	ее и	4	6
60	должно быть	5	6
61	но все	5	6
62	в моем	1	6
63	я не	2	6
64	не имеет	2	6
65	и я	1	6
66	смысл и	1	6
67	в том	31	6
68	и их	5	6
69	отношение к	4	6
70	он не	4	6
71	мира в	1	6
72	то же	4	5
73	ко всему	2	5
74	не только	10	5
75	с ним	6	5
76	но как	2	5
77	его в	5	5
78	не знает	2	5
79	в основе	2	5
80	есть лишь	1	5
81	но в	5	5
82	именно в	5	5
83	как и	10	5
84	все же	15	5
85	жизни в	1	5
86	себя и	2	5
87	еще не	6	5
88	что я	1	5
89	хотя бы	4	5
90	от своей	2	5
91	а в	3	5
92	я и	1	5
93	культуры и	11	5
94	никогда не	4	5
95	что в	9	4
96	должна быть	6	4
97	и весь	2	4
98	при этом	9	4
99	ни было	3	4
100	что это	5	4
101	для нас	3	4
102	прежде всего	3	4
103	с другим	1	4
104	в своих	2	4
105	нет в	2	4
106	с ними	2	4
107	том что	20	4
108	и жизни	1	4
109	входит в	1	4
110	во всей	2	4
111	не по	1	4
112	между тем	12	4
113	здесь мы	1	4
114	ценности и	2	4
115	тем самым	3	4
116	и т.д	4	4
117	к ним	2	4
118	быть в	1	4
119	всех своих	1	4
120	себя а	1	4
121	из него	2	4
122	ближе к	3	3
123	от него	3	3
124	и может	3	3
125	та же	4	3
126	культурные ценности	1	3
127	и на	6	3
128	и пр	1	3
129	мы не	1	3
130	ним и	1	3
131	тогда когда	3	3
132	того что	7	3
133	на самом	7	3
134	ясно что	8	3
135	а все	1	3
136	в виду	2	3
137	самом деле	12	3
