N	3gram	Trubetskoy	Otkroven
1	у него в	1	5
2	природы но и	1	3
3	для того чтобы	5	3
4	с тем что	1	2
5	не может быть	1	2
6	нет ничего кроме	1	2
7	и никогда не	1	2
8	и в этом	2	2
9	о том что	4	1
10	в том что	3	1
11	не в том	1	1
12	друг с другом	5	1
13	русский человек всегда	1	1
14	в этот период	1	1
15	чтобы не иметь	1	1
16	и все же	1	1
17	в самом деле	1	1
18	смысле этого слова	1	1
19	подойти к этой	1	1
20	во всяком случае	6	1
21	не имеет ни	1	1
22	как бы в	1	1
23	о том как	1	1
24	в этом отношении	2	1
25	между этими двумя	2	1
26	все это было	1	1
27	по сравнению с	2	1
28	потому что в	1	1
29	все что связано	1	1
30	на то что	2	1
31	заключает в себе	2	1
32	и в духовном	1	1
33	людей но и	1	1
34	после того как	1	1
35	друг к другу	1	1
