N	4gram	Voloshinov	Myslijsy
1	в то же время	1	13
2	но тем не менее	2	10
3	одно и то же	2	7
4	один и тот же	1	4
5	в то время как	1	4
6	все более и более	1	4
7	дело в том что	4	4
8	и в этом смысле	1	4
9	одним и тем же	1	4
10	с одной стороны и	2	3
11	если бы не было	1	2
12	бы они ни были	1	2
13	одна и та же	1	2
14	сама по себе не	1	2
15	бы то ни было	3	2
16	и по отношению к	3	2
17	как мы уже сказали	1	1
18	и в истории литературы	1	1
19	в том что все	1	1
20	чтобы убедиться в этом	1	1
21	до сих пор не	1	1
22	и не может быть	1	1
23	что не может быть	1	1
24	по отношению к ним	1	1
25	случае мы имеем дело	1	1
26	в самом деле в	1	1
27	в каком отношении находится	1	1
28	то же время не	1	1
29	так же как и	1	1
30	мы имеем дело с	1	1
31	нам кажется что мы	1	1
