N	3gram	Medvedev_U	Sotsiolo
1	методологии истории литературы	1	3
2	только в этом	1	2
3	в том что	2	2
4	в конце концов	2	2
5	не в том	1	2
6	методология истории литературы	1	1
7	случае пришлось бы	1	1
8	и в то	1	1
9	конечно не в	1	1
10	в то же	3	1
11	а между тем	2	1
12	в конечном счете	4	1
13	с одной стороны	1	1
14	истории литературы как	1	1
15	то же самое	2	1
16	на первый план	1	1
17	наука о литературе	1	1
18	по крайней мере	2	1
19	в этой области	3	1
20	то же время	3	1
21	в противном случае	2	1
22	формальный метод и	1	1
23	и только как	1	1
24	природы изучаемого объекта	1	1
25	дело конечно не	1	1
26	выдвигает на первый	1	1
27	противном случае пришлось	1	1
28	не было бы	1	1
29	исторической поэтики и	1	1
