N	4gram	Vinokur_Ku	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	1	3
3	одно и то же	1	2
4	в самом деле в	1	1
5	какой бы то ни	1	1
6	что мы имеем в	1	1
7	в зависимости от того	1	1
8	по отношению к которому	1	1
9	позицию по отношению к	1	1
10	все более и более	1	1
11	мы имеем в виду	1	1
12	имеем в виду не	1	1
13	уже не может быть	2	1
14	которая находит свое выражение	1	1
15	в то же время	4	1
16	и с другой стороны	1	1
17	находит свое выражение в	1	1
18	зависимости от того кто	1	1
19	с первого же взгляда	1	1
