N	2gram	Berdyaev_O	Analitik
1	не только	11	71
2	и в	19	66
3	но и	13	57
4	в том	5	52
5	может быть	11	52
6	в этом	12	51
7	в частности	1	51
8	как и	6	50
9	и не	13	48
10	а не	11	42
11	том что	2	40
12	так и	2	35
13	в мире	1	31
14	представляет собой	1	30
15	как бы	3	29
16	не может	4	29
17	а в	5	28
18	в его	7	27
19	и его	4	27
20	не в	11	26
21	но не	1	26
22	в себе	3	24
23	не случайно	1	24
24	что в	4	22
25	и даже	1	22
26	в этой	5	22
27	лишь в	7	21
28	о том	3	20
29	в самом	5	19
30	в своей	2	19
31	с его	4	19
32	но в	2	19
33	со стороны	1	17
34	что и	2	16
35	могут быть	3	16
36	то что	5	16
37	и на	2	15
38	не есть	2	15
39	уже не	1	15
40	прежде всего	9	15
41	в сущности	1	15
42	по себе	2	13
43	он не	7	13
44	этого слова	1	13
45	ничего не	2	13
46	для него	5	13
47	и к	2	12
48	и сам	1	12
49	никогда не	9	12
50	как это	1	12
51	как в	1	12
52	еще не	3	12
53	есть не	1	12
54	по своей	1	11
55	это не	3	11
56	и как	1	11
57	не с	1	11
58	нуждается в	1	11
59	все же	2	10
60	в конце	1	10
61	было бы	3	10
62	отношения к	1	10
63	особенно в	1	10
64	один из	1	10
65	говорит о	1	9
66	в своем	2	9
67	в русской	3	9
68	особого рода	1	9
69	того что	3	9
70	о чем	1	8
71	между двумя	1	8
72	о его	5	8
73	с ним	3	8
74	если бы	1	8
75	и все	10	8
76	что он	3	8
77	хотя и	2	8
78	этом отношении	1	8
79	он и	1	8
80	во всяком	1	7
81	в другом	2	7
82	в одном	1	7
83	который в	1	7
84	одна из	1	7
85	по природе	1	7
86	в ее	2	7
87	у него	22	7
88	природе своей	1	7
89	личности и	2	7
90	в свое	1	7
91	в глазах	1	7
92	всяком случае	1	7
93	и для	2	7
94	все это	6	7
95	в новом	1	7
96	как будто	1	7
97	во всем	1	6
98	хотя бы	3	6
99	вовсе не	1	6
100	из них	1	6
101	ключ к	1	6
102	то в	1	6
103	что не	4	6
104	его как	1	6
105	в силу	1	6
106	в нем	10	6
107	он был	8	6
108	самим собой	1	6
109	и более	1	6
110	и состоит	1	6
111	в сознании	1	6
112	и то	2	6
113	уже в	2	6
114	его в	2	6
115	все что	3	5
116	не так	1	5
117	в этих	3	5
118	в них	1	5
119	мысль о	2	5
120	тем что	2	5
121	ведет к	1	5
122	в котором	1	5
123	для того	3	5
124	может служить	1	5
125	к этому	2	5
126	и он	8	5
127	будто бы	1	5
128	и до	1	5
129	а с	1	5
130	так что	2	5
131	и потому	2	5
132	и здесь	1	5
133	не могут	3	5
134	самом деле	1	5
135	к его	1	5
136	жизни в	2	5
137	да и	1	5
138	совершенно не	1	5
139	на примере	1	5
140	он в	2	5
