N	4gram	Vinokur_St	Hudozhes
1	в то же время	5	7
2	одно и то же	1	3
3	в том числе и	2	2
4	и в самом деле	2	2
5	в том что он	3	2
6	бы то ни было	1	2
7	в той или иной	1	2
8	и в то же	1	2
9	бы они ни были	1	1
10	той мере в какой	2	1
11	том что он не	2	1
12	иметь в виду что	1	1
13	относится не только к	1	1
14	в том отношении что	2	1
15	заключается в том что	3	1
16	и в том отношении	1	1
17	в той мере в	2	1
18	в том что она	1	1
19	и по отношению к	1	1
20	языка не может быть	1	1
21	можно даже сказать что	1	1
22	по тем или иным	1	1
23	то же время оно	1	1
24	но в то же	2	1
25	не может быть и	1	1
26	одним и тем же	2	1
27	мы имеем дело с	1	1
28	точно так же как	1	1
