N	4gram	Vinokur_Vv	Literetu
1	в то же время	6	21
2	состоит в том что	2	8
3	не говоря уже о	1	6
4	с этой точки зрения	2	5
5	бы то ни было	1	4
6	с одной стороны и	3	3
7	но с другой стороны	1	3
8	только в том что	1	2
9	до тех пор пока	1	2
10	дело в том что	3	2
11	и в самом деле	3	2
12	не только в том	1	2
13	дело не только в	1	2
14	одно и то же	2	2
15	в целом ряде других	1	1
16	представляет собой одно из	1	1
17	не что иное как	5	1
18	в этом втором случае	1	1
19	и прежде всего в	1	1
20	и тем не менее	3	1
21	в руках у нас	1	1
22	уже шла речь в	1	1
23	в том что в	1	1
24	одного и того же	2	1
25	в принципе не может	1	1
26	то же время в	1	1
27	в том что он	1	1
28	принципе не может быть	1	1
29	а в том чтобы	1	1
30	и в целом ряде	1	1
31	тех пор пока не	1	1
32	в той или иной	1	1
33	но в то же	3	1
34	какой бы то ни	1	1
35	мы имеем дело с	1	1
