N	2gram	Kanaev_Sov	Literetu
1	а не	3	50
2	и не	6	47
3	не только	4	46
4	и в	7	44
5	может быть	12	43
6	при этом	3	41
7	в том	4	39
8	в этом	7	38
9	том что	1	32
10	такого рода	2	30
11	в мире	1	28
12	то же	3	26
13	как и	6	23
14	в то	1	23
15	не в	3	22
16	не может	17	22
17	же время	1	21
18	и т.п	1	20
19	в себе	3	20
20	прежде всего	5	19
21	как бы	4	18
22	с другой	1	17
23	точки зрения	12	17
24	в его	2	17
25	в этой	3	16
26	не менее	2	15
27	только в	1	15
28	в целом	4	15
29	и даже	2	14
30	по отношению	1	14
31	уже не	2	13
32	в своем	1	13
33	с одной	2	13
34	но не	1	13
35	и его	1	13
36	о том	1	12
37	в данном	1	12
38	одной стороны	1	12
39	еще не	3	12
40	отношению к	1	12
41	в другом	1	11
42	никогда не	1	11
43	в конечном	1	11
44	еще в	1	11
45	вместе с	4	11
46	в отличие	2	11
47	с его	1	11
48	данном случае	1	11
49	это не	4	11
50	отличие от	2	11
51	а в	4	11
52	конечном счете	1	10
53	из них	4	10
54	не случайно	1	10
55	что в	2	10
56	жизни в	1	10
57	жизни и	4	10
58	отнюдь не	3	10
59	в области	3	10
60	связи с	1	9
61	один из	1	9
62	в начале	1	9
63	и т.д	3	9
64	же в	1	9
65	в своих	1	8
66	все же	3	8
67	одна из	3	8
68	того же	1	8
69	с точки	5	8
70	в конце	3	8
71	той же	2	8
72	но в	3	8
73	уже в	3	8
74	xix века	1	8
75	по существу	1	8
76	в самом	2	7
77	в одном	3	7
78	именно в	1	7
79	по преимуществу	1	7
80	он не	1	7
81	в нем	3	7
82	нашего столетия	1	7
83	и для	1	7
84	у нас	3	7
85	так в	1	7
86	человека в	1	7
87	это как	1	7
88	а затем	1	6
89	в третьем	2	6
90	у него	2	6
91	его в	1	6
92	не было	1	6
93	с жизнью	1	6
94	во всех	1	6
95	в каждом	8	6
96	было бы	3	6
97	с ее	1	6
98	самом деле	2	6
99	то и	2	6
100	тем же	2	6
101	одного из	1	6
102	в ней	1	6
103	и только	1	6
104	и наконец	5	6
105	и к	3	5
106	в связи	1	5
107	мы с	2	5
108	жизни как	1	5
109	в нашем	2	5
110	он сам	1	5
111	должно быть	1	5
112	несмотря на	1	5
113	ни было	1	5
114	тем не	2	5
115	не знает	1	5
116	по аналогии	1	5
117	все более	1	5
118	во втором	1	5
119	идет о	1	5
120	и если	1	5
121	так как	4	5
122	мы не	9	5
123	как у	1	5
124	но уже	1	5
125	как он	3	5
126	или иной	2	5
127	но тем	1	4
128	и само	1	4
129	в природе	1	4
130	жизни к	1	4
131	и нет	1	4
132	во всяком	2	4
133	только на	1	4
134	за собой	1	4
135	как мы	2	4
136	во всей	1	4
137	к этому	1	4
138	бы то	1	4
139	хотя и	1	4
140	для своего	1	4
141	все время	1	4
142	что его	1	4
143	на этом	2	4
144	то ни	2	4
145	и что	2	4
146	могут быть	2	4
147	и есть	2	4
148	а потому	1	4
149	со всеми	2	4
150	и все	3	4
151	приводит к	2	4
152	аналогии с	1	4
153	все они	1	4
154	совершенно не	2	4
155	то он	1	4
156	не является	1	4
157	в свою	2	4
158	одной из	1	4
159	но это	1	4
160	таким образом	11	4
161	жизни не	1	4
162	для нас	3	4
163	и прежде	1	4
164	на его	2	4
165	вовсе не	1	4
166	такой же	2	4
167	все что	1	3
168	при которой	1	3
169	по себе	1	3
170	в первом	3	3
171	нет в	1	3
172	вопрос о	4	3
173	он ищет	1	3
174	так же	1	3
175	себе в	1	3
176	свою очередь	2	3
177	и еще	1	3
178	живой жизни	1	3
179	следующим образом	3	3
180	с ним	1	3
181	крайней мере	1	3
182	говорить о	2	3
183	она и	1	3
184	что такое	2	3
185	свободы и	1	3
186	той или	1	3
187	но как	1	3
188	для его	2	3
189	же как	1	3
190	но только	1	3
191	же это	4	3
192	он в	3	3
193	и от	1	3
194	там где	1	3
195	если в	1	3
196	ним и	1	3
197	это уже	1	3
198	из которых	2	3
199	мы в	1	3
200	можно было	1	3
201	если бы	1	3
202	так называемый	1	3
203	они не	1	3
204	не имеет	1	3
205	вследствие этого	1	3
206	которая не	1	3
207	ничего общего	1	3
208	по крайней	1	3
209	такую же	1	3
210	и тогда	1	3
211	и до	1	3
212	как например	1	3
213	что же	5	3
214	в этот	1	3
215	этом с	1	3
216	всяком случае	2	3
217	тот же	2	3
218	ничего не	6	3
219	на самом	1	3
220	все равно	1	3
221	а на	2	3
222	этого не	1	3
223	без остатка	1	3
224	дело в	1	3
225	в ту	1	3
226	в действительности	1	3
227	в какой	1	3
228	все эти	5	3
229	и потому	3	3
230	стороны и	1	3
231	же самое	2	3
232	есть не	1	3
233	еще раз	1	2
234	в свое	1	2
235	на второй	1	2
236	в результате	6	2
237	ценность и	1	2
238	из двух	3	2
239	на эту	1	2
240	роль в	2	2
241	свою собственную	2	2
242	в самый	1	2
243	раз и	1	2
244	это последнее	1	2
245	между двумя	1	2
246	еще более	2	2
247	так называемых	3	2
248	сказать что	1	2
249	и у	1	2
250	быть в	1	2
251	все перечисленные	1	2
252	к нему	1	2
253	только не	1	2
254	и мы	3	2
255	в такого	1	2
256	но еще	1	2
257	у каждого	3	2
258	и всегда	1	2
259	по мнению	2	2
260	быть только	1	2
261	xviii века	1	2
262	человек и	1	2
263	в живом	2	2
264	так сказать	2	2
265	чтобы он	1	2
266	обычно на	1	2
267	как известно	2	2
268	человека и	1	2
269	и по	2	2
270	та же	1	2
271	и при	1	2
272	человек с	1	2
273	для них	1	2
274	не более	1	2
275	значение в	2	2
276	и будет	2	2
277	можно назвать	2	2
278	что такой	1	2
279	жизни где	1	2
280	каждого из	2	2
281	скажем в	2	2
282	свое время	1	2
283	это и	1	2
284	и более	1	2
285	из этих	2	2
286	в совершенно	1	2
287	но мы	3	2
288	нет и	4	2
289	собой но	1	2
290	может оказаться	1	2
291	то она	1	2
292	жизни но	1	2
293	этом случае	1	2
294	в первый	1	2
295	мы имеем	1	2
296	себя самого	1	2
297	ведь это	3	2
298	о жизни	2	2
299	в любом	1	2
300	при таком	3	2
301	к концу	1	2
302	в такой	1	2
303	пока не	1	2
304	должен быть	1	2
305	в будущем	1	2
306	в таком	2	2
307	она не	1	2
308	опыта как	1	2
309	элементов а	1	2
310	в большинстве	1	2
311	на это	1	2
312	как целого	1	2
313	не можем	7	2
314	только из	1	1
315	в целый	1	1
316	и другую	1	1
317	чем ее	1	1
318	она уже	1	1
319	в некоторых	2	1
320	мы получим	3	1
321	какой бы	1	1
322	мы это	1	1
323	она продолжается	1	1
324	но все	2	1
325	ни одна	2	1
326	уже на	1	1
327	иначе жизнь	1	1
328	стать действительностью	1	1
329	данного вида	1	1
330	само собою	3	1
331	их в	4	1
332	и сделал	1	1
333	и внутренний	1	1
334	в дальнейшем	4	1
335	с этим	2	1
336	при определенных	1	1
337	на этой	3	1
338	при условии	1	1
339	которой он	2	1
340	на ее	1	1
341	путь для	1	1
342	но они	1	1
343	конечно не	1	1
344	и те	1	1
345	не что	1	1
346	бы два	1	1
347	самого начала	3	1
348	потом и	1	1
349	и ответственности	1	1
350	из всех	1	1
351	к которому	1	1
352	в зависимости	4	1
353	это значит	1	1
354	в отдельных	1	1
355	на котором	2	1
356	нас на	1	1
357	в системе	3	1
358	подлежит сомнению	2	1
359	зрения для	1	1
360	могли быть	1	1
361	нельзя сказать	1	1
362	здесь нет	1	1
363	три направления	1	1
364	но отнюдь	1	1
365	теперь же	2	1
366	очередь на	1	1
367	что уже	1	1
368	мы знаем	2	1
369	а далее	1	1
370	утверждает что	1	1
371	что при	2	1
372	своя собственная	1	1
373	в корне	1	1
374	мы ее	1	1
375	чем в	1	1
376	в которой	2	1
377	исчезает из	1	1
378	с самого	3	1
379	но для	1	1
380	на поверхности	1	1
381	между ними	1	1
382	рядом с	1	1
383	из четырех	2	1
384	в эту	1	1
385	жизни вообще	1	1
386	на другом	2	1
387	сих пор	1	1
388	с новой	1	1
389	мы можем	6	1
390	весь мир	1	1
391	системе и	1	1
392	и пространства	2	1
393	развития при	2	1
394	это совершенно	1	1
395	которых в	1	1
396	мы уже	1	1
397	жизнь по	1	1
398	конце xix	1	1
399	человека как	1	1
400	говорить об	2	1
401	в развитии	4	1
402	кто же	1	1
403	определенным образом	1	1
404	образом если	1	1
405	для наших	1	1
406	свобода выбора	1	1
407	сравнительно с	1	1
408	когда мы	3	1
409	оно вообще	1	1
410	тот или	2	1
411	держится на	1	1
412	это делает	1	1
413	процесса и	1	1
414	базируется на	1	1
415	многих его	1	1
416	независимо от	1	1
417	явлениям жизни	1	1
418	в один	2	1
419	и особенно	1	1
420	он должен	2	1
421	мы видели	4	1
422	которая и	1	1
423	до сих	1	1
424	он уже	1	1
425	то само	1	1
426	как одной	1	1
427	и свою	1	1
428	с и	1	1
429	его с	1	1
430	что это	2	1
431	поэтому в	1	1
432	от общего	1	1
433	все те	2	1
434	обратном порядке	1	1
435	определенные условия	1	1
436	не могут	2	1
437	должен был	1	1
438	в обратном	1	1
439	у читателя	1	1
440	мы говорим	1	1
441	это конечно	1	1
442	с общим	2	1
443	и действительно	1	1
444	времени не	1	1
445	в процессе	1	1
446	жизнью на	1	1
447	и соответственно	1	1
448	же природы	1	1
449	может стать	1	1
450	же остается	1	1
451	состоит из	3	1
452	от его	1	1
453	что иное	1	1
454	правда не	1	1
455	своего предмета	2	1
456	том как	1	1
457	зависимости от	4	1
458	он выражается	1	1
459	в известном	1	1
460	к другому	1	1
461	только одно	1	1
462	и жизненных	1	1
463	ее на	2	1
464	этого явления	1	1
465	отличается от	3	1
466	найти то	1	1
467	на какой	1	1
468	не полно	1	1
469	ограничить свою	1	1
470	те или	1	1
471	и вся	1	1
472	они все	1	1
473	и наиболее	1	1
474	она по	1	1
475	времени и	2	1
476	более и	1	1
477	в новых	2	1
478	перед глазами	1	1
479	как будет	1	1
480	его здесь	1	1
481	на две	3	1
482	если мы	4	1
483	и во	2	1
484	же мере	1	1
485	на этот	2	1
486	здесь и	1	1
487	значении в	1	1
488	во внутреннем	1	1
489	к началу	1	1
490	именно к	1	1
491	образом один	1	1
492	поэтому что	1	1
493	и возникал	1	1
494	по своим	1	1
495	как особого	1	1
496	только своей	1	1
497	которых он	1	1
498	этот был	1	1
499	все это	3	1
500	силу и	1	1
501	а все	3	1
502	в виде	2	1
503	если как	1	1
504	роли а	1	1
505	или в	1	1
506	который как	2	1
507	но эта	1	1
508	совсем иное	1	1
509	случая мы	1	1
510	положение в	1	1
511	случае не	1	1
512	каждого элемента	4	1
513	не подлежит	3	1
514	объективной стороны	1	1
515	один и	1	1
516	по его	1	1
517	только и	1	1
518	в условиях	5	1
519	с другом	2	1
520	мысли в	1	1
521	как угодно	2	1
522	этих двух	2	1
523	к одному	1	1
524	и снова	1	1
525	высшей стадии	1	1
526	возникновения и	1	1
527	быть и	2	1
528	новой для	1	1
529	и их	1	1
530	конечно в	2	1
531	ведь если	1	1
532	первые два	2	1
533	становится его	1	1
534	выбора не	1	1
535	о каком	1	1
536	и эта	1	1
537	век век	1	1
538	он с	1	1
539	иное как	1	1
