N	2gram	Tiupa_Anal	Tragedij
1	и в	36	18
2	в романе	3	10
3	в этом	19	9
4	в году	5	9
5	не только	40	8
6	и на	5	7
7	и не	14	7
8	может быть	19	7
9	и с	1	7
10	как бы	14	7
11	он сам	2	7
12	что он	5	6
13	у него	2	6
14	ивана петровича	11	6
15	же время	7	6
16	но в	8	6
17	и его	18	6
18	это не	4	5
19	несмотря на	2	5
20	что это	1	5
21	так и	19	5
22	к жизни	5	5
23	все же	6	5
24	в дальнейшем	2	5
25	то же	7	5
26	как и	27	5
27	не может	3	5
28	в то	8	5
29	что в	15	4
30	в себе	7	4
31	и даже	12	4
32	все это	5	4
33	прежде всего	7	4
34	и все	3	4
35	я не	3	4
36	об этом	3	4
37	еще не	7	4
38	но и	26	4
39	том что	19	4
40	и что	2	4
41	так же	1	4
42	то что	5	4
43	в этой	10	4
44	я люблю	1	4
45	в нем	3	4
46	но это	3	4
47	в целом	8	4
48	своего рода	17	3
49	и он	4	3
50	что с	1	3
51	один из	6	3
52	должно быть	1	3
53	в основном	1	3
54	уже в	5	3
55	в его	12	3
56	для него	8	3
57	в своем	7	3
58	с ним	2	3
59	о чем	5	3
60	и сам	8	3
61	в конце	6	3
62	и как	5	3
63	в мире	17	3
64	как в	9	3
65	своего отца	1	3
66	в поле	1	3
67	то есть	15	3
68	при этом	19	3
69	жизнь и	3	3
70	на страницах	1	3
71	иван петрович	1	3
72	как это	7	3
73	тем самым	8	3
74	с ее	3	3
75	мог бы	3	3
76	как будто	1	3
77	отнюдь не	7	3
78	все эти	2	3
79	в самом	7	2
80	лицо его	2	2
81	не так	2	2
82	и то	2	2
83	человеческой личности	1	2
84	еще раз	1	2
85	и здесь	4	2
86	данном случае	11	2
87	в том	16	2
88	ивана карамазова	1	2
89	это уже	1	2
90	он и	4	2
91	с тем	2	2
92	в ее	5	2
93	по мнению	1	2
94	говорит о	3	2
95	как у	3	2
96	отцом и	1	2
97	что и	10	2
98	из своих	2	2
99	бы и	2	2
100	но при	1	2
101	чем он	1	2
102	по словам	1	2
103	что все	1	2
104	не могут	2	2
105	его в	4	2
106	не в	9	2
107	в первом	2	2
108	даже на	1	2
109	но эта	2	2
110	из самых	1	2
111	от всего	2	2
112	в таком	2	2
113	между этими	1	2
114	ничем не	1	2
115	как говорит	4	2
116	одном из	1	2
117	вопрос о	1	2
118	вряд ли	1	2
119	состоит из	1	2
120	дома и	2	2
121	имеет в	1	2
122	нет в	1	2
123	но особенно	1	2
124	отца и	1	2
125	во сне	3	2
126	уже не	9	2
127	к тому	10	2
128	о том	9	2
129	перед нами	7	2
130	в записках	1	2
131	не был	1	2
132	не имеет	1	2
133	и я	3	2
134	я увидел	1	2
135	на всем	1	2
136	в данном	12	2
137	только к	2	2
138	что этот	1	2
139	отличие от	5	2
140	раз и	1	2
141	он был	3	2
142	потому что	1	2
143	личности и	4	2
144	так что	2	2
145	времени в	3	2
146	в рассказе	1	2
147	он не	9	2
148	по поводу	5	2
149	в частности	19	2
150	на меня	3	2
151	но они	2	2
152	в это	1	2
153	точно так	1	2
154	в одном	4	2
155	говорит что	1	2
156	и до	2	2
157	в глаза	2	2
158	в отличие	5	2
159	его за	2	2
160	отношение к	2	2
161	в ходе	3	2
162	в самую	1	2
163	не за	1	2
164	о его	3	2
165	в глазах	6	2
166	столь же	7	2
167	что она	3	2
168	который в	4	2
169	одна из	6	2
170	с его	15	2
171	тут же	1	2
172	поведение в	2	2
173	не мог	4	2
174	и ненавистью	1	2
175	тем что	3	2
176	не случайно	13	2
177	и ее	3	2
178	никогда не	7	2
179	ничего не	3	2
180	любви и	2	2
181	не выдерживает	1	1
182	в той	3	1
183	в особенности	4	1
184	во всем	5	1
185	уверена что	1	1
186	встреча не	1	1
187	то в	4	1
188	с помощью	1	1
189	от него	1	1
190	несколько времени	1	1
191	теперь я	1	1
192	этом случае	1	1
193	утверждать что	1	1
194	могут быть	4	1
195	только не	3	1
196	проникает в	1	1
197	мы видим	1	1
198	это тот	1	1
199	по природе	3	1
200	и мира	1	1
201	этого мотива	1	1
202	таким образом	4	1
203	мог быть	1	1
204	по определению	1	1
205	под маской	2	1
206	не понимал	1	1
207	после того	1	1
208	этого персонажа	3	1
209	условие ее	1	1
210	которая вся	1	1
211	в целый	1	1
212	как лицо	1	1
213	местом в	1	1
214	также что	1	1
215	того как	1	1
216	к этой	2	1
217	если он	1	1
218	в последней	1	1
219	которой не	1	1
220	ненавистью к	1	1
221	с одной	3	1
222	и вот	2	1
223	пальцем на	1	1
224	но еще	1	1
225	к себе	1	1
226	что уже	1	1
227	с этой	1	1
228	он тот	1	1
229	и при	1	1
230	ко всему	2	1
231	и должно	1	1
232	дело с	3	1
233	стола и	1	1
234	в применении	1	1
235	в стиле	1	1
236	начала и	1	1
237	и далее	2	1
238	в финале	7	1
239	к числу	4	1
240	то для	1	1
241	но от	1	1
242	и обращается	1	1
243	естественно что	1	1
244	эта встреча	1	1
245	на деле	1	1
246	так ли	1	1
247	к истории	1	1
248	свою первую	1	1
249	т е	2	1
250	подчеркнуть что	1	1
251	романа в	1	1
252	что при	2	1
253	с этими	1	1
254	того что	4	1
255	сам по	2	1
256	свою руку	1	1
257	тем не	3	1
258	явился для	1	1
259	по слову	1	1
260	не вызывает	1	1
261	нам еще	1	1
262	сам автор	2	1
263	не как	3	1
264	а затем	2	1
265	для нас	1	1
266	видит что	1	1
267	где он	2	1
268	одному из	1	1
269	не способен	1	1
270	своею и	1	1
271	одно из	3	1
272	смысл этой	2	1
273	которым человек	1	1
274	х годов	1	1
275	в результате	6	1
276	в виду	1	1
277	иными словами	1	1
278	смысле этого	1	1
279	быть может	1	1
280	вполне серьезно	1	1
281	и теперь	1	1
282	только в	9	1
283	не столько	4	1
284	по себе	6	1
285	перед другим	1	1
286	вспомнить о	1	1
287	в самой	1	1
288	а на	2	1
289	не было	3	1
290	в сюжетном	1	1
291	существенной роли	1	1
292	в борьбе	2	1
293	но он	1	1
294	здесь мы	1	1
295	мы понимаем	1	1
296	мировой литературы	1	1
297	до этого	2	1
298	самого рассказчика	1	1
299	черт ивана	1	1
300	а также	5	1
301	начала в	1	1
302	героя с	1	1
303	что сердце	1	1
304	тот кто	2	1
305	заключается в	1	1
306	и гордости	1	1
307	на нее	1	1
308	одним из	1	1
309	мысль о	3	1
310	и юмор	1	1
311	на себя	5	1
312	позицию по	1	1
313	что не	3	1
314	как его	1	1
315	напомним что	6	1
316	спор с	1	1
317	не есть	6	1
318	именно в	4	1
319	всем протяжении	1	1
320	ведет к	2	1
321	указывает на	3	1
322	я и	6	1
323	несовместимое с	1	1
324	от злости	1	1
325	в связи	1	1
326	является по	2	1
