N	3gram	Vygotskiy_	Stilisti
1	в то же	1	9
2	для того чтобы	41	7
3	в зависимости от	7	7
4	то же время	1	7
5	того или иного	1	5
6	с точки зрения	5	5
7	одно и то	3	5
8	мы никогда не	5	5
9	и то же	4	5
10	в свою очередь	1	4
11	той или иной	2	4
12	то или иное	1	4
13	заключает в себе	6	4
14	и той же	4	4
15	одной и той	4	4
16	с самого начала	5	4
17	то же самое	8	4
18	то что мы	2	4
19	на самом деле	8	3
20	в конце концов	6	3
21	не только в	5	3
22	в этом случае	2	3
23	не забудем что	1	3
24	и т.п и	1	3
25	как бы в	3	3
26	мы видели что	1	2
27	что у нас	1	2
28	и для того	1	2
29	в самом деле	8	2
30	мы не имеем	1	2
31	все то что	6	2
32	чуть ли не	1	2
33	вместе с тем	4	2
34	и тем же	3	2
35	мы видим что	5	2
36	не может быть	4	2
37	по отношению к	2	2
38	о том что	15	2
39	мы увидим что	7	2
40	можно сказать что	3	2
41	никогда не сумеем	1	2
42	и как бы	4	2
43	для наших целей	1	2
44	не что иное	2	2
45	содержание и форму	1	2
46	смысле этого слова	1	2
47	с тем и	1	2
48	зависимости от того	4	2
49	та же самая	2	2
50	только потому что	1	2
51	и в то	1	2
52	у нас не	1	2
53	равно как и	2	2
54	к тому что	8	2
55	что иное как	2	2
56	той же самой	1	2
57	в этом отношении	3	2
58	и не только	1	2
59	мы все же	3	1
60	в том что	30	1
61	благодаря тому что	1	1
62	собственном смысле слова	2	1
63	и вот это	1	1
64	когда мы говорили	1	1
65	в том и	3	1
66	таким образом мы	2	1
67	что могло бы	1	1
68	вот что говорит	1	1
69	или иного решения	1	1
70	и в романе	1	1
71	это как бы	1	1
72	о котором мы	3	1
73	котором мы говорили	2	1
74	но вместе с	1	1
75	мысль о том	1	1
76	в конечном счете	2	1
77	для этого необходимо	2	1
78	это сделать то	1	1
79	хотя бы одного	1	1
80	борьбе за существование	1	1
81	и никак не	2	1
82	мы легко можем	1	1
83	мы должны перейти	1	1
84	как и вообще	1	1
85	только одна из	1	1
86	по крайней мере	1	1
87	в русской литературе	1	1
88	с помощью языка	1	1
89	как только мы	1	1
90	мы можем подвести	1	1
91	в нашем сознании	1	1
92	это только одна	1	1
93	в другом месте	1	1
94	в собственном смысле	2	1
95	в себе и	1	1
96	если мы возьмем	1	1
97	в жизни и	1	1
98	то для того	1	1
99	и уже через	1	1
100	тот факт что	6	1
101	элементами из которых	1	1
102	и во всех	1	1
103	и в эти	1	1
104	в одной и	1	1
105	видим что и	1	1
106	и тем более	1	1
107	в своем развитии	1	1
108	то же событие	2	1
109	в литературном произведении	1	1
110	как таковое не	1	1
111	язык которым он	1	1
112	понять что такое	1	1
113	тот же самый	1	1
114	более или менее	1	1
115	по сравнению с	4	1
116	связь между языком	1	1
117	таким образом в	2	1
118	они как бы	1	1
119	на этот вопрос	5	1
120	и та же	3	1
121	мы увидим то	1	1
122	мы приходим к	1	1
123	одного и того	2	1
124	всегда несет в	1	1
125	как и искусства	1	1
126	но не только	1	1
127	которая могла бы	1	1
128	до сих пор	9	1
129	они находятся в	1	1
130	именно потому что	3	1
131	если мы прибавим	1	1
132	то о чем	2	1
133	но и вообще	1	1
134	и здесь мы	1	1
135	одним и тем	3	1
136	иметь в виду	3	1
137	иметь дело со	1	1
138	само по себе	3	1
139	какое значение имеет	1	1
140	согласие или несогласие	1	1
141	мы имеем в	1	1
142	мы совершенно не	2	1
143	но если бы	1	1
144	и никогда не	1	1
145	по себе не	2	1
146	мы должны будем	3	1
147	у нас на	1	1
148	несет в себе	1	1
149	язык и что	1	1
150	которое существует между	4	1
151	у них идет	1	1
152	не только о	1	1
153	не только не	4	1
154	и при этом	1	1
155	это же самое	1	1
156	и того же	2	1
157	же самое происходит	1	1
158	несмотря на это	1	1
159	убедиться в том	1	1
160	в высшей степени	1	1
161	никогда не найдем	2	1
162	одна и та	2	1
163	тем что он	1	1
164	мы говорили выше	2	1
165	и все же	1	1
166	все же должно	1	1
167	на вопросе о	1	1
168	с другой стороны	8	1
169	то есть к	1	1
170	вопрос о том	3	1
171	точки зрения и	1	1
172	как только он	1	1
173	первой и второй	1	1
174	но как только	1	1
175	должен был бы	3	1
176	мы показали что	1	1
177	между языком и	1	1
178	на эту тему	1	1
179	можно было бы	4	1
180	мы не можем	2	1
181	и в этом	2	1
182	прежде всего на	1	1
183	же самое и	2	1
184	лежит в основе	1	1
185	что эти три	1	1
186	тому же способу	1	1
