N	4gram	Losev_Prob	Komedia
1	в то время как	2	9
2	и в самом деле	1	7
3	не говоря уже о	5	6
4	один и тот же	1	3
5	в том числе и	2	3
6	и к тому же	1	3
7	с одной стороны и	2	2
8	в том что в	1	2
9	и в то же	1	2
10	мы имеем в виду	1	2
11	и на этот раз	1	2
12	не что иное как	5	1
13	и в этом случае	3	1
14	если бы он был	1	1
15	до поры до времени	1	1
16	с точки зрения самого	1	1
17	представление о том что	1	1
18	по своему содержанию и	1	1
19	к тому же он	1	1
20	только в том случае	2	1
21	может быть даже и	2	1
22	в связи с этим	2	1
23	за последние два десятилетия	1	1
24	похожих друг на друга	1	1
25	не имеет ничего общего	4	1
26	только в связи с	1	1
27	мы ничего не знаем	1	1
28	несмотря на то что	1	1
29	одного и того же	2	1
30	сводится к тому что	1	1
31	в том случае если	1	1
32	и не только в	1	1
33	имеет ничего общего с	3	1
34	и т д все	1	1
35	так же как и	1	1
36	даже если бы он	1	1
37	а может быть даже	1	1
