N	4gram	Vygotskiy_	Formalny
1	все более и более	4	4
2	мы уже знаем что	1	3
3	один и тот же	1	3
4	и то и другое	3	3
5	с этой точки зрения	2	2
6	в том смысле что	1	2
7	как если бы оно	1	2
8	и в этом отношении	1	2
9	не нуждается ни в	1	2
10	и с точки зрения	1	2
11	не в том что	1	2
12	в том или ином	1	2
13	точки зрения композиционной это	1	1
14	ясно с самого начала	1	1
15	том и заключается что	1	1
16	взятые сами по себе	1	1
17	не что иное как	1	1
18	в том случае если	4	1
19	ножки например с точки	1	1
20	с самого начала что	1	1
21	одно и то же	3	1
22	точном смысле этого слова	3	1
23	в той же мере	1	1
24	иллюстрировать в этом романе	1	1
25	в жизни и в	1	1
26	образом отступления ножки например	1	1
27	только в том случае	4	1
28	мы уже говорили что	1	1
29	мы не можем не	2	1
30	то что он не	1	1
31	одной и той же	3	1
32	в том и заключается	1	1
33	в том что они	2	1
34	может быть понято как	1	1
35	в точном смысле этого	2	1
36	с точки зрения композиционной	1	1
37	например с точки зрения	1	1
38	по самому своему существу	1	1
39	на самом деле он	1	1
40	предлагает иллюстрировать в этом	1	1
41	в полном согласии с	1	1
42	если мы обратимся к	1	1
43	совершенно очевидно что в	2	1
44	состоит в том чтобы	1	1
45	или во всяком случае	2	1
46	нуждается ни в каком	1	1
47	это объясняется тем что	1	1
48	одного и того же	1	1
49	композиционной это будет правильно	1	1
50	с тем что в	1	1
51	было бы сказать что	1	1
52	этом романе главным образом	1	1
53	если же мы возьмем	1	1
54	заключается в том чтобы	1	1
55	в этом романе главным	1	1
56	в ней и в	1	1
57	отступления ножки например с	1	1
58	но все же в	1	1
59	романе главным образом отступления	1	1
60	смысле этого слова и	2	1
61	зрения композиционной это будет	1	1
62	главным образом отступления ножки	1	1
63	его со всех сторон	1	1
64	и в свою очередь	1	1
