N	4gram	Vygotskiy_	Russkaja
1	в том случае если	4	3
2	на себя как на	1	2
3	и вместе с тем	3	2
4	друг с другом и	2	2
5	только в том случае	4	2
6	точно так же и	1	1
7	по самому своему существу	1	1
8	мы уже знаем что	1	1
9	не может согласиться с	1	1
10	и то и другое	3	1
11	это то же самое	1	1
12	указывает на то что	3	1
13	можно было бы показать	1	1
14	и с точки зрения	1	1
15	было бы показать что	1	1
16	заключается в том что	8	1
17	уже указали на то	1	1
18	только для того чтобы	1	1
19	что и то и	1	1
20	указали на то что	1	1
21	сводится к тому что	1	1
22	которых мы говорили выше	1	1
23	в своих отношениях к	1	1
24	что ни одна из	1	1
25	на то что для	1	1
26	одного и того же	1	1
27	состоит в том чтобы	1	1
28	в данном случае и	1	1
29	о которых мы говорили	2	1
30	в том виде как	1	1
31	точно так же как	1	1
