N	3gram	Tiupa_Lite	VrazhdaK
1	то же время	12	4
2	в то же	12	4
3	в русской литературе	5	3
4	в связи с	4	3
5	имел в виду	2	3
6	в том что	15	2
7	не может быть	5	2
8	но в то	1	2
9	в ноябре года	1	2
10	с точки зрения	4	2
11	что в начале	1	2
12	что он сам	1	1
13	все же в	2	1
14	войне и мире	1	1
15	но при этом	2	1
16	в ответ на	1	1
17	в свою очередь	2	1
18	в войне и	1	1
19	в конце концов	1	1
20	одно и то	1	1
21	речь идет о	3	1
22	и во всей	1	1
23	что уже в	1	1
24	что в ней	1	1
25	на то что	1	1
26	и в то	1	1
27	в соответствии с	2	1
28	не только от	1	1
29	по крайней мере	2	1
30	преступления и наказания	1	1
31	а с другой	2	1
32	в мире а	1	1
33	имеется в виду	1	1
34	и то что	2	1
35	о том что	3	1
36	но и от	1	1
37	одним из первых	1	1
38	уже в году	2	1
39	до сих пор	1	1
40	в романе достоевского	1	1
41	в году когда	1	1
42	в это время	1	1
43	в е годы	3	1
44	в том же	3	1
45	во всяком случае	2	1
46	тогда же в	1	1
47	тем не менее	4	1
48	то что я	1	1
49	начале х годов	1	1
50	едва ли не	5	1
51	с другой стороны	5	1
52	в начале х	1	1
53	и т.п ему	1	1
54	ее и в	1	1
55	тем более что	1	1
56	на первый взгляд	1	1
57	и то же	1	1
58	между прочим и	1	1
59	но не менее	1	1
60	в этом отношении	5	1
61	и не может	1	1
62	и в этом	1	1
63	х годов в	2	1
64	говорит о себе	1	1
