N	3gram	Propp_Isto	Vladivir
1	в том что	4	29
2	о том что	5	22
3	тем не менее	6	18
4	и то что	3	14
5	в то время	3	13
6	во всяком случае	1	12
7	в связи с	6	12
8	не может быть	6	10
9	в то же	1	10
10	вместе с тем	7	10
11	с точки зрения	1	10
12	то что он	2	9
13	то же время	1	9
14	а также и	1	8
15	на то что	3	8
16	точно так же	3	7
17	это значит что	2	7
18	на первый план	1	7
19	в это время	2	7
20	само по себе	1	6
21	в данном случае	2	6
22	в отличие от	1	6
23	с другой стороны	10	6
24	как мы знаем	1	6
25	как мы видели	2	6
26	ничего не говорит	2	5
27	и в том	1	5
28	и потому что	1	5
29	он не только	1	5
30	не только в	2	5
31	то время как	3	5
32	что и в	3	5
33	еще и сейчас	1	4
34	можно сказать что	1	4
35	для того чтобы	3	4
36	сам по себе	1	4
37	и вместе с	3	4
38	мы увидим ниже	4	4
39	что в этом	1	4
40	и т д	36	4
41	в том чтобы	2	4
42	в себе и	1	4
43	не что иное	1	4
44	что иное как	1	4
45	с одной стороны	7	4
46	еще и потому	1	4
47	что он не	1	3
48	в самом деле	1	3
49	в том числе	3	3
50	не в том	2	3
51	потому что в	1	3
52	мы знаем что	8	3
53	ничего общего с	1	3
54	свидетельствует о том	1	3
55	иметь в виду	1	3
56	только то что	1	3
57	но это не	2	3
58	для тех кто	1	3
59	в свою очередь	1	3
60	не имеет никакого	1	3
61	несмотря на все	1	3
62	только в том	1	3
63	мы видели выше	1	3
64	хотя бы на	1	3
65	с самого начала	1	3
66	так же как	10	2
67	но то что	1	2
68	одной стороны и	1	2
69	но вместе с	4	2
70	что такого рода	1	2
71	с этим в	1	2
72	это мы увидим	1	2
73	не говорит о	1	2
74	и в таком	1	2
75	видели и в	1	2
76	и по своим	1	2
77	обращает на себя	1	2
78	совершенно так же	3	2
79	мы уже видели	2	2
80	до некоторой степени	1	2
81	в таком случае	1	2
82	мы сейчас увидим	1	2
83	что у него	2	2
84	так и в	2	2
85	до сих пор	7	2
86	есть не что	1	2
87	из них не	1	2
88	так как это	1	2
89	мы уже знаем	1	2
90	так как он	2	2
91	а не только	1	2
92	не было никакого	1	2
93	так как в	3	2
94	то что у	1	2
95	сих пор не	1	2
96	и тем не	2	2
97	но и здесь	1	2
98	едва ли можно	1	2
99	в тех же	1	2
100	и даже в	1	2
101	или как говорит	1	2
102	только в виде	1	2
103	не было ни	1	2
104	одно и то	2	2
105	и то же	2	2
106	главным образом в	1	2
107	в этом случае	13	2
108	что в нем	1	2
109	с тем что	1	2
110	то обстоятельство что	1	2
111	как мы увидим	4	2
112	мы не будем	3	2
113	это и есть	1	2
114	если бы мы	3	2
115	в этом не	1	2
116	после того как	4	2
117	все того же	1	2
118	может быть и	1	2
119	при помощи которых	1	1
120	у него есть	1	1
121	и когда он	1	1
122	и в египте	1	1
123	как будто бы	1	1
124	не только то	1	1
125	некоторое время он	1	1
126	о нем в	1	1
127	не потому ли	2	1
128	а именно работы	1	1
129	что в его	1	1
130	с ними и	1	1
131	понимает что это	1	1
132	мы видим что	4	1
133	приведем еще один	2	1
134	как и вообще	1	1
135	в том как	1	1
136	как это делают	1	1
137	в более ранних	2	1
138	в основном не	1	1
139	как и его	1	1
140	с представлением о	4	1
141	быть речи о	1	1
142	наряду с этим	3	1
143	тот что все	1	1
144	как это легко	1	1
145	дело не в	1	1
146	он не может	2	1
147	для нас очень	1	1
148	указывает на то	1	1
149	что все это	1	1
150	что в доме	1	1
151	материалов мы приведем	1	1
152	том что она	1	1
153	для чего в	1	1
154	т д в	1	1
155	и в более	1	1
156	не потому что	2	1
157	с этой стороны	1	1
158	потому что он	5	1
159	не будем здесь	2	1
160	мы видели и	3	1
161	при жизни и	1	1
162	и тем самым	2	1
163	мира и не	1	1
164	по себе не	1	1
165	не могло быть	1	1
166	в ней не	1	1
167	может быть названа	1	1
168	она вошла в	1	1
169	уже знаем что	1	1
170	если не считать	2	1
171	здесь как и	2	1
172	он уже в	1	1
173	и находит в	1	1
174	то же самое	1	1
175	помощи которых можно	1	1
176	не имеют никакого	1	1
177	об этом он	1	1
178	но все же	6	1
179	в последнем случае	1	1
180	у него по	1	1
181	о том как	4	1
182	что даже и	1	1
183	никак не может	1	1
184	только тогда когда	2	1
185	так же в	1	1
186	вследствие чего он	1	1
187	категории а именно	1	1
188	не мог бы	1	1
189	и потому не	1	1
190	можно найти в	2	1
191	во многих отношениях	1	1
192	это то что	1	1
193	что во время	1	1
194	к своему другу	1	1
195	внимание на то	1	1
196	что вовсе не	1	1
197	за нами и	1	1
198	на другой день	1	1
199	и не всегда	1	1
200	может быть в	1	1
201	указать еще на	1	1
202	еще не был	1	1
203	вместе с ним	1	1
204	и не могло	1	1
