N	4gram	Medvedev_F	Mirosoze
1	не что иное как	1	4
2	есть не что иное	1	3
3	все более и более	3	2
4	не может быть и	2	2
5	у нас не было	2	2
6	и в конце концов	1	2
7	том смысле что он	2	1
8	той мере в какой	1	1
9	особенно в первый период	1	1
10	в том смысле что	2	1
11	в первый период его	1	1
12	мы имеем в виду	1	1
13	в том случае если	1	1
14	не сам по себе	1	1
15	он не похож на	1	1
16	в том смысле в	1	1
17	в то же время	13	1
18	и не может быть	4	1
19	очень важное место в	1	1
20	от одного к другому	1	1
21	менее всего может быть	2	1
22	может быть и речи	1	1
23	занимает очень важное место	1	1
24	с тем что в	1	1
25	в той мере в	1	1
26	в зависимости от этого	1	1
27	том смысле в каком	1	1
28	но и в этой	1	1
29	тем что в нем	1	1
