N	4gram	Propp_Russ	DiskursI
1	состоит в том что	16	7
2	одного и того же	1	4
3	в том что в	6	3
4	в тех случаях когда	2	2
5	но в данном случае	1	2
6	не что иное как	3	1
7	и в этом случае	2	1
8	одни и те же	1	1
9	не только по отношению	1	1
10	не только потому что	1	1
11	иметь в виду что	1	1
12	в том что они	1	1
13	говорит о том что	1	1
14	одном и том же	1	1
15	в данном случае мы	1	1
16	но ни одна из	1	1
17	но и потому что	1	1
18	только по отношению к	1	1
19	это пока еще не	1	1
20	состояло в том что	2	1
21	одно из значений слова	1	1
22	подобно тому как в	1	1
