N	2gram	Voloshinov	Tvorches
1	и в	3	56
2	в его	1	37
3	в то	1	30
4	то же	1	25
5	не только	1	24
6	же время	1	24
7	и не	1	23
8	может быть	1	19
9	и на	1	17
10	но и	1	16
11	не может	4	16
12	а не	1	13
13	для него	1	11
14	один из	2	9
15	не менее	1	8
16	достоевского и	2	7
17	если бы	1	6
18	и все	1	6
19	точки зрения	1	4
20	мы видим	1	4
21	с точки	1	4
22	первая часть	1	4
23	в каждом	1	4
24	к тому	1	3
25	русской литературы	1	3
26	несмотря на	1	3
27	во второй	1	3
28	этой проблемы	1	3
29	если в	2	3
30	подхода к	1	3
31	может не	1	3
32	нет и	1	3
33	в ней	1	3
34	из этих	1	3
35	с другими	1	2
36	связи с	1	2
37	тому что	1	2
38	смысл и	1	2
39	и должно	1	2
40	второй части	1	2
41	он в	1	2
42	не из	1	2
43	может и	1	2
44	событий и	1	2
45	зрения их	1	1
46	о литературе	1	1
47	художественного произведения	1	1
48	впадает в	1	1
49	при анализе	1	1
50	русского литературного	1	1
51	в школе	1	1
52	и событий	1	1
53	на месте	1	1
54	в особенности	1	1
55	в анализе	1	1
56	можно назвать	1	1
57	риторика и	1	1
58	художественного целого	1	1
59	тех же	1	1
60	и школы	2	1
61	ничего кроме	1	1
62	лучше всего	1	1
63	из контекста	1	1
64	этого исследователя	1	1
65	анализа и	1	1
66	и салтыкова-щедрина	1	1
