N	4gram	Losev_Vesc	Formalny
1	в то же время	4	20
2	бы то ни было	12	7
3	и в то же	3	6
4	с одной стороны и	1	5
5	не может быть и	1	4
6	какого бы то ни	2	3
7	на самом же деле	1	3
8	с тем же правом	1	3
9	один и тот же	1	3
10	что бы то ни	1	3
11	и то и другое	1	3
12	но в то же	1	3
13	может быть и речи	1	3
14	вовсе не потому что	1	2
15	с этой точки зрения	3	2
16	в том смысле что	1	2
17	между а и в	1	2
18	что они находятся в	1	2
19	если бы оно было	1	2
20	и в этом отношении	1	2
21	какой бы то ни	1	2
22	у нас все же	1	1
23	не что иное как	12	1
24	социологии и т д	1	1
25	во все новые и	1	1
26	одно и то же	5	1
27	под тем или другим	1	1
28	т д таким образом	1	1
29	по крайней мере четыре	1	1
30	каких бы то ни	1	1
31	т е в конце	1	1
32	уже с трудом можно	1	1
33	у нас в россии	2	1
34	не имеет никакого отношения	2	1
35	дело в том что	4	1
36	что как бы ни	1	1
37	иначе и быть не	1	1
38	потому в нем нет	1	1
39	ни в коем случае	1	1
40	в том что это	1	1
41	чего бы то ни	2	1
42	и т д таким	1	1
43	все новые и новые	1	1
44	в этом смысле и	1	1
45	в коем случае не	1	1
46	одного и того же	1	1
47	и как бы ни	1	1
48	было бы сказать что	2	1
49	не может быть никакого	1	1
50	как это было в	1	1
51	т е уже предполагается	1	1
52	что он не есть	1	1
53	она не могла бы	1	1
54	заключается в том чтобы	1	1
55	только один из моментов	1	1
56	и тем не менее	5	1
57	и действительность если мы	1	1
58	о которых идет речь	1	1
59	есть не что иное	8	1
