N	4gram	Vinokur_Ku	Vladivir
1	дело в том что	1	11
2	в то же время	4	9
3	и в то же	1	5
4	не что иное как	2	4
5	не говоря уже о	1	4
6	и вместе с тем	1	4
7	также и то что	1	4
8	еще и потому что	1	4
9	только в том случае	2	3
10	а с другой стороны	2	3
11	так или иначе но	1	3
12	о том что он	1	3
13	в том что он	3	3
14	заключается в том что	2	3
15	письмо вл соловьева к	1	2
16	и в том что	1	2
17	все дело в том	1	2
18	до тех пор пока	1	2
19	говоря уже о том	1	2
20	и притом не только	1	2
21	уже о том что	1	2
22	на этот раз из	1	2
23	сводится к тому что	1	2
24	свидетельствуют о том что	1	2
25	но все дело в	1	2
26	одно и то же	1	2
27	свидетельствует о том что	1	2
28	бы то ни было	1	2
29	в том случае если	3	2
30	и тем не менее	4	2
31	и то обстоятельство что	2	2
32	есть не что иное	1	2
33	само по себе не	1	1
34	и потому что он	1	1
35	с этой точки зрения	3	1
36	состоит в том что	4	1
37	в том что она	1	1
38	в том смысле как	1	1
39	не говоря уже об	1	1
40	уже и потому что	1	1
41	можно говорить и о	1	1
42	как это часто бывает	1	1
43	ни за что не	1	1
44	скажем несколько слов о	1	1
45	в том что и	1	1
46	а в том что	2	1
47	одной и той же	1	1
48	в собственном смысле слова	1	1
49	заключается не в том	1	1
50	был в свое время	1	1
51	а вместе с тем	1	1
52	по крайней мере в	1	1
53	но во всяком случае	1	1
54	да и то не	1	1
55	вообще и в частности	1	1
56	от того чтобы не	1	1
57	не в том чтобы	4	1
58	то во всяком случае	1	1
59	о том что в	1	1
60	зависит не только от	1	1
61	ни в каком отношении	1	1
62	какой бы то ни	1	1
63	до конца и в	1	1
64	в целом и вот	1	1
65	не в том что	1	1
