N	2gram	Bakhtin_sl	EvropaiE
1	и в	69	37
2	в отношении	9	32
3	в пределах	27	25
4	точки зрения	24	23
5	что в	3	21
6	не только	37	18
7	с точки	11	17
8	в то	17	16
9	то же	17	15
10	хотя бы	6	15
11	отношении к	9	15
12	в качестве	4	14
13	и не	32	14
14	но и	37	14
15	же время	15	14
16	в своем	9	14
17	но в	13	14
18	в этом	21	12
19	в том	7	11
20	в их	6	11
21	в области	1	11
22	так и	22	10
23	в себе	3	9
24	прежде всего	14	9
25	только в	9	9
26	в смысле	7	9
27	все более	1	9
28	так же	2	9
29	не может	27	9
30	отнюдь не	1	9
31	с одной	7	8
32	в ее	2	8
33	в своей	8	8
34	одной стороны	7	8
35	между тем	5	8
36	было бы	3	8
37	к тому	3	8
38	так как	7	7
39	того что	4	7
40	а также	5	7
41	и выше	1	7
42	как и	8	7
43	между прочим	1	7
44	по своему	2	7
45	также и	5	7
46	с другой	8	7
47	то есть	46	6
48	с этой	3	6
49	в последние	2	6
50	и даже	11	6
51	и на	17	6
52	том что	6	6
53	вовсе не	16	6
54	во всех	25	6
55	может быть	40	6
56	того чтобы	1	6
57	для того	2	6
58	стороны и	3	6
59	то что	2	6
60	как бы	16	6
61	на то	2	6
62	в той	13	5
63	в виде	4	5
64	этой точки	1	5
65	не в	14	5
66	но не	7	5
67	от этого	2	5
68	со стороны	1	5
69	и потому	9	5
70	в течение	1	5
71	же как	2	5
72	в частности	3	5
73	как мы	15	5
74	одной из	4	5
75	столь же	2	5
76	но если	1	5
77	и по	3	5
78	в самом	6	4
79	бы то	1	4
80	то в	2	4
81	мы не	4	4
82	даже в	4	4
83	ни было	2	4
84	того или	2	4
85	для нас	7	4
86	не на	6	4
87	чем в	3	4
88	и притом	1	4
89	в некотором	1	4
90	именно в	5	4
91	в процессе	14	4
92	по себе	4	4
93	в каком	1	4
94	тем более	1	4
95	той или	13	4
96	но даже	1	4
97	лежат в	1	4
98	то ни	1	4
99	или иного	2	4
100	как это	3	4
101	несмотря на	2	4
102	в направлении	2	4
103	к ней	2	4
104	в ней	7	4
105	сказать что	4	4
106	можно сказать	2	4
107	или иной	13	4
108	мира в	2	4
109	на всем	1	4
110	независимо от	1	4
111	и к	9	3
112	говорит о	1	3
113	применении к	1	3
114	но на	1	3
115	она в	1	3
116	в применении	1	3
117	из всех	1	3
118	в определенном	1	3
119	этом отношении	2	3
120	что и	2	3
