N	4gram	Losev_Dial	Hudozhes
1	в то же время	7	7
2	одно и то же	8	3
3	ни в коем случае	1	2
4	в том что он	1	2
5	в коем случае не	1	2
6	приводит к тому что	1	2
7	и в то же	3	2
8	но в силу своей	1	1
9	как один из видов	2	1
10	сама по себе а	1	1
11	иметь в виду что	2	1
12	не что иное как	4	1
13	в том что она	1	1
14	как более или менее	2	1
15	с одной стороны и	3	1
16	том или ином отношении	1	1
17	всегда так или иначе	1	1
18	не содержит в себе	1	1
19	то или иное логическое	1	1
20	не сама по себе	1	1
21	но в то же	1	1
22	в связи с этим	2	1
23	точно так же как	1	1
24	есть не что иное	3	1
