N	2gram	Potebnia_M	Literetu
1	а не	38	50
2	и не	34	47
3	не только	32	46
4	и в	58	44
5	может быть	47	43
6	при этом	17	41
7	но и	26	41
8	тогда как	10	40
9	в том	38	39
10	в этом	18	38
11	том что	21	32
12	такого рода	1	30
13	то что	24	29
14	в мире	3	28
15	то же	13	26
16	состоит в	1	26
17	как и	16	23
18	в то	6	23
19	себя в	1	22
20	не в	23	22
21	того что	15	22
22	так и	17	22
23	не может	30	22
24	я и	1	21
25	же время	4	21
26	в себе	22	20
27	прежде всего	8	19
28	как бы	12	18
29	с другой	13	17
30	точки зрения	8	17
31	то есть	69	17
32	в его	7	17
33	в жизни	5	16
34	сознания в	2	16
35	в этой	3	16
36	не менее	10	15
37	только в	36	15
38	со стороны	11	15
39	тем самым	6	15
40	в целом	3	15
41	и даже	4	14
42	по отношению	15	14
43	однако в	4	14
44	что он	5	14
45	уже не	4	13
46	в своем	3	13
47	с одной	7	13
48	как это	1	13
49	но не	19	13
50	и его	7	13
51	в своей	3	12
52	о том	6	12
53	в данном	1	12
54	одной стороны	6	12
55	к себе	1	12
56	одним из	2	12
57	еще не	9	12
58	отношению к	13	12
59	не столько	3	11
60	в другом	3	11
61	никогда не	7	11
62	и сам	1	11
63	столь же	6	11
64	еще в	1	11
65	вместе с	12	11
66	как в	18	11
67	в отличие	1	11
68	с его	3	11
69	это не	10	11
70	отличие от	1	11
71	а в	11	11
72	даже в	1	10
73	из них	2	10
74	в ее	2	10
75	что в	34	10
76	и на	8	10
77	для себя	4	10
78	потому что	89	10
79	этом отношении	1	10
80	жизни и	3	10
81	в области	1	10
82	с этой	3	9
83	к тому	5	9
84	связи с	6	9
85	один из	2	9
86	что я	2	9
87	одно из	5	9
88	в начале	2	9
89	лишь в	2	9
90	же в	7	9
91	говоря уже	1	8
92	быть может	6	8
93	в своих	4	8
94	тем что	15	8
95	все же	11	8
96	одна из	4	8
97	того же	13	8
98	едва ли	1	8
99	с точки	4	8
100	на себя	1	8
101	что не	15	8
102	а именно	1	8
103	слова и	7	8
104	той же	3	8
105	в глазах	4	8
106	но в	12	8
107	уже в	5	8
108	для него	13	8
109	и как	11	8
110	не говоря	1	8
111	субъекта и	4	8
112	в самом	5	7
113	в одном	13	7
114	другой стороны	7	7
115	для всех	6	7
116	на свою	1	7
117	именно в	2	7
118	ведет к	1	7
119	для этого	2	7
120	в противоположность	2	7
121	не как	4	7
122	тому же	1	7
123	он не	4	7
124	и тем	5	7
125	и с	3	7
126	в нем	26	7
127	из того	3	7
128	по своей	2	7
129	наконец в	1	7
130	друг друга	6	7
131	и для	8	7
132	перестает быть	3	7
133	у нас	3	7
134	в их	3	7
135	так в	4	7
136	человека в	3	7
137	и других	6	7
138	это как	1	7
139	тому как	8	7
140	в виду	2	6
141	например в	4	6
142	уже о	1	6
143	как на	5	6
144	у него	3	6
145	его в	3	6
146	не было	7	6
147	во всех	12	6
148	в каждом	6	6
149	было бы	21	6
150	подобно тому	7	6
151	с ее	2	6
152	то в	6	6
153	самом деле	2	6
154	в слове	21	6
155	еще и	1	6
156	то и	15	6
157	тем же	4	6
158	одного из	3	6
159	и др	1	6
160	и то	4	6
161	что ему	2	6
162	в жизнь	1	6
163	в ней	9	6
164	далеко не	4	6
165	при всем	1	6
166	как будто	2	6
167	и только	6	6
168	самого себя	4	5
169	к этой	3	5
170	по выражению	1	5
171	в связи	2	5
172	хотя бы	4	5
173	жизни как	1	5
174	в нашем	2	5
175	как я	1	5
176	от себя	2	5
177	свое собственное	1	5
178	должно быть	9	5
179	несмотря на	5	5
180	ни было	4	5
181	тем не	11	5
182	и за	1	5
183	деятельности в	2	5
184	одном из	3	5
185	в себя	2	5
186	этом как	1	5
187	этой точки	2	5
188	между тем	7	5
189	так что	23	5
190	все более	3	5
191	эти слова	1	5
192	человеческого духа	6	5
193	во втором	6	5
194	в сущности	2	5
195	в словах	6	5
196	себя и	3	5
197	следует признать	1	5
198	не с	2	5
199	и если	6	5
200	быть не	7	5
201	вслед за	2	5
202	так как	29	5
203	мир в	1	5
204	мы не	17	5
205	что и	16	5
206	но с	3	5
207	но уже	2	5
208	как он	5	5
209	место в	3	5
210	в уме	1	5
211	не к	1	5
212	более того	1	5
213	но тем	6	4
214	в них	7	4
215	с тем	9	4
216	только для	7	4
217	в природе	11	4
218	и нет	1	4
219	во всяком	9	4
220	то это	8	4
221	духовной жизни	2	4
222	входит в	1	4
223	не должен	1	4
224	для того	8	4
225	не всегда	2	4
226	только на	4	4
227	не вполне	1	4
228	как мы	3	4
229	во всей	1	4
230	к этому	3	4
231	не мог	3	4
232	бы то	2	4
233	мышления и	1	4
234	хотя и	6	4
235	для своего	1	4
236	что его	2	4
237	очевидно что	5	4
238	себе и	2	4
239	в сторону	1	4
240	искусство не	1	4
241	здесь как	1	4
242	могли бы	4	4
243	с образом	1	4
244	на этом	3	4
245	от самого	1	4
246	ту же	1	4
247	то ни	3	4
248	и что	13	4
249	за пределы	4	4
250	но без	2	4
251	общего с	3	4
252	могут быть	17	4
253	и есть	4	4
254	можно сказать	1	4
255	из этого	2	4
256	на рубеже	1	4
257	а потому	14	4
258	от жизни	1	4
259	жизни а	1	4
260	о которой	2	4
261	в единстве	3	4
262	со всеми	1	4
263	от своего	2	4
264	и все	6	4
265	отношения к	2	4
266	приводит к	1	4
267	бы не	11	4
268	аналогии с	1	4
269	все они	3	4
270	нет ничего	2	4
271	совершенно не	1	4
272	то он	2	4
273	тех же	1	4
274	более чем	1	4
275	в свою	8	4
276	на том	2	4
277	каждый из	1	4
278	при котором	3	4
279	но это	7	4
280	таким образом	21	4
281	в формах	3	4
282	нас самих	1	4
283	как к	1	4
284	для нас	29	4
285	в г	2	4
286	и прежде	1	4
287	на его	1	4
288	для которого	1	4
289	в каждой	1	4
290	вовсе не	13	4
291	ко всему	1	4
292	выше и	1	4
293	но при	3	4
294	для кого	2	4
295	во второй	1	4
296	такой же	4	4
297	на то	5	4
298	нуждается в	2	4
299	какого бы	1	3
300	все что	5	3
301	в душе	28	3
302	мы и	1	3
303	же и	1	3
304	мысли и	9	3
305	в этих	10	3
306	по себе	24	3
307	в первом	5	3
308	мысль о	8	3
309	и того	6	3
310	вопрос о	5	3
311	в сознание	2	3
312	во многих	5	3
313	он ищет	1	3
314	становится для	2	3
315	превращается в	2	3
316	так же	7	3
317	себе в	2	3
318	свою очередь	8	3
319	обратим внимание	1	3
320	над словом	1	3
321	по которым	2	3
322	следующим образом	1	3
323	а так	4	3
324	мы чувствуем	3	3
325	с ним	7	3
326	крайней мере	6	3
327	к общему	4	3
328	искусства то	2	3
329	именно так	2	3
330	что такое	3	3
331	от языка	5	3
332	свободы и	3	3
333	а за	1	3
334	не есть	13	3
335	в чем	6	3
336	но как	4	3
337	сознания а	1	3
338	же как	1	3
339	к новым	2	3
340	но только	2	3
341	над ним	1	3
342	жизни человеческого	1	3
343	т п	6	3
344	он в	1	3
345	что для	5	3
346	в первой	1	3
347	и от	5	3
348	там где	8	3
349	себе как	1	3
350	в особенности	1	3
351	не так	6	3
352	взгляд на	2	3
353	за ним	2	3
354	если в	3	3
355	во время	5	3
356	должна быть	4	3
357	был бы	1	3
358	это уже	1	3
359	мы в	2	3
360	в отношении	1	3
361	то с	1	3
362	и вполне	2	3
363	себе не	3	3
364	не на	3	3
365	можно было	1	3
366	если не	5	3
367	если бы	23	3
368	например и	1	3
369	из тех	1	3
370	и т	10	3
371	они не	5	3
372	не имеет	9	3
373	да и	1	3
374	не знали	2	3
375	вследствие этого	1	3
376	всей своей	1	3
377	которая не	1	3
378	ничего общего	3	3
379	своей жизни	1	3
380	по крайней	6	3
381	такую же	2	3
382	того чтобы	4	3
383	относится к	5	3
384	из его	1	3
385	и тогда	2	3
386	тех пор	2	3
387	и уже	6	3
388	не могло	3	3
389	отношении к	1	3
390	и до	1	3
391	в истории	8	3
392	как например	4	3
393	в творчестве	1	3
394	что же	3	3
395	в этот	1	3
396	между людьми	2	3
397	этом с	1	3
398	субъектом и	1	3
399	том же	3	3
400	в сознании	8	3
401	здесь не	2	3
402	всяком случае	7	3
403	не будучи	1	3
404	тот же	5	3
405	ничего не	2	3
406	различие между	2	3
407	ни с	2	3
408	исторической жизни	1	3
409	о нем	1	3
410	с чем	1	3
411	ее в	1	3
412	в полном	2	3
413	из своих	2	3
414	на самом	2	3
415	сознания и	2	3
416	занимающего нас	1	3
417	с их	1	3
418	все равно	1	3
419	а на	2	3
420	этого не	2	3
421	например не	1	3
422	на нее	2	3
423	дело в	3	3
424	а то	1	3
425	в действительности	6	3
426	в какой	2	3
427	от слова	4	3
428	этой цели	3	3
429	все эти	3	3
430	за его	1	3
431	и потому	7	3
432	а к	1	3
433	он говорит	1	3
434	не по	4	3
435	когда он	1	3
436	в пути	2	3
437	стороны и	3	3
438	только то	3	3
439	еще на	1	3
440	отношение к	1	3
441	и о	3	3
442	в ходе	1	3
443	как представляется	1	3
444	в разговоре	2	3
445	есть не	7	3
446	в той	1	2
447	во всем	5	2
448	от него	8	2
449	чувствуем что	1	2
450	для меня	4	2
451	об отношении	3	2
452	можно и	1	2
453	над языком	1	2
454	эта мысль	3	2
455	тем как	3	2
456	время не	1	2
457	потому не	1	2
458	например с	2	2
459	в результате	1	2
460	их не	2	2
461	чтобы в	1	2
462	быть названа	1	2
463	вне себя	3	2
464	и другим	1	2
465	я от	1	2
466	сознанием и	1	2
467	начинается с	1	2
468	и поэзии	1	2
469	что по	3	2
470	стих не	1	2
471	роль в	1	2
472	мир и	1	2
473	свою собственную	1	2
474	так например	5	2
475	отношением к	1	2
476	на мой	1	2
477	состоит не	1	2
478	я вижу	1	2
479	в котором	5	2
480	раз и	1	2
481	человека не	2	2
482	языка в	6	2
483	это последнее	6	2
484	даже и	4	2
485	только как	5	2
486	но даже	2	2
487	это его	1	2
488	с другим	3	2
489	которая по	1	2
