N	2gram	Ircho_Kome	Russkaja
1	не может	3	22
2	и не	19	19
3	в этом	9	17
4	в том	19	17
5	и в	40	14
6	то что	8	13
7	самим собой	1	12
8	таким образом	13	11
9	то же	7	11
10	точки зрения	7	11
11	но и	14	10
12	же время	5	10
13	в то	14	10
14	не только	12	9
15	том что	19	9
16	во всяком	4	9
17	может быть	16	9
18	в себе	3	9
19	прежде всего	8	8
20	того чтобы	4	8
21	как на	2	8
22	к тому	15	7
23	о том	12	7
24	в данном	1	7
25	и если	2	7
26	и с	8	7
27	отнюдь не	2	7
28	и к	2	6
29	для всех	5	6
30	если в	3	6
31	и при	1	6
32	для него	1	6
33	все это	7	6
34	на самом	1	6
35	в своих	2	6
36	если бы	4	6
37	и для	4	6
38	с тем	5	6
39	что он	11	6
40	для того	3	6
41	к которой	1	6
42	в своем	6	6
43	всяком случае	4	6
44	до сих	3	5
45	и на	9	5
46	из которых	5	5
47	только в	6	5
48	или иной	1	5
49	по существу	1	5
50	в своей	3	5
51	в последние	2	5
52	жизни в	1	5
53	во всех	4	5
54	сих пор	3	5
55	и только	1	5
56	вопрос о	5	5
57	хотя бы	2	5
58	потому что	8	5
59	в нем	8	5
60	между тем	9	5
61	он не	5	5
62	а между	1	5
63	конечно не	1	5
64	а в	9	5
65	при этом	5	5
66	было бы	8	5
67	на то	3	5
68	что в	12	4
69	во всем	1	4
70	бы то	4	4
71	все что	3	4
72	так как	6	4
73	к этой	1	4
74	в его	8	4
75	не могут	1	4
76	его в	6	4
77	более или	1	4
78	отказаться от	2	4
79	не в	8	4
80	вместе с	8	4
81	как и	12	4
82	в мире	3	4
83	все же	7	4
84	приводит к	1	4
85	в их	6	4
86	со стороны	3	4
87	ли это	2	4
88	или менее	2	4
89	том случае	1	4
90	которой он	2	4
91	то ни	4	4
92	можно было	5	4
93	что же	2	4
94	в совершенно	1	4
95	от того	3	4
96	идет речь	1	4
97	как бы	3	4
98	путь к	2	4
99	в этой	9	4
100	себя в	2	4
101	жизни и	4	4
102	но не	3	4
103	в самом	5	3
104	то в	1	3
105	что они	4	3
106	собой и	2	3
107	и этот	1	3
108	данном случае	1	3
109	несмотря на	5	3
110	что это	5	3
111	в качестве	8	3
112	для них	2	3
113	что и	10	3
114	сводится к	1	3
