N	2gram	Nazirov_Tv	Psycholo
1	то что	9	193
2	и в	40	190
3	в том	13	163
4	что в	17	123
5	потому что	10	114
6	том что	14	113
7	и что	2	108
8	может быть	11	107
9	таким образом	14	102
10	в этом	11	100
11	то есть	16	97
12	все время	3	86
13	в самом	6	82
14	как бы	26	80
15	что он	11	76
16	не только	16	75
17	на то	1	73
18	и не	12	73
19	что она	5	71
20	самом деле	4	70
21	и т	14	69
22	не может	9	68
23	если мы	1	66
24	так же	6	63
25	так как	6	63
26	было бы	2	56
27	если бы	4	55
28	то же	19	54
29	о том	9	54
30	и мы	1	54
31	при этом	14	52
32	как и	16	51
33	что и	3	50
34	а не	9	50
35	что это	1	49
36	сказать что	3	46
37	по себе	2	46
38	только в	7	46
39	в сущности	1	46
40	заключается в	1	46
41	говорит что	2	45
42	к тому	2	45
43	в искусстве	3	45
44	не в	3	45
45	ясно что	1	43
46	в этой	7	43
47	никогда не	13	42
48	и все	6	42
49	вместе с	4	41
50	как это	2	40
51	но и	10	40
52	как раз	2	39
53	при помощи	4	39
54	того что	3	39
55	же самое	1	38
56	т п	4	38
57	и это	2	37
58	мы видим	3	37
59	и как	5	36
60	с тем	1	35
61	вовсе не	5	34
62	как на	1	34
63	и если	3	34
64	и его	14	34
65	тому что	2	33
66	все же	9	33
67	что все	4	33
68	когда он	4	33
69	в себе	3	32
70	все это	14	32
71	художественного произведения	1	32
72	он не	10	31
73	мы не	3	31
74	в его	19	31
75	в ней	2	31
76	сейчас же	1	30
77	как будто	5	30
78	никак не	1	30
79	как в	10	30
80	с одной	2	29
81	в нас	1	29
82	одной стороны	1	29
83	в нем	4	29
84	что они	3	28
85	и когда	2	28
86	в своих	8	27
87	в основе	3	27
88	на деле	3	27
89	и на	12	27
90	а в	10	27
91	с другой	4	27
92	в трагедии	1	26
93	так что	4	26
94	только что	2	25
95	и здесь	2	25
96	жизни и	3	25
97	до сих	1	24
98	до конца	2	24
99	тем что	2	24
100	художественное произведение	1	24
101	указывает на	2	24
102	в целом	7	24
103	в своем	4	23
104	сих пор	1	23
105	из этого	1	23
106	один из	5	23
107	что если	1	23
108	целый ряд	1	23
109	что оно	2	23
110	для этого	1	23
111	могут быть	4	23
112	казалось бы	4	22
113	с этим	2	22
114	из них	4	22
115	что у	5	22
116	между тем	2	22
117	и даже	8	22
118	всякий раз	2	22
119	т д	10	22
120	как она	2	22
121	в котором	8	21
122	том чтобы	1	21
123	в двух	2	21
124	в которых	3	21
125	той же	4	21
126	в своей	8	21
127	ни в	2	21
128	в конце	5	21
129	что эта	1	21
130	но только	3	21
131	как мы	1	21
132	и вот	2	21
133	и только	2	21
134	другой стороны	2	20
135	в то	23	20
136	тот же	3	20
137	мы имеем	1	20
138	она не	2	20
139	на этом	1	20
140	это не	9	20
141	все эти	3	20
142	в одном	3	19
143	мы уже	2	19
144	в какой	1	19
145	мы должны	1	19
146	в ее	3	19
147	у него	11	19
148	он говорит	3	19
149	с этой	4	18
150	в которой	5	18
151	можно было	1	18
152	но в	11	18
153	вслед за	2	18
154	что с	2	18
155	на самом	3	18
156	но не	7	18
157	действующих лиц	1	18
158	и есть	2	18
159	был бы	3	18
160	перед нами	3	18
161	видим что	1	18
162	есть не	2	18
163	в виду	3	17
164	во всяком	2	17
165	мы все	1	17
166	время как	1	17
167	что для	3	17
168	из этих	1	17
169	но это	10	17
170	одна из	5	17
171	только не	1	17
172	у нас	2	17
173	и о	2	17
174	и к	1	16
175	к этому	4	16
176	та же	4	16
177	сводится к	2	16
178	говорит о	3	16
179	то это	2	16
180	самого начала	3	16
181	с самого	3	16
182	в таком	4	16
183	же как	3	16
184	совершенно прав	1	16
185	и тем	2	16
186	не имеет	2	16
187	так и	5	16
188	в результате	1	15
189	в них	1	15
190	только на	2	15
191	во всех	2	15
192	мы знаем	2	15
193	как говорит	1	15
194	о которых	1	15
195	не могут	2	15
196	о котором	2	15
197	искусства как	1	15
198	и потому	4	15
199	не просто	1	15
200	утверждает что	1	15
201	далеко не	3	15
202	еще не	5	15
203	для него	9	15
204	в частности	4	15
205	хотя бы	5	14
206	но он	3	14
207	главным образом	1	14
208	в художественном	1	14
209	это и	4	14
210	прежде всего	10	14
211	заключает в	1	14
212	такой же	4	14
213	что на	3	14
214	эта теория	1	14
