N	2gram	Bakhtin_fo	VeschiIm
1	и не	19	57
2	не только	16	48
3	то что	13	48
4	не может	8	46
5	и в	84	45
6	вещи и	3	40
7	и есть	3	40
8	и т	21	39
9	может быть	18	39
10	т д	3	38
11	а не	7	37
12	значит что	2	32
13	это значит	3	30
14	потому что	11	25
15	было бы	2	24
16	только в	12	23
17	по себе	3	23
18	в себе	7	23
19	сказать что	4	22
20	в смысле	5	22
21	и что	1	22
22	как бы	11	20
23	и следовательно	5	20
24	что это	1	19
25	с нею	2	19
26	но и	14	19
27	и ее	4	19
28	в этом	41	18
29	все же	12	18
30	есть только	2	18
31	так как	12	17
32	что мы	2	17
33	прежде всего	28	17
34	и это	5	17
35	есть не	4	17
36	таким образом	14	16
37	того что	5	16
38	как раз	13	16
39	от всего	1	15
40	как и	15	15
41	уже не	5	15
42	в том	16	15
43	в ней	4	15
44	но это	1	14
45	и то	5	14
46	не в	10	14
47	в самом	9	13
48	том что	7	13
49	и больше	1	13
50	есть и	4	13
51	и для	12	13
52	это и	1	13
53	в себя	3	13
54	что в	9	12
55	и с	10	12
56	то же	18	12
57	и даже	5	12
58	есть нечто	1	12
59	о том	4	12
60	еще не	8	12
61	если мы	2	12
62	точки зрения	14	12
63	она есть	1	12
64	ничего не	9	12
65	что они	3	12
66	не значит	1	12
67	совершенно не	3	12
68	что и	5	12
69	между собою	1	12
70	и как	12	12
71	смысл и	1	12
72	вещей и	7	12
73	и их	11	11
74	себя в	2	11
75	и пр	2	11
76	еще и	3	11
77	ни в	9	11
78	что не	3	11
79	вовсе не	20	11
80	также и	6	11
81	в то	13	11
82	и только	3	11
83	учение об	1	10
84	в чем	3	10
85	что оно	1	10
86	ясно что	2	10
87	с ее	7	10
88	я и	1	9
89	с ним	5	9
90	в результате	6	9
91	бы и	1	9
92	то и	1	9
93	хотя бы	2	9
94	нисколько не	1	9
95	как вещь	1	9
96	говорить о	1	9
97	в своем	8	9
98	ни с	3	9
99	должно быть	6	9
100	это не	8	9
101	у нас	2	9
102	но что	1	9
103	бы в	1	9
104	она не	2	9
105	так что	4	9
106	но не	9	9
107	на то	1	9
108	и его	26	9
109	как с	1	8
110	должна быть	1	8
111	это есть	1	8
112	если бы	6	8
113	смысла и	2	8
114	с тем	5	8
115	что он	2	8
116	себя и	6	8
117	отличается от	1	8
118	по сравнению	3	8
119	что тут	1	8
120	но в	16	8
121	мы не	4	8
122	что значит	1	8
123	мы имеем	2	8
124	для него	5	8
125	в ее	6	8
126	все это	10	8
127	с другими	3	8
128	в отношении	5	8
129	его в	8	8
130	только и	5	8
131	и потому	4	8
132	в философии	2	8
133	даже не	2	8
134	с другой	4	8
135	и явления	2	8
136	можно сказать	2	8
137	что есть	1	8
138	и сущность	1	8
139	отнюдь не	7	8
140	с этой	3	7
141	в сущности	5	7
142	оно не	3	7
143	самом деле	2	7
144	вещь в	1	7
145	все эти	12	7
146	тем что	4	7
147	сравнению с	3	7
148	и тогда	1	7
149	слова и	4	7
150	или не	2	7
151	вообще не	4	7
152	сама по	1	7
153	я не	1	7
154	есть именно	2	7
155	и тем	1	7
156	а в	6	7
157	из них	8	7
158	с чем	2	7
159	необходимо чтобы	2	7
160	можно только	2	7
161	в той	5	6
162	для себя	8	6
163	в разных	6	6
164	мы говорим	1	6
165	их в	6	6
166	в своей	2	6
167	с собою	1	6
168	в каком	2	6
169	в данном	4	6
170	из себя	1	6
171	в одном	10	6
172	и до	7	6
173	как только	1	6
174	как я	1	6
175	момент в	2	6
176	одна из	3	6
177	вопрос о	2	6
178	от ее	1	6
179	на почве	2	6
180	она имеет	1	6
181	для всякого	1	6
182	несмотря на	1	6
183	с точки	9	6
184	все равно	1	6
185	дело в	3	6
186	быть только	4	6
187	между ними	5	6
188	и вещи	2	6
189	в нем	28	6
190	и вообще	3	6
191	бытие и	1	6
192	должны быть	2	6
193	одно и	4	6
194	этот вопрос	1	6
195	когда мы	2	6
196	как мы	19	6
197	бытия и	2	6
198	жизни и	12	6
199	независимо от	1	6
200	ведь и	1	6
201	и все	10	6
202	никогда не	8	6
203	все что	2	5
204	как это	2	5
205	в настоящем	1	5
206	один из	5	5
207	на себе	1	5
208	и здесь	2	5
209	со всем	1	5
210	тогда когда	2	5
211	в жизни	6	5
212	ничем не	1	5
213	как о	1	5
214	вместе с	9	5
215	да и	4	5
216	себе в	1	5
217	в свою	2	5
218	свою очередь	1	5
219	нет и	4	5
220	точка зрения	4	5
221	того же	9	5
222	во всех	13	5
223	мы видим	4	5
224	в его	19	5
225	хотя и	5	5
226	а это	1	5
227	как можно	3	5
228	мы находим	2	5
229	от всех	2	5
230	в которой	3	5
231	всегда есть	1	5
232	на себя	2	5
233	как она	3	5
234	между прочим	1	5
235	или что	1	5
236	об этом	3	5
237	должен быть	2	5
238	кроме того	7	5
239	действительности и	1	5
240	когда я	2	5
241	мы должны	2	5
242	быть и	4	5
243	или как	5	5
244	требует чтобы	1	5
245	же это	1	5
246	в особенности	15	4
247	и от	3	4
248	образом и	2	4
249	переходит в	1	4
250	еще более	7	4
251	с самим	6	4
252	говорит о	1	4
253	о которой	1	4
254	это учение	1	4
255	сводится к	1	4
256	этой точки	1	4
257	равно как	4	4
258	есть в	3	4
259	то время	4	4
260	его на	3	4
261	с ними	1	4
262	том как	2	4
263	нельзя и	1	4
264	с этим	11	4
265	во всяком	5	4
266	его и	2	4
267	реальности и	1	4
268	не существует	1	4
269	в основе	9	4
270	и более	3	4
271	в котором	8	4
272	того чтобы	11	4
273	явления и	2	4
274	не быть	3	4
275	есть прежде	1	4
276	нет никакой	1	4
277	как оно	2	4
278	же время	13	4
279	так же	7	4
280	при помощи	1	4
281	и еще	3	4
282	и явлений	6	4
283	она может	1	4
284	на него	1	4
285	находится в	3	4
286	что все	4	4
287	слово и	1	4
288	тут же	1	4
289	а следовательно	4	4
290	в отдельности	1	4
291	тот же	4	4
292	то в	2	4
293	может не	1	4
294	это будет	1	4
295	и вот	2	4
296	к себе	8	4
297	в качестве	6	4
298	себя самого	1	4
299	так и	17	4
300	и сама	1	4
301	в их	9	4
302	однако не	2	4
303	и притом	1	4
304	и эта	2	4
305	в конце	11	4
306	смысле и	1	4
307	время как	5	4
308	не предполагает	1	4
309	и оно	1	4
310	и у	8	4
311	мы можем	2	4
312	на этом	2	4
313	не было	8	4
314	дело не	1	4
315	он не	6	4
316	и сам	2	4
317	по своей	1	4
318	в этой	3	4
319	отношение к	5	4
320	к ней	2	4
321	этого метода	1	4
322	и о	1	4
323	главным образом	1	4
324	только я	2	3
325	и самое	5	3
326	на ее	1	3
327	была бы	2	3
328	что то	1	3
329	из которых	1	3
330	из того	1	3
331	нас в	3	3
332	на нас	3	3
333	остановиться на	1	3
334	другой стороны	1	3
335	нет никакого	1	3
336	же самой	1	3
337	и само	1	3
338	себе не	1	3
339	в своих	1	3
340	ее во	1	3
341	сами по	2	3
342	если не	3	3
343	вещами и	3	3
344	но все	6	3
345	из самых	3	3
346	себя как	1	3
347	этот тип	2	3
348	отношения к	7	3
349	состоит из	1	3
350	как в	10	3
351	жизни в	11	3
352	не имеет	5	3
353	от его	1	3
354	по самому	3	3
355	явлений и	3	3
356	к тому	6	3
357	перед нами	1	3
358	от этого	4	3
359	и нет	2	3
360	но оно	2	3
361	перестает быть	1	3
362	или ее	1	3
363	ни к	3	3
364	не является	4	3
365	было в	2	3
366	внутреннее содержание	1	3
367	и реального	1	3
368	одной стороны	3	3
369	с которой	2	3
370	только один	2	3
371	только на	3	3
372	себя же	1	3
373	а только	2	3
374	в истории	6	3
375	и во	13	3
376	только с	1	3
377	неотделимо от	2	3
378	какое это	2	3
379	в самой	3	3
380	или другой	1	3
381	в другом	2	3
382	чтобы это	1	3
383	что ему	1	3
384	но когда	2	3
385	явления как	1	3
386	не можем	1	3
387	с одной	5	3
388	при переходе	1	3
389	он становится	2	3
390	образ и	1	3
391	бы на	1	3
392	это именно	1	3
393	у него	8	3
394	в виде	1	3
395	есть еще	1	3
396	но он	4	3
397	или в	3	3
398	у всех	1	3
399	и образ	3	3
400	по существу	17	3
401	чтобы быть	1	3
402	же оно	1	3
403	же как	2	3
404	но уже	1	3
405	а так	1	3
406	тем более	4	3
407	той или	3	3
408	а потом	2	3
409	этих двух	1	3
410	смыслом и	1	3
411	выражение в	3	3
412	но как	1	3
413	мы уже	17	3
414	имен и	1	3
415	и ни	1	3
416	является и	1	3
417	соответствует и	1	3
418	есть как	1	3
419	и может	2	3
420	в частности	11	3
421	и смысла	1	3
422	но она	2	3
423	для человека	1	3
424	стало быть	1	3
425	что из	1	3
426	человека и	15	3
427	для того	12	3
428	могла бы	1	3
429	однако в	1	3
430	и вещей	3	3
431	мы будем	5	3
432	то их	1	3
433	бы ни	1	3
434	в целом	2	3
435	я сам	1	3
436	мы видели	2	3
437	не к	2	3
438	к другому	2	3
439	во всем	3	2
440	находим в	1	2
441	и к	4	2
442	от нее	1	2
443	и другие	6	2
444	во втором	2	2
445	и возможно	1	2
446	и уже	4	2
447	которая была	1	2
448	и на	13	2
449	же и	2	2
450	например что	1	2
451	то есть	42	2
452	самого себя	1	2
453	на анализе	2	2
454	тех кто	1	2
455	связан с	2	2
456	есть для	1	2
457	тому что	1	2
458	и дает	3	2
459	и совершенно	3	2
460	это уже	1	2
461	о чем	4	2
462	одном и	1	2
463	не как	2	2
464	а затем	3	2
465	себя я	1	2
466	одно из	3	2
467	в связи	13	2
468	не столько	2	2
469	переживания и	1	2
470	к реальному	3	2
471	и делает	1	2
472	его от	3	2
473	с собой	2	2
474	и ничего	1	2
475	не на	4	2
476	поэтому и	4	2
477	все то	2	2
478	конечно и	5	2
479	функции и	1	2
480	условиях не	1	2
481	чтобы не	1	2
482	с ней	1	2
483	сходство и	1	2
484	по природе	2	2
485	явлений в	1	2
486	данного человека	1	2
487	именно в	5	2
488	даже просто	1	2
489	и они	4	2
490	есть бытие	1	2
491	как не	1	2
492	кем и	1	2
493	и так	2	2
494	в одно	3	2
495	где она	2	2
496	приводит к	1	2
497	почти все	4	2
498	они как	2	2
499	в это	5	2
500	нем нет	2	2
501	как действительно	1	2
502	говорили что	1	2
503	нет ничего	4	2
504	и того	7	2
505	все вещи	1	2
506	нам не	1	2
507	было и	4	2
508	то он	1	2
509	на этой	4	2
510	нас не	1	2
511	может состояться	1	2
512	своей собственной	3	2
513	он только	2	2
514	а чисто	1	2
515	на основе	5	2
516	но эти	4	2
517	осмысления и	1	2
518	с трудом	1	2
519	она еще	1	2
520	для нее	1	2
521	что если	1	2
522	но они	3	2
523	и внешнее	1	2
524	себе и	4	2
525	не обязательно	2	2
526	конечно не	7	2
527	не вполне	1	2
528	чем не	5	2
529	сущности ни	1	2
530	действительность в	1	2
531	еще один	1	2
532	и формы	1	2
533	на более	1	2
534	что здесь	2	2
535	каждой из	1	2
536	в данной	2	2
537	между собой	5	2
538	чтобы они	4	2
539	тем же	3	2
540	вещи так	1	2
541	первый тип	6	2
542	здесь не	5	2
543	с его	10	2
544	он сам	2	2
545	реальность и	1	2
546	к этому	5	2
547	друг с	5	2
548	оно вообще	1	2
549	всяком случае	1	2
550	у них	4	2
551	ее но	1	2
552	мы еще	5	2
553	образы и	1	2
554	бы его	1	2
555	точку зрения	3	2
556	моментов в	1	2
557	той же	2	2
558	ближе к	1	2
559	вот эта	1	2
560	находятся в	1	2
561	ее и	1	2
562	но на	4	2
