N	2gram	Medvedev_B	PoTuStor
1	и в	1	16
2	таким образом	1	9
3	прежде всего	1	9
4	совершенно не	1	8
5	не только	1	7
6	еще не	1	5
7	и на	1	4
8	все это	2	4
9	так и	1	4
10	на самом	1	4
11	и не	2	4
12	отнюдь не	1	4
13	и ее	1	4
14	между ними	1	3
15	что в	1	3
16	во всяком	1	3
17	и потому	1	3
18	по крайней	1	3
19	в области	1	3
20	всяком случае	1	3
21	крайней мере	1	3
22	в своей	1	2
23	говорить о	1	2
24	за пределы	1	2
25	в пределах	1	2
26	почти совершенно	1	2
27	было бы	1	2
28	и о	1	2
29	со всем	1	1
30	уничтожается это	1	1
31	чем на	1	1
32	оно сплошь	1	1
33	у нас	3	1
34	можно было	2	1
35	творчества и	1	1
36	в эпоху	1	1
37	все же	1	1
38	как часть	1	1
39	в данном	1	1
40	вопрос о	1	1
41	его не	1	1
42	в ней	2	1
43	точно и	1	1
44	а не	1	1
45	не следует	1	1
46	с другой	1	1
47	говорить об	1	1
48	как всякий	1	1
