N	3gram	Voloshinov	Otkroven
1	для того чтобы	7	3
2	не может быть	2	2
3	но и в	3	2
4	и никогда не	1	2
5	и в этом	1	2
6	о том что	2	1
7	в том что	1	1
8	не так как	2	1
9	и характер его	1	1
10	как и в	1	1
11	и все же	1	1
12	в самом деле	2	1
13	мужчины и женщины	1	1
14	смысле этого слова	2	1
15	с кем и	1	1
16	бросается в глаза	1	1
17	все еще не	1	1
18	в другом месте	1	1
19	как бы в	3	1
20	само по себе	1	1
21	в этом отношении	2	1
22	между этими двумя	1	1
23	по сравнению с	1	1
24	должен был бы	1	1
25	ведь может быть	1	1
26	заключает в себе	4	1
27	прежде всего в	4	1
28	но почему же	1	1
29	все что было	1	1
30	нужно отметить что	1	1
31	человека не только	1	1
32	даже и в	1	1
33	и не может	1	1
34	но в этой	1	1
35	раскрывается до конца	1	1
