N	2gram	Savitsky_P	NovoeSre
1	а не	2	17
2	не может	4	16
3	и в	14	16
4	и не	12	11
5	и есть	2	10
6	что в	4	9
7	в эпоху	1	9
8	в том	9	8
9	в этом	10	7
10	может быть	5	7
11	культуры и	1	7
12	как и	1	7
13	не в	5	6
14	с его	1	6
15	никогда не	1	6
16	и к	4	5
17	не только	17	5
18	в ней	6	5
19	все это	2	5
20	xix века	6	5
21	в жизни	2	5
22	в нем	3	5
23	с ее	1	5
24	должен быть	1	5
25	культуры в	2	5
26	и потому	4	4
27	и мы	2	4
28	быть может	6	4
29	должно быть	2	4
30	потому что	3	4
31	народные массы	1	4
32	это не	3	4
33	прежде всего	3	4
34	в них	2	4
35	то что	4	4
36	не было	2	4
37	государства и	1	4
38	не менее	2	4
39	не имеет	1	4
40	во всех	2	3
41	вопрос о	1	3
42	не означает	1	3
43	в наши	1	3
44	и пр	5	3
45	должна быть	1	3
46	она не	1	3
47	в ее	2	3
48	в прошлом	1	3
49	в истории	1	3
50	с другой	5	3
51	к ним	1	3
52	в россии	3	3
53	наряду с	3	3
54	духа и	2	3
55	с тем	3	3
56	к жизни	1	3
57	не есть	1	3
58	в мире	2	3
59	но и	6	3
60	еще не	1	3
61	с этим	2	2
62	народ русский	1	2
63	будет с	1	2
64	ни к	1	2
65	к духовному	1	2
66	не хотим	1	2
67	стремиться к	1	2
68	и что	1	2
69	на путях	4	2
70	к духу	1	2
71	с одной	3	2
72	хотя бы	8	2
73	в судьбах	6	2
74	мы не	3	2
75	русской революции	2	2
76	того чтобы	1	2
77	хозяйственной жизни	1	2
78	хотя и	3	2
79	духовного мира	1	2
80	которых не	1	2
81	думать что	2	2
82	одной стороны	3	2
83	не могла	1	2
84	другой стороны	1	2
85	этом смысле	1	2
86	в русском	2	2
87	место в	1	2
88	а в	4	2
89	всемирной истории	1	2
90	и с	2	2
91	государство и	1	2
92	связана с	1	2
93	для этого	1	2
94	xviii века	1	2
95	капитализм и	1	2
96	могут быть	3	2
97	в себе	3	2
98	и на	1	2
99	мира а	1	2
100	века но	1	2
101	что все	1	2
102	помнить что	2	2
103	духа в	1	2
104	есть в	2	2
105	же как	1	2
106	вместе с	1	2
