N	2gram	Medvedev_F	Narrotol
1	не только	14	62
2	и не	34	50
3	при этом	14	47
4	но и	18	45
5	а не	11	38
6	в качестве	2	35
7	в частности	4	31
8	может быть	30	30
9	и в	54	30
10	в том	17	29
11	в этом	39	28
12	тогда как	1	28
13	своего рода	1	28
14	том что	3	28
15	а в	11	27
16	такого рода	1	26
17	только в	6	25
18	состоит в	3	25
19	в данном	2	24
20	как и	18	24
21	не в	16	23
22	то что	14	23
23	не может	26	20
24	в себе	4	17
25	данном случае	2	17
26	так и	24	17
27	а также	1	17
28	со стороны	7	16
29	в его	30	16
30	к тому	6	15
31	можно сказать	2	15
32	но в	9	15
33	в жизни	3	14
34	и его	27	14
35	то же	16	13
36	в своей	16	13
37	уже не	9	13
38	о том	1	13
39	в своем	12	13
40	у него	1	13
41	все же	8	12
42	сводится к	6	12
43	как в	12	12
44	перед нами	3	12
45	как бы	10	12
46	прежде всего	34	12
47	по отношению	4	11
48	хотя и	3	11
49	в мире	4	11
50	если бы	8	11
51	и тем	3	11
52	в этой	10	11
53	в нем	25	11
54	жизни в	2	11
55	в отличие	2	11
56	отличие от	2	11
57	тем самым	5	11
58	отношению к	4	11
59	один из	4	10
60	никогда не	6	10
61	точки зрения	21	10
62	между тем	4	10
63	как это	8	10
64	в то	14	10
65	и все	9	10
66	не является	3	10
67	жизни и	10	10
68	с его	12	10
69	ничего не	5	10
70	того что	7	10
71	но не	5	10
72	как раз	8	9
73	тем не	2	9
74	той или	1	9
75	не сводится	2	9
76	столь же	2	9
77	отнюдь не	13	9
78	что в	10	9
79	с ним	3	9
80	что он	8	9
81	еще не	6	9
82	потому что	2	9
83	для него	9	9
84	далеко не	2	9
85	в той	3	8
86	и к	7	8
87	в самом	17	8
88	в таком	2	8
89	по мысли	1	8
90	не менее	12	8
91	не мог	1	8
92	одна из	2	8
93	он не	8	8
94	самом деле	12	8
95	того чтобы	4	8
96	мы имеем	1	8
97	же время	13	8
98	и для	5	8
99	этом отношении	7	8
100	в литературе	6	8
101	у нас	6	8
102	но при	1	8
103	у нее	1	8
104	или иной	1	8
105	мира в	2	8
106	имеет место	1	7
107	в котором	2	7
108	встречи с	1	7
109	с другой	8	7
110	едва ли	3	7
111	в ее	10	7
112	на себя	1	7
113	в конце	2	7
114	в чем	2	7
115	в силу	1	7
116	и на	10	7
117	в форме	2	7
118	же в	4	7
119	и состоит	1	7
120	в свою	8	7
121	это не	4	7
122	вслед за	1	7
123	или в	2	7
124	также и	1	7
125	в ней	15	7
126	одного из	4	7
127	в целом	7	7
128	в результате	8	6
129	например в	1	6
130	между двумя	3	6
131	сказать что	3	6
132	в нашем	2	6
133	на него	3	6
134	о ней	1	6
135	то в	3	6
136	что у	1	6
137	с одной	5	6
138	что и	10	6
139	могло бы	2	6
140	не могла	3	6
141	в современной	2	6
142	однако и	3	6
143	во втором	7	6
144	в состав	1	6
145	таким образом	28	6
146	к его	3	6
147	в слове	4	6
148	то и	2	6
149	из этих	4	6
150	в сознании	1	6
151	здесь не	5	6
152	они не	7	6
153	о нем	1	6
154	как у	1	6
155	слова в	2	6
156	не по	4	6
157	одной стороны	5	6
158	на то	2	6
159	особое место	2	5
160	только что	1	5
161	не столько	5	5
162	в своих	3	5
163	и даже	7	5
164	и сам	1	5
165	именно в	12	5
166	а именно	3	5
167	мира и	1	5
168	свою очередь	6	5
169	в другом	2	5
170	для того	3	5
171	о них	1	5
172	в одном	2	5
173	точка зрения	3	5
174	себя в	1	5
175	из них	5	5
176	к нему	3	5
177	от его	3	5
178	начала и	2	5
179	бы и	1	5
180	не было	7	5
181	или не	1	5
182	но для	4	5
183	так сказать	6	5
184	между собой	1	5
185	его жизни	1	5
186	а для	1	5
187	в русской	1	5
188	по поводу	1	5
189	и от	9	5
190	с ее	7	5
191	было как	1	5
192	и здесь	8	5
193	что это	1	5
194	если не	1	5
195	их в	2	5
196	с ними	1	5
197	да и	1	5
198	том как	1	5
199	было бы	10	5
200	и уже	1	5
201	для нее	2	5
202	и то	1	5
203	мы не	6	5
204	на самом	8	5
205	читателя в	1	5
206	в какой	3	5
207	тем более	1	5
208	еще в	2	5
209	в пределах	13	5
210	и о	3	5
211	место в	8	5
212	в душе	2	4
213	даже в	2	4
214	строго говоря	1	4
215	от этих	2	4
216	в виду	2	4
217	по себе	10	4
218	в них	4	4
219	в первом	8	4
220	и с	17	4
221	ведет к	1	4
222	не вполне	1	4
223	роль в	2	4
224	он является	2	4
225	не существует	1	4
226	хотя бы	10	4
227	только на	8	4
228	но они	1	4
229	который в	1	4
230	к этому	3	4
231	внутренней речи	1	4
232	представить себе	1	4
233	что они	4	4
234	несмотря на	2	4
235	и притом	2	4
236	не о	7	4
237	тому что	3	4
238	не будет	2	4
239	по своей	1	4
240	и по	3	4
241	и ее	15	4
242	жизни а	2	4
243	на ее	1	4
244	собственно и	1	4
245	это уже	1	4
246	не на	3	4
247	со всеми	3	4
248	оно не	6	4
249	вместе с	8	4
250	не имеет	2	4
251	которая не	1	4
252	в основе	7	4
253	могла бы	3	4
254	в итоге	1	4
255	не могло	6	4
256	в обоих	1	4
257	мог бы	1	4
258	но именно	2	4
259	всяком случае	6	4
260	друг друга	4	4
261	ему в	1	4
262	зависит от	2	4
263	во всяком	6	4
264	для нас	1	4
265	а на	2	4
266	и как	6	4
267	или даже	3	4
268	так в	3	4
269	ли не	1	4
270	по своему	1	4
271	это было	3	4
272	в области	6	4
273	она не	8	4
274	эти два	1	4
275	мы узнаем	1	4
276	быть и	5	4
277	бытия в	3	4
278	что касается	1	4
279	не с	2	4
280	как он	2	4
281	к ней	3	4
282	как мы	10	4
283	что на	3	4
284	не к	2	4
285	что было	2	3
286	более не	1	3
287	на одном	1	3
288	с этой	4	3
289	говорит о	1	3
290	в этих	3	3
291	не оказывается	1	3
292	каждый из	3	3
293	и дело	1	3
294	в противовес	2	3
295	входит в	8	3
296	не должен	1	3
297	и иных	2	3
298	к своей	1	3
299	и событие	1	3
300	говорить о	4	3
301	за собой	1	3
302	в строгом	2	3
303	не обязательно	1	3
304	так же	5	3
305	ни одного	2	3
306	жизни как	1	3
307	наряду с	1	3
308	еще одна	2	3
309	в зависимости	4	3
310	все время	7	3
311	что именно	2	3
312	не происходит	2	3
313	только не	2	3
314	ее и	3	3
315	по природе	1	3
316	с точки	17	3
317	и сама	1	3
318	связи с	12	3
319	но он	2	3
320	не знает	1	3
321	в которой	5	3
322	что не	4	3
323	было ясно	1	3
324	происходит и	2	3
325	характер и	2	3
326	в связи	11	3
327	между ними	3	3
328	же как	3	3
329	и это	4	3
330	сих пор	7	3
331	должен был	3	3
332	о себе	1	3
333	но как	2	3
334	а с	1	3
335	за ними	1	3
336	и что	2	3
337	можно было	1	3
338	иметь в	1	3
339	со словами	1	3
340	как известно	1	3
341	о его	1	3
342	в первой	2	3
343	бы быть	3	3
344	а как	5	3
345	события в	1	3
346	в точке	1	3
347	или иного	8	3
348	в него	2	3
349	до сих	7	3
350	он уже	1	3
351	от их	2	3
352	текста и	1	3
353	нам в	2	3
354	самим собой	1	3
355	ни о	3	3
356	и т	22	3
357	приводит к	4	3
358	бы не	1	3
359	зависимости от	5	3
360	и читатель	3	3
361	как на	5	3
362	и тогда	1	3
363	и лишь	4	3
364	было и	1	3
365	а лишь	4	3
366	жизни на	1	3
367	тем же	3	3
368	той же	2	3
369	одной из	2	3
370	до конца	9	3
371	на этот	1	3
372	но это	4	3
373	жизни не	2	3
374	собственно говоря	1	3
375	жизни но	2	3
376	знаменательно что	1	3
377	как к	5	3
378	произведения как	3	3
379	и вот	2	3
380	которых он	1	3
381	он и	3	3
382	истории как	1	3
383	же не	1	3
384	чем он	3	3
385	участие в	1	3
386	все равно	1	3
387	в виде	2	3
388	а о	4	3
389	этого не	1	3
390	для других	2	3
391	дело в	1	3
392	кругозора и	3	3
393	при которой	1	3
394	как она	5	3
395	не подлежит	1	3
396	все эти	12	3
397	на фоне	7	3
398	со своей	1	3
399	именно эта	1	3
400	должен быть	5	3
401	особенно в	6	3
402	и потому	9	3
403	того или	6	3
404	а к	2	3
405	его не	2	3
406	связано с	1	3
407	во второй	3	3
408	не следует	5	3
409	идет о	3	3
410	лишь в	15	3
411	каждого из	3	3
412	и только	5	3
413	если она	2	3
414	мир не	1	2
415	является в	2	2
416	случае в	1	2
417	мы и	1	2
418	еще более	6	2
419	какой бы	2	2
420	те же	1	2
421	язык как	8	2
422	глубоко и	2	2
423	в году	2	2
424	потому не	1	2
425	другой стороны	5	2
426	как если	2	2
427	с собой	1	2
428	лишь с	1	2
429	людей и	1	2
430	чтобы в	1	2
431	более или	7	2
432	но все	4	2
433	целый ряд	4	2
434	где они	1	2
435	иначе как	2	2
436	тем что	6	2
437	от всего	1	2
438	дело здесь	1	2
439	чем иным	1	2
440	одновременно и	1	2
441	большей или	1	2
442	в это	1	2
443	как только	1	2
444	на первый	1	2
445	было не	1	2
446	во внешнем	2	2
447	было в	3	2
448	и наиболее	1	2
449	в действительности	3	2
450	один и	1	2
451	раз и	6	2
452	своей природе	1	2
453	от лица	1	2
454	представления о	1	2
455	отрыве от	2	2
456	в этот	2	2
457	с помощью	13	2
458	чего не	1	2
459	глава первая	3	2
460	а между	1	2
461	превращается в	2	2
462	и еще	1	2
463	его собственной	1	2
464	с другим	1	2
465	то чтобы	2	2
466	друг для	1	2
467	в контексте	2	2
468	вовсе не	18	2
469	именно так	1	2
470	к которому	2	2
471	русской литературы	2	2
472	иным как	1	2
473	тем это	1	2
474	в системе	3	2
475	бы в	6	2
476	того же	1	2
477	чем это	1	2
478	от ее	1	2
479	того о	1	2
480	той мере	1	2
481	что иное	1	2
482	к одному	2	2
483	должно быть	13	2
484	гуманитарных науках	2	2
485	в произведении	2	2
486	время в	4	2
487	происходит это	1	2
488	по мнению	1	2
489	и через	2	2
490	иного рода	1	2
491	как своего	1	2
492	столько же	1	2
493	от тех	2	2
494	одним из	1	2
495	по аналогии	5	2
496	быть только	1	2
497	очевидно что	2	2
498	у тургенева	2	2
499	этом последнем	1	2
500	ясно что	3	2
501	не есть	4	2
502	и всякий	2	2
503	в двух	1	2
504	точек зрения	1	2
505	в других	5	2
506	но чего	1	2
507	с читателем	1	2
508	во всех	9	2
509	смысл и	2	2
510	всю свою	2	2
511	перехода от	2	2
512	этой своей	1	2
513	бы она	3	2
514	сами по	4	2
515	теперь уже	1	2
516	реальной действительности	1	2
517	оснований для	1	2
518	так что	2	2
519	на свой	1	2
520	если же	4	2
521	его смысла	2	2
522	хотя в	1	2
523	и является	3	2
