N	2gram	Voloshinov	KulturaY
1	и в	16	84
2	в том	3	74
3	не только	7	60
4	точки зрения	8	59
5	в этом	9	57
6	было бы	2	53
7	и не	4	52
8	может быть	17	47
9	что в	3	44
10	том что	3	44
11	того чтобы	1	44
12	в самом	2	41
13	для того	1	41
14	у нас	1	38
15	хотя бы	4	37
16	самом деле	6	37
17	так как	4	36
18	с точки	6	36
19	в области	3	34
20	таким образом	9	33
21	а не	1	33
22	если бы	1	32
23	можно было	1	32
24	и пр	12	30
25	в его	4	30
26	прежде всего	9	30
27	все же	1	29
28	не менее	2	28
29	все эти	5	28
30	уже не	1	26
31	то что	3	25
32	вовсе не	1	25
33	не может	8	25
34	вопрос о	1	24
35	с другой	1	24
36	еще не	5	24
37	то же	2	23
38	с помощью	2	23
39	только в	4	23
40	так и	4	23
41	во всяком	3	20
42	и что	1	20
43	но и	4	20
44	о том	2	19
45	что он	2	19
46	зависимости от	1	19
47	что же	1	19
48	всяком случае	3	19
49	но в	4	19
50	и с	8	18
51	с тем	1	18
52	к тому	1	18
53	в сущности	1	18
54	в качестве	1	18
55	связи с	1	18
56	вместе с	3	18
57	как бы	5	18
58	все это	4	18
59	как это	3	17
60	что это	2	17
61	как раз	1	17
62	в виду	1	16
63	что и	2	16
64	что не	2	16
65	тот же	1	16
66	ничего не	1	16
67	в русском	1	16
68	но не	1	16
69	при этом	6	15
70	в данном	1	15
71	как на	1	15
72	в нашем	1	15
73	один из	2	15
74	а в	3	15
75	лишь в	1	15
76	в них	2	14
77	и на	4	14
78	сказать что	7	14
79	хотя и	1	14
80	что такое	5	14
81	в связи	1	14
82	я не	1	14
83	сих пор	3	14
84	в ней	1	14
85	до сих	3	14
86	если мы	2	14
87	как мы	4	14
88	мы имеем	1	14
89	что она	1	13
90	крайней мере	3	13
91	в этой	4	13
92	не случайно	1	13
93	не могут	2	13
94	по крайней	3	13
95	той же	1	13
96	для нас	2	13
97	это и	1	13
98	в пределах	2	13
99	и его	8	13
100	с этой	2	12
101	говорить о	2	12
102	того же	2	12
103	могут быть	3	12
104	тогда когда	1	12
105	однако не	1	12
106	в рамках	1	12
107	для этого	2	12
108	те же	3	11
109	он не	2	11
110	в нем	4	11
111	и здесь	1	11
112	и то	1	11
113	совершенно не	8	11
114	из этих	2	11
115	этом отношении	1	11
116	уже в	1	11
117	или иной	1	11
118	как и	2	10
119	так же	2	10
120	конечно не	6	10
121	к этому	2	10
122	несмотря на	1	10
123	ту же	2	10
124	этом смысле	3	10
125	в общем	3	10
126	со стороны	1	10
127	в каком	2	10
128	с этим	2	10
129	они не	2	10
130	тех же	3	10
131	в нашей	1	10
132	от того	1	10
133	в своей	2	9
134	можно сказать	4	9
135	и есть	3	9
136	ни в	5	9
137	не имеет	1	9
138	что мы	2	9
139	но это	2	9
140	и для	2	9
141	дает нам	1	9
142	и вот	3	9
143	в этих	3	8
144	что они	1	8
145	с одной	1	8
146	не есть	2	8
147	в чем	5	8
148	смысл и	1	8
149	в своих	1	8
150	отнюдь не	4	8
151	а потому	4	8
