N	2gram	Bakhtin_sl	Tvorches
1	и в	69	56
2	как бы	16	41
3	в его	19	37
4	в романе	64	34
5	романах достоевского	1	32
6	в то	17	30
7	в романах	3	30
8	то же	17	25
9	не только	37	24
10	же время	15	24
11	но в	13	24
12	как и	8	23
13	то есть	46	23
14	и не	32	23
15	а в	10	23
16	и его	45	23
17	в этом	21	22
18	и т	56	22
19	что в	3	21
20	в том	7	21
21	он не	5	19
22	том что	6	19
23	может быть	40	19
24	потому что	2	19
25	у него	5	18
26	то что	2	18
27	таким образом	16	17
28	и на	17	17
29	что он	2	17
30	т д	7	17
31	все это	14	17
32	при этом	12	16
33	но и	37	16
34	никогда не	9	16
35	как в	18	16
36	в бесах	1	16
37	прежде всего	14	16
38	не может	27	16
39	и с	10	15
40	xix века	2	15
41	в мире	1	15
42	но это	3	15
43	в этой	1	15
44	с его	8	15
45	и даже	11	14
46	это не	8	14
47	о том	5	13
48	а не	29	13
49	в котором	2	12
50	в целом	3	12
51	в своей	8	11
52	все же	10	11
53	отнюдь не	1	11
54	героев достоевского	1	11
55	для него	8	11
56	в самом	6	10
57	творческого процесса	1	10
58	он сам	1	10
59	не в	14	10
60	в конце	1	10
61	только в	9	10
62	в основном	7	10
63	уже в	2	10
64	так и	22	10
65	но не	7	10
66	в душе	1	9
67	а затем	1	9
68	и от	5	9
69	один из	9	9
70	жизни в	2	9
71	в свою	4	9
72	человека в	5	9
73	в нем	44	9
74	даже в	4	8
75	в духе	3	8
76	именно в	5	8
77	не менее	4	8
78	так же	2	8
79	к этому	3	8
80	ивана карамазова	1	8
81	хотя и	4	8
82	одним из	5	8
83	вместе с	3	8
84	одной из	4	8
85	еще не	9	8
86	в себе	3	8
87	так как	7	8
88	в их	6	8
89	на его	9	8
90	об этом	1	8
91	вовсе не	16	8
92	человека и	3	8
93	в этих	8	7
94	и сам	4	7
95	например в	6	7
96	уже не	5	7
97	за собой	1	7
98	он видит	1	7
99	что она	1	7
100	влияние на	3	7
101	и он	1	7
102	в которой	4	7
103	в чем	2	7
104	творчество достоевского	1	7
105	достоевского и	1	7
106	еще более	7	6
107	не столько	4	6
108	и как	3	6
109	если он	1	6
110	на эту	1	6
111	но у	1	6
112	хотя бы	6	6
113	одна из	6	6
114	его в	7	6
115	так что	2	6
116	и ее	3	6
117	а потому	1	6
118	героя в	2	6
119	с ним	12	6
120	если бы	1	6
121	и все	9	6
122	приводит к	2	6
123	все эти	15	6
124	xx века	2	6
125	в бытовой	3	6
126	место в	2	6
127	и другие	3	5
128	из всех	1	5
129	мысли и	1	5
130	у пушкина	1	5
131	в них	11	5
132	с другой	8	5
133	по отношению	2	5
134	отметить что	3	5
135	в своем	9	5
136	в одной	2	5
137	во всей	1	5
138	все время	4	5
139	из них	3	5
140	что они	2	5
141	на него	1	5
142	в ее	2	5
143	что и	2	5
144	не было	4	5
145	что не	1	5
146	в таком	5	5
147	и это	1	5
148	и у	2	5
149	а с	2	5
150	героя и	5	5
151	т п	49	5
152	в наше	1	5
153	между тем	5	5
154	с большой	1	5
155	дело не	2	5
156	та же	1	5
157	романа и	8	5
158	с этим	5	5
159	в творческом	1	5
160	не имеют	1	5
161	в истории	6	5
162	его романах	2	5
163	до конца	25	5
164	том же	4	5
165	но если	1	5
166	тот же	1	5
167	ничего не	5	5
168	мы не	4	5
169	в литературе	1	5
170	как у	2	5
171	бы не	1	5
172	в виде	4	5
173	но с	1	5
174	но эта	2	5
175	и по	3	5
176	но его	1	5
177	и других	5	5
178	как он	2	5
179	отношению к	2	5
180	в известной	3	5
181	с этой	3	4
182	говорит о	1	4
183	с собой	1	4
184	тем что	1	4
185	роль в	4	4
186	так в	2	4
187	но эти	3	4
188	только на	3	4
189	говорить о	2	4
190	самого начала	1	4
191	что все	2	4
192	точки зрения	24	4
193	крайней мере	1	4
194	к нему	7	4
195	мы видим	2	4
196	по преимуществу	5	4
197	и потому	9	4
198	с точки	11	4
199	однако этот	2	4
200	и через	1	4
201	стремится к	2	4
202	не знает	3	4
203	что его	1	4
204	же как	2	4
205	так сказать	11	4
206	сих пор	4	4
207	не был	2	4
208	в каждом	5	4
209	личности и	1	4
210	в роман	22	4
211	как это	3	4
212	но только	1	4
213	ту же	5	4
214	как известно	1	4
215	заставляет нас	1	4
216	себя в	14	4
217	однако в	3	4
218	могут быть	25	4
219	и есть	2	4
220	до сих	4	4
221	в действии	1	4
222	с ними	8	4
223	и одновременно	2	4
224	героев и	2	4
225	в в	1	4
226	в которых	1	4
227	по крайней	1	4
228	перед нами	7	4
229	нет ничего	1	4
230	это и	1	4
231	его и	5	4
232	в основе	8	4
233	и более	3	4
234	сливается с	6	4
235	связана с	2	4
236	в отличие	12	4
237	той же	3	4
238	на улице	1	4
239	того что	4	4
240	связан с	2	4
241	же не	1	4
242	дело в	2	4
243	особенно в	3	4
244	с самого	1	4
245	он говорит	1	4
246	отличие от	13	4
247	но он	4	4
248	в частности	3	4
249	еще в	1	4
250	далеко не	7	4
251	у нее	1	4
252	х годов	2	4
253	в плане	11	4
254	и наконец	9	4
255	и к	9	3
256	от него	5	3
257	в настоящем	1	3
258	кроме того	6	3
259	в комнату	1	3
260	в виду	2	3
261	другой стороны	5	3
262	но что	1	3
263	по себе	4	3
264	связь с	2	3
265	людей и	2	3
266	в первом	3	3
267	с высоты	1	3
268	в жизни	1	3
269	капитана лебядкина	1	3
270	только для	1	3
271	отличается от	3	3
272	к тому	3	3
273	на все	3	3
274	во всяком	9	3
275	можно сказать	2	3
276	всегда с	1	3
277	в свете	3	3
278	в этот	1	3
279	может служить	1	3
280	в одном	4	3
281	с другим	1	3
282	и еще	1	3
283	сказать что	4	3
284	то в	2	3
285	на протяжении	3	3
286	собой в	1	3
287	к себе	1	3
288	время в	1	3
289	несмотря на	2	3
290	то у	1	3
291	вторгается в	1	3
292	как по	1	3
293	для того	2	3
294	себя как	2	3
295	не есть	2	3
296	из главных	1	3
297	романа мы	2	3
298	в себя	3	3
299	действительности и	1	3
300	со всеми	3	3
301	и мир	9	3
302	на этом	4	3
303	него есть	1	3
