N	2gram	Bakhtin_Fr	VrazhdaK
1	в году	13	18
2	не только	24	9
3	в этом	22	8
4	и в	105	8
5	что в	4	7
6	и все	7	7
7	но и	20	7
8	то что	7	7
9	года в	1	7
10	о нем	4	6
11	как и	15	6
12	и даже	10	6
13	и с	8	6
14	в романе	8	6
15	все же	10	6
16	в котором	1	6
17	в начале	4	6
18	в нем	16	6
19	но в	16	6
20	то же	6	5
21	у него	2	5
22	и не	34	5
23	между тем	5	5
24	об этом	2	5
25	не было	3	5
26	же время	5	5
27	в то	5	5
28	это не	4	4
29	при этом	10	4
30	несмотря на	5	4
31	с ним	6	4
32	для нас	5	4
33	все это	16	4
34	в виду	5	4
35	в своих	8	4
36	что он	5	4
37	письме к	1	4
38	уже в	5	4
39	о том	5	4
40	может быть	11	4
41	в ней	7	4
42	целый ряд	2	4
43	в истории	5	4
44	как бы	33	4
45	так же	2	4
46	во многом	3	4
47	в его	24	3
48	в том	17	3
49	его в	7	3
50	раз в	4	3
51	связи с	5	3
52	но он	5	3
53	в связи	2	3
54	я не	1	3
55	и как	2	3
56	далеко не	6	3
57	тем что	5	3
58	в те	1	3
59	речь идет	1	3
60	в чем	2	3
61	и у	7	3
62	человека в	1	3
63	в париже	1	3
64	он был	3	3
65	эти слова	1	3
66	том что	9	3
67	в этот	1	3
68	он не	3	3
69	и уже	1	3
70	в конце	3	3
71	и о	4	3
72	наряду с	2	3
73	одним из	4	3
74	в своем	11	3
75	на то	2	3
76	с его	9	3
77	и его	24	3
78	к этому	2	3
79	который был	3	3
80	по нашему	1	3
81	и во	6	3
82	в той	5	2
83	таким образом	5	2
84	начиная с	2	2
85	великих писателей	1	2
86	и он	3	2
87	он тоже	1	2
88	к себе	3	2
89	мы знаем	1	2
90	с точки	6	2
91	для него	12	2
92	его и	1	2
93	этот момент	3	2
94	о чем	3	2
95	как раз	3	2
96	нашего времени	1	2
97	о которой	1	2
98	в честь	1	2
99	в них	13	2
100	как же	1	2
101	же в	4	2
102	отношения к	5	2
103	своих литературных	1	2
104	его на	2	2
105	в мире	1	2
106	там же	2	2
107	их в	3	2
108	в своей	8	2
109	рядом с	9	2
110	вместе с	1	2
111	так в	4	2
112	в это	2	2
113	в известном	1	2
114	не менее	2	2
115	и это	3	2
116	в эту	6	2
117	и стал	1	2
118	на первый	1	2
119	еще не	8	2
120	он пишет	2	2
121	но как	3	2
122	это в	5	2
123	на основе	1	2
124	после смерти	1	2
125	и т.п	26	2
