N	3gram	Nazirov_Tr	Morfolog
1	в этом случае	1	10
2	не может быть	1	9
3	в связи с	1	9
4	тем не менее	1	6
5	в том что	2	4
6	не могут быть	1	4
7	к тому что	1	4
8	но все же	2	4
9	о том что	2	3
10	как и в	1	3
11	в точности соответствует	1	2
12	с того что	1	2
13	в обоих случаях	1	2
14	точно так же	2	2
15	в данном случае	2	2
16	во всяком случае	1	2
17	все это мы	1	1
18	в применении к	1	1
19	то что он	1	1
20	в чем же	1	1
21	обстоит дело с	1	1
22	средство для достижения	1	1
23	в то же	5	1
24	это мы видим	1	1
25	она все же	1	1
26	бросается в глаза	2	1
27	вместо того чтобы	1	1
28	с самого начала	1	1
29	том что он	1	1
30	в высшей степени	1	1
31	то же время	5	1
32	в третий раз	1	1
33	после того как	1	1
