N	2gram	Bakhtin_Pr	Psycholo
1	то что	21	193
2	и в	64	190
3	в том	12	163
4	что в	11	123
5	потому что	8	114
6	том что	8	113
7	и что	5	108
8	может быть	43	107
9	таким образом	15	102
10	в этом	33	100
11	то есть	3	97
12	все время	3	86
13	в самом	17	82
14	как бы	33	80
15	для того	1	78
16	того чтобы	2	78
17	что он	15	76
18	не только	26	75
19	на то	5	73
20	и не	55	73
21	что она	7	71
22	самом деле	10	70
23	точки зрения	31	69
24	и т	14	69
25	не может	26	68
26	если мы	3	66
27	так же	8	63
28	так как	9	63
29	было бы	8	56
30	если бы	12	55
31	то же	18	54
32	о том	5	54
33	и мы	2	54
34	при этом	8	52
35	как и	25	51
36	что и	7	50
37	а не	29	50
38	что это	2	49
39	сказать что	4	46
40	по себе	16	46
41	только в	13	46
42	в сущности	10	46
43	заключается в	1	46
44	к тому	4	45
45	в искусстве	1	45
46	не в	15	45
47	искусства и	1	43
48	в этой	5	43
49	никогда не	11	42
50	и все	6	42
51	вместе с	1	41
52	как это	1	40
53	но и	26	40
54	как раз	9	39
55	того что	3	39
56	же самое	1	38
57	т п	10	38
58	и это	8	37
59	мы видим	3	37
60	и как	9	36
61	вовсе не	12	34
62	как на	4	34
63	и если	2	34
64	и его	21	34
65	тому что	3	33
66	все же	11	33
67	что все	2	33
68	когда он	2	33
69	в себе	11	32
70	все это	9	32
71	художественного произведения	2	32
72	он не	14	31
73	мы не	4	31
74	в его	30	31
75	для нас	2	31
76	в ней	2	31
77	мы увидим	6	30
78	как будто	4	30
79	никак не	4	30
80	как в	7	30
81	с одной	1	29
82	в нас	1	29
83	и для	7	29
84	одной стороны	1	29
85	с точки	21	29
86	в нем	28	29
87	увидим что	1	28
88	что они	1	28
89	и когда	1	28
90	мы можем	1	28
91	что мы	1	28
92	в своих	4	27
93	в основе	4	27
94	и на	16	27
95	а в	10	27
96	с другой	7	27
97	все то	5	27
98	в трагедии	1	26
99	так что	6	26
100	совершенно не	5	26
101	только что	1	25
102	художественной формы	1	25
103	и здесь	6	25
104	жизни и	3	25
105	до сих	9	24
106	с таким	1	24
107	до конца	10	24
108	тем что	6	24
109	указывает на	2	24
110	и совершенно	1	24
111	в целом	8	24
112	в своем	12	23
113	сих пор	9	23
114	один из	3	23
115	что если	3	23
116	целый ряд	2	23
117	что оно	2	23
118	для этого	3	23
119	могут быть	9	23
120	с этим	3	22
121	из них	3	22
122	что у	2	22
123	между тем	7	22
124	и даже	5	22
125	т д	4	22
126	в котором	7	21
127	в которых	4	21
128	той же	8	21
129	в своей	11	21
130	ни в	5	21
131	в конце	8	21
132	но только	1	21
133	как мы	13	21
134	и вот	1	21
135	и только	3	21
136	другой стороны	6	20
137	в то	15	20
138	тот же	2	20
139	мы имеем	1	20
140	она не	10	20
141	несмотря на	7	20
142	на этом	2	20
143	там где	12	20
144	это не	12	20
145	все эти	13	20
146	в одном	20	19
147	мы уже	4	19
148	в какой	2	19
149	мы должны	3	19
150	в ее	2	19
151	у него	11	19
152	он говорит	2	19
153	с этой	2	18
154	в которой	2	18
155	можно было	3	18
156	но в	14	18
157	зависимости от	5	18
158	в каком	1	18
159	что с	1	18
160	на самом	5	18
161	но не	12	18
162	и есть	3	18
163	был бы	6	18
164	перед нами	12	18
165	в виду	3	17
166	во всяком	7	17
167	время как	2	17
168	что для	2	17
169	из этих	3	17
170	но это	6	17
171	одна из	5	17
172	только не	2	17
173	у нас	3	17
174	и о	7	17
175	и к	5	16
176	из которых	3	16
177	к этому	1	16
178	та же	1	16
179	то это	3	16
180	самого начала	2	16
181	с самого	1	16
182	в таком	3	16
183	же как	2	16
184	и тем	1	16
185	очень легко	1	16
186	не имеет	2	16
187	так и	8	16
188	тому как	3	16
189	от того	4	16
190	в результате	7	15
191	в них	5	15
192	только на	3	15
193	что именно	1	15
194	во всех	4	15
195	мы знаем	1	15
196	о которых	1	15
197	могли бы	2	15
198	не могут	10	15
199	и так	2	15
200	о котором	1	15
201	и потому	7	15
202	в зависимости	5	15
203	которых мы	1	15
204	утверждает что	1	15
205	далеко не	7	15
206	еще не	10	15
207	для него	23	15
208	в частности	1	15
209	в совершенно	1	14
210	хотя бы	4	14
211	но он	4	14
212	то время	2	14
213	в художественном	6	14
214	это и	5	14
215	это только	1	14
216	того как	3	14
217	прежде всего	16	14
218	что всякое	1	14
219	такой же	4	14
220	что на	1	14
221	те же	3	14
222	в жизни	5	14
223	не то	1	14
224	этих двух	1	14
225	бы в	7	14
226	должна быть	8	14
227	это есть	1	14
228	всяком случае	4	14
229	этом отношении	3	14
230	или в	7	14
231	к которым	1	14
232	по существу	6	14
233	в области	1	14
234	с ним	8	14
