N	2gram	Medvedev_U	Vvedenie
1	в том	2	38
2	в этом	7	35
3	и в	14	35
4	может быть	6	30
5	том что	2	30
6	не только	10	26
7	таким образом	2	21
8	не может	7	19
9	то что	7	19
10	но также	1	16
11	только в	2	16
12	о том	1	16
13	что в	1	13
14	в самом	2	13
15	и не	8	13
16	в нем	1	13
17	в его	2	12
18	того что	1	12
19	в их	4	12
20	что такое	4	12
21	как на	1	12
22	то же	5	11
23	по себе	2	11
24	в данном	1	11
25	этом смысле	2	11
26	прежде всего	8	10
27	не в	2	10
28	между тем	2	10
29	в той	1	10
30	но в	3	10
31	смысле этого	2	9
32	все же	3	9
33	но не	2	9
34	это не	3	8
35	в качестве	1	8
36	о котором	1	8
37	широком смысле	1	8
38	с другой	4	8
39	и то	3	7
40	до сих	2	7
41	в большей	1	7
42	в широком	2	7
43	как и	3	7
44	самом деле	2	7
45	но и	4	7
46	сих пор	2	7
47	было бы	3	7
48	только как	1	7
49	об этом	1	6
50	этом случае	1	6
51	все это	5	6
52	не могут	2	6
53	тем что	2	6
54	с тем	1	6
55	в которых	1	6
56	же время	3	6
57	и это	1	6
58	уже не	1	6
59	и даже	1	6
60	хотя бы	5	6
61	и что	1	6
62	сказать что	1	6
63	могут быть	2	6
64	но если	1	6
65	в то	3	6
66	что и	2	5
67	в виду	1	5
68	другой стороны	3	5
69	в г	1	5
70	одним из	2	5
71	не есть	2	5
72	что он	2	5
73	одно из	1	5
74	данном случае	1	5
75	наука о	1	5
76	в течение	1	5
77	а не	10	5
78	в различных	1	5
79	и т.д	3	5
80	быть в	1	5
81	а как	2	5
82	независимо от	1	5
83	этот процесс	1	4
84	с одной	1	4
85	как науки	1	4
86	тогда когда	1	4
87	об искусстве	1	4
88	этом отношении	2	4
89	о чем	2	4
90	как раз	2	4
91	в виде	1	4
92	в себе	2	4
93	так или	1	4
94	или иначе	1	4
95	в котором	1	4
96	в своей	3	4
97	по крайней	2	4
98	даже и	2	4
99	одной стороны	1	4
100	мы имеем	1	4
101	не вполне	1	4
102	крайней мере	2	4
103	можно сказать	1	4
104	той же	1	4
105	в области	3	4
106	и для	2	4
107	само по	1	4
108	этого термина	2	3
109	истории литературы	3	3
110	и этого	1	3
111	в свое	1	3
112	история литературы	1	3
113	что с	1	3
114	как такового	3	3
115	этой области	3	3
116	того как	1	3
117	обе эти	1	3
118	именно как	2	3
119	из которых	1	3
120	не как	3	3
121	но что	1	3
122	материал для	2	3
123	если бы	2	3
124	науки об	1	3
125	в конце	2	3
126	находит себе	1	3
127	вряд ли	3	3
128	большей или	1	3
129	в известном	1	3
130	литературы в	1	3
131	в конечном	4	3
132	бы и	2	3
133	что же	1	3
134	в значительной	1	3
135	входит в	1	3
136	же как	1	3
137	в ней	1	3
138	вот почему	7	3
139	в частности	3	3
140	или иных	2	3
141	может служить	1	3
142	в этой	4	3
143	же самое	2	3
144	не следует	3	3
145	о литературе	1	3
146	или меньшей	1	3
147	до конца	1	3
148	в своем	1	3
149	что она	2	3
150	язык в	1	3
151	к этому	1	3
152	тех или	2	3
153	для этого	3	3
154	никогда не	1	3
155	с которыми	1	2
156	так и	1	2
157	должна была	2	2
158	находятся в	1	2
159	научного анализа	1	2
160	должна быть	2	2
161	мы не	2	2
162	есть язык	1	2
163	смысле и	1	2
164	это уже	2	2
165	он и	1	2
166	природе и	1	2
167	сам по	1	2
168	о которой	1	2
169	время не	1	2
170	не столько	2	2
171	у нас	3	2
172	самое что	1	2
173	говорит он	1	2
174	не было	1	2
175	течение многих	1	2
176	этого не	1	2
177	и с	2	2
178	то о	1	2
179	меньшей мере	1	2
180	по существу	2	2
181	в наиболее	1	2
182	и так	1	2
183	по его	1	2
184	и истории	1	2
185	искусство и	1	2
186	и потому	1	2
187	материалов и	1	2
188	мы можем	1	2
189	не существует	1	2
190	что мы	2	2
191	ничего не	2	2
192	художественных произведений	2	2
193	поэтов и	1	2
194	в этот	1	2
195	значительной мере	1	2
196	еще раз	1	2
197	вообще в	1	2
198	а между	2	2
199	литературы и	2	2
200	искусства и	1	2
201	как искусство	1	2
202	отсюда и	1	2
203	и др	1	2
204	должно быть	1	2
205	к проблемам	1	2
206	истории искусств	1	2
207	тем более	1	2
208	на то	1	2
209	по меньшей	1	2
210	это в	1	2
211	надо было	2	2
212	но это	2	2
213	конце концов	2	2
214	бы в	1	2
215	имеет свою	1	2
216	в совокупности	1	2
217	т.д в	1	2
218	что было	1	1
219	все в	1	1
220	к лицу	1	1
221	было у	1	1
222	иначе говоря	1	1
223	для начала	1	1
224	для второго	1	1
225	все что	1	1
226	есть наука	1	1
227	бы то	3	1
228	сходных с	1	1
229	для себя	1	1
230	себе применение	1	1
231	и ученики	1	1
232	или по	1	1
233	так он	1	1
234	неудивительно что	2	1
235	материала и	2	1
236	для него	3	1
237	ни было	3	1
238	на одно	1	1
239	это значит	1	1
240	он называет	1	1
241	и лингвистика	1	1
242	а это	1	1
243	дан в	1	1
244	в пользу	1	1
245	почему в	1	1
246	что при	1	1
247	в некоторых	2	1
248	ее в	1	1
249	метода он	1	1
250	с каждым	1	1
251	о методах	1	1
252	у него	1	1
253	как таковым	1	1
254	что все	2	1
255	если не	2	1
256	более или	1	1
257	но он	1	1
258	целого но	1	1
259	и техники	1	1
260	особую науку	1	1
261	выяснять причины	1	1
262	в россии	4	1
263	и все	1	1
264	к сумме	1	1
265	историю литературы	1	1
266	содержание и	1	1
267	из самых	1	1
268	принципа в	1	1
269	и эта	1	1
270	но для	1	1
271	методологии истории	1	1
272	очевидно что	3	1
273	точном смысле	1	1
274	искусства как	2	1
275	слова а	1	1
276	в таком	1	1
277	так много	1	1
278	впрочем не	1	1
279	широком и	1	1
280	состоит из	1	1
281	что по	1	1
282	при более	1	1
283	в точном	1	1
284	или даже	1	1
285	далеко не	1	1
286	на эту	2	1
287	словесного искусства	1	1
288	был первым	1	1
289	области в	1	1
290	правда не	1	1
291	без этого	1	1
292	метода в	1	1
293	это было	2	1
294	в итоге	2	1
295	на его	1	1
296	в сторону	2	1
297	для читателя	1	1
298	или менее	1	1
299	как метода	2	1
300	и у	2	1
301	или системой	1	1
302	можем его	1	1
303	а для	1	1
304	вопроса о	2	1
305	нам представляется	2	1
306	напр в	1	1
307	методе и	1	1
308	перестает быть	5	1
309	его и	2	1
310	не самый	1	1
311	искусства вообще	1	1
312	в противовес	2	1
313	что этот	1	1
314	состоять в	1	1
315	направлено на	1	1
316	не исключительно	1	1
317	в исторической	1	1
318	об ее	1	1
319	эпоху к	1	1
320	превращается в	2	1
321	это то	1	1
322	быть не	1	1
323	объясняется и	1	1
324	для первого	1	1
325	в которой	1	1
326	бы только	1	1
327	случае все	1	1
328	о принципах	1	1
329	изучение этого	1	1
330	содержания и	1	1
331	не приходится	2	1
332	мы снова	1	1
333	есть ли	1	1
334	и является	2	1
335	своей работе	1	1
336	к области	2	1
337	за пределы	1	1
338	которых так	1	1
339	задачи и	1	1
340	несомненно представляет	1	1
341	существование в	1	1
342	человека и	1	1
343	и исторические	1	1
344	то ни	3	1
345	была уже	1	1
346	поэтика и	1	1
347	всего что	1	1
348	имеем в	1	1
349	литературы как	1	1
350	он в	1	1
351	нет и	1	1
352	менее заметным	1	1
353	впервые в	1	1
354	речи в	1	1
355	деле есть	1	1
356	чем то	1	1
357	установка на	1	1
358	формы в	3	1
359	которое мы	1	1
360	для изучения	1	1
361	так возникает	1	1
362	не значит	1	1
363	только при	1	1
364	же в	1	1
365	биографии данного	1	1
366	и прежде	1	1
367	этого и	1	1
368	эта работа	1	1
369	он был	1	1
370	чем к	1	1
371	на элемент	1	1
372	месте в	1	1
373	в системе	2	1
374	меньшей степени	2	1
375	вопрос построения	1	1
376	быть оправдано	1	1
377	тот же	1	1
378	почти не	1	1
379	не то	1	1
380	искусства в	1	1
381	заключенных в	1	1
