N	3gram	Berdyaev_O	Problema
1	о том что	1	39
2	в том что	1	37
3	во всяком случае	1	25
4	сам по себе	1	21
5	и то что	1	20
6	на то что	1	19
7	для того чтобы	3	17
8	как будто бы	1	14
9	не может быть	2	12
10	и в этом	2	12
11	о том как	1	7
12	но и в	2	7
13	хотя и не	1	7
14	в самом деле	1	6
15	то что в	1	6
16	и в его	1	6
17	можно ли сказать	2	6
18	не есть просто	1	6
19	хотя бы даже	1	6
20	даже и в	1	6
21	в этом отношении	1	6
22	само по себе	1	6
23	ли сказать что	2	5
24	и прежде всего	1	5
25	а вовсе не	1	5
26	да и то	1	5
27	что это за	1	4
28	это было бы	2	4
29	и не в	1	4
30	вовсе не так	1	4
31	там и здесь	1	4
32	друг к другу	1	4
33	в вечном муже	1	3
34	все еще не	1	3
35	как и в	1	3
36	с тем что	2	3
37	по сравнению с	1	3
38	бросается в глаза	1	3
39	том что в	1	3
40	и никогда не	2	3
41	не в силах	1	3
42	от того что	1	3
43	и не очень	1	3
44	или лучше сказать	1	3
45	после того как	1	3
46	ни с чем	1	2
47	в братьях карамазовых	1	2
48	в виду не	1	2
49	и все же	1	2
50	а не только	1	2
51	в каждом из	1	2
52	ни к каким	1	2
53	не было и	1	2
54	а не в	2	2
55	и в том	1	2
56	и не может	1	2
57	в том случае	1	2
58	только и состоит	1	2
59	и в самом	1	2
60	и там и	1	2
61	необходимо подчеркнуть еще	1	1
62	так что для	1	1
63	есть одно из	1	1
64	человека в этом	1	1
65	действующих лиц в	1	1
66	и для человеческого	1	1
67	преступлении и наказании	3	1
68	него всегда есть	1	1
69	записках из подполья	3	1
70	лучше сказать с	1	1
71	же это за	2	1
72	нет ничего кроме	2	1
73	людей но и	1	1
74	иван карамазов есть	1	1
75	есть не только	1	1
76	вот оказывается что	1	1
77	это не есть	1	1
78	и все это	1	1
79	человека а не	1	1
80	в романах достоевского	3	1
81	смысле этого слова	1	1
82	и все эти	1	1
83	вещей и предметов	1	1
84	приходит в голову	1	1
85	не приходит в	1	1
86	в записках из	3	1
87	преступление и наказание	1	1
88	от человека к	1	1
89	то он должен	1	1
90	но никогда не	1	1
91	и даже когда	1	1
92	хотя бы самый	1	1
93	не в ней	1	1
94	и не быть	1	1
95	достоевский прежде всего	2	1
96	в этих словах	1	1
97	в россии в	1	1
98	он сам и	1	1
99	что во всяком	1	1
100	в одно время	1	1
101	у достоевского нет	1	1
102	о человеке ни	1	1
103	ничего не хочет	1	1
104	сказать что они	2	1
105	потому что ведь	1	1
106	легенда о великом	2	1
107	как и все	2	1
108	с разных сторон	2	1
109	есть уже не	1	1
110	том случае если	1	1
111	все это было	1	1
112	и он не	1	1
113	прежде всего в	1	1
114	ни с каким	1	1
115	в самом начале	1	1
116	бы и не	1	1
117	в легенде о	3	1
118	уже сам по	1	1
119	это должно быть	1	1
120	что же это	2	1
121	человека вообще и	1	1
122	ни у кого	2	1
123	нет у него	1	1
124	не так как	1	1
125	не в том	1	1
126	но и тут	1	1
127	о его бесконечной	1	1
128	творчества но о	1	1
129	в русской и	1	1
130	у достоевского не	1	1
131	как бы и	1	1
132	не могут быть	2	1
133	на человеческом языке	1	1
134	и вопрос о	1	1
135	в силу чего	1	1
136	у него не	2	1
137	тысячи лет назад	1	1
138	чтобы все эти	1	1
139	что у него	2	1
140	что не все	1	1
141	униженные и оскорбленные	1	1
142	свободы человеческого духа	1	1
143	в эпоху возрождения	1	1
144	значение что же	1	1
145	по себе есть	1	1
146	потому что у	1	1
147	обычном смысле слова	1	1
148	он не только	1	1
149	и действительно в	1	1
150	у кого не	1	1
151	дело доходит до	1	1
152	у л толстого	1	1
153	в самой жизни	1	1
154	не имеют самостоятельного	1	1
155	он прежде всего	2	1
156	но в этой	1	1
157	на огромное значение	1	1
158	в обычном смысле	1	1
159	о великом инквизиторе	6	1
160	всякого человека и	1	1
161	а в его	1	1
162	должен был бы	1	1
163	все что было	1	1
164	иначе чем в	1	1
165	в преступлении и	3	1
