N	4gram	Vygotskiy_	RusskieA
1	состоит в том что	1	26
2	в том что в	1	8
3	не что иное как	1	4
4	до тех пор пока	2	3
5	состоит в том чтобы	1	3
6	как это имеет место	1	3
7	так же как и	1	3
8	ни одно из этих	2	2
9	привело к тому что	1	2
10	что в один из	1	1
11	из этих толкований не	1	1
12	представлять себе дело так	1	1
13	как мы увидим ниже	1	1
14	не потому что они	1	1
15	одна и та же	2	1
16	и что в этом	2	1
17	но совершенно очевидно что	1	1
18	может быть понято как	1	1
19	в то время как	3	1
20	бросается в глаза что	1	1
21	в том что они	2	1
22	одного и того же	1	1
23	мы увидим ниже что	1	1
24	мы уже видели на	1	1
25	о том что это	1	1
26	до сих пор в	1	1
27	или во всяком случае	2	1
28	сводится к тому что	1	1
29	о ее связи с	1	1
30	делается для того чтобы	1	1
31	перед нами когда мы	1	1
32	одно из этих толкований	1	1
33	это делается для того	1	1
34	себе дело так будто	1	1
35	для того чтобы вызвать	1	1
36	к тому что в	1	1
37	не имеют ничего общего	1	1
