N	2gram	Losev_Prob	Vladivir
1	и в	64	116
2	то что	72	71
3	и не	63	67
4	в году	1	65
5	не только	37	65
6	в этом	30	53
7	в том	19	52
8	том что	26	51
9	что в	21	48
10	но и	23	47
11	в конце	13	41
12	в его	12	40
13	и с	12	39
14	то есть	61	37
15	и даже	19	36
16	сказать что	33	36
17	также и	22	36
18	учение о	5	35
19	так что	12	35
20	потому что	24	33
21	что он	11	32
22	еще и	9	32
23	не может	18	31
24	о том	25	30
25	только в	19	30
26	как мы	10	29
27	никогда не	8	29
28	для него	2	29
29	вовсе не	60	27
30	а в	7	27
31	не было	7	26
32	в себе	16	25
33	но в	19	25
34	в то	7	25
35	и то	15	25
36	и его	3	25
37	а также	6	24
38	даже и	18	24
39	философии и	4	23
40	точки зрения	5	23
41	между прочим	3	23
42	он не	5	23
43	может быть	29	23
44	что же	18	23
45	кроме того	7	22
46	он был	2	22
47	ни в	13	22
48	так как	16	22
49	в виде	20	22
50	об этом	10	22
51	в своей	8	21
52	вместе с	4	21
53	а именно	16	20
54	и что	21	20
55	в своем	7	20
56	для нас	11	20
57	прежде всего	17	20
58	не менее	26	19
59	в дальнейшем	5	19
60	и вообще	13	19
61	по поводу	6	19
62	как раз	20	19
63	тем не	25	19
64	таким образом	9	19
65	в течение	1	19
66	так и	17	19
67	и потому	3	19
68	как и	7	18
69	не мог	1	18
70	не в	6	18
71	не был	4	18
72	хотя и	8	18
73	как это	7	18
74	м с	2	18
75	с его	3	18
76	то это	3	17
77	что и	2	17
78	в этой	14	17
79	едва ли	10	17
80	и если	9	17
81	а не	21	17
82	необходимо сказать	7	17
83	у нас	31	17
84	все же	7	16
85	уже не	9	16
86	к тому	5	16
87	не есть	49	16
88	совсем не	9	16
89	для себя	9	16
90	и все	9	16
91	было бы	16	16
92	того что	18	16
93	в котором	5	16
94	а н	1	16
95	и к	2	15
96	то же	10	15
97	в своих	3	15
98	к этому	1	15
99	несмотря на	6	15
100	в связи	7	15
101	иной раз	3	15
102	разного рода	9	15
103	до конца	1	15
104	но это	11	15
105	это было	3	15
106	того же	3	14
107	в с	2	14
108	все эти	15	14
109	раз и	13	14
110	тут же	3	14
111	его жизни	1	14
112	же касается	3	14
113	мы уже	8	14
114	в москве	2	14
115	и на	11	14
116	уже в	6	14
117	и как	10	14
118	н в	1	14
119	в результате	6	13
120	с тем	6	13
121	можно сказать	9	13
122	так же	12	13
123	не просто	30	13
124	на этот	3	13
125	и от	3	13
126	что это	4	13
127	то время	2	13
128	да и	11	13
129	дело в	3	13
130	жизни и	1	13
131	по себе	20	12
132	только на	13	12
133	некоторого рода	9	12
134	и это	13	12
135	и по	3	12
136	в нем	14	12
137	то в	6	12
138	содержит в	7	12
139	если не	6	12
140	всяком случае	11	12
141	ничего не	20	12
142	во всяком	18	12
143	есть только	16	12
144	связи с	8	12
145	учения о	3	12
146	мы сейчас	1	12
147	при этом	8	11
148	но что	3	11
149	более или	7	11
150	всякого рода	3	11
151	в данном	16	11
152	хотя бы	15	11
153	тому же	1	11
154	в которой	2	11
155	я не	1	11
156	на то	12	11
157	он уже	1	11
158	и здесь	8	11
159	в основном	1	11
160	никак не	13	11
161	в отношении	7	11
162	это есть	10	11
163	еще в	2	11
164	все это	11	11
