N	3gram	Tiupa_Anal	NovoeSre
1	не может быть	2	4
2	со всех сторон	1	3
3	подобно тому как	3	3
4	лицом к лицу	1	3
5	вопрос о том	1	2
6	ни одна из	1	2
7	в этом смысле	1	2
8	с одной стороны	3	2
9	с другой стороны	7	2
10	лишь в том	1	1
11	в том что	12	1
12	не в том	1	1
13	в этой системе	2	1
14	до сих пор	1	1
15	бог не есть	1	1
16	хотя и в	1	1
17	в истории не	1	1
18	в такой же	1	1
19	что она не	1	1
20	в зависимости от	1	1
21	бы он и	1	1
22	по своей природе	1	1
23	нового времени в	1	1
24	можно было бы	1	1
25	такой же мере	1	1
26	не только в	5	1
27	но и в	2	1
28	в большинстве случаев	1	1
29	ни за какие	1	1
30	в том чтобы	2	1
31	в отличие от	5	1
32	в значительной степени	3	1
33	не менее чем	1	1
34	и потому оно	1	1
35	в одну из	1	1
36	о том что	7	1
37	же как и	1	1
38	что в этом	1	1
39	и того же	4	1
40	не могут быть	1	1
41	дня и ночи	1	1
42	было бы сказать	1	1
43	как и в	6	1
44	а не с	1	1
45	во всяком случае	6	1
46	к одному из	1	1
47	прежде всего они	1	1
48	что в новом	1	1
49	от жизни в	1	1
50	в то время	1	1
51	не должно быть	1	1
52	имея в виду	1	1
53	по природе своей	3	1
54	в известном смысле	2	1
55	одного и того	4	1
