N	3gram	Propp_Russ	KulturaY
1	и т п	1	93
2	и т д	12	42
3	для того чтобы	6	38
4	с точки зрения	3	36
5	в том что	27	33
6	можно было бы	2	25
7	тем не менее	3	19
8	во всяком случае	1	19
9	в русском языке	1	15
10	в том чтобы	2	14
11	по отношению к	1	13
12	только потому что	1	13
13	в связи с	4	12
14	не может быть	1	11
15	в этом отношении	1	11
16	о том что	6	10
17	вместе с тем	10	9
18	на самом деле	1	8
19	т е как	1	8
20	не только в	1	8
21	в этом случае	9	8
22	в свою очередь	2	7
23	с одной стороны	1	7
24	после того как	3	7
25	в отличие от	4	6
26	только тогда когда	3	6
27	в первую очередь	1	6
28	можно говорить о	1	5
29	и пр и	1	5
30	потому что он	2	5
31	более или менее	1	5
32	в данном случае	7	5
33	и в этом	2	5
34	т е в	6	5
35	но все же	2	5
36	не потому что	1	5
37	тем более что	1	5
38	на этот вопрос	1	5
39	как мы видели	1	5
40	т е на	2	4
41	и того же	1	4
42	к тому что	4	4
43	состоит в том	16	4
44	одного и того	1	4
45	т д и	1	4
46	и потому что	2	4
47	на то что	2	4
48	точно так же	1	4
49	т е с	1	4
50	так же как	5	4
51	т е когда	1	3
52	в таком случае	1	3
53	точки зрения в	1	3
54	тех случаях когда	2	3
55	есть вместе с	1	3
56	с тем что	1	3
57	е как бы	1	3
58	в тех случаях	2	3
59	не только для	1	3
60	мы увидим что	1	3
61	на себя внимание	2	3
62	не только потому	1	3
63	в настоящее время	3	3
64	в то время	3	3
65	в противном случае	1	3
66	что и в	1	3
67	не только как	1	3
68	а может быть	1	2
69	это не значит	2	2
70	мы наблюдаем в	1	2
71	можно говорить об	1	2
72	в применении к	1	2
73	а следовательно и	1	2
74	только о том	1	2
75	в большинстве случаев	2	2
76	и в таком	1	2
77	это имело место	1	2
78	у нас в	1	2
79	в собственном смысле	1	2
80	у нас нет	1	2
81	в совершенно ином	1	2
82	обращает на себя	1	2
83	и в других	7	2
84	потому что она	1	2
85	потому что в	1	2
86	как например в	1	2
87	ничего общего с	1	2
88	иметь в виду	2	2
89	в особенности же	1	2
90	в двух направлениях	1	2
91	в научной литературе	1	2
92	хотя и не	1	2
93	это все же	1	2
94	так как он	1	2
95	из того что	1	2
96	для этой цели	2	2
97	и в том	2	2
98	быть не может	1	2
99	в одном из	1	2
100	т е не	1	2
101	а вместе с	1	2
102	на тех же	1	2
103	а так как	1	2
104	как мы знаем	1	2
105	не до конца	1	2
106	в другом месте	1	2
107	такая точка зрения	1	2
108	можно сказать что	1	2
109	таким образом в	1	2
110	не что иное	3	2
111	что мы имеем	1	2
112	сюда же относится	1	2
113	что иное как	3	2
114	к этому же	3	2
115	потому что они	1	2
116	может быть и	3	2
117	представлять себе дело	1	1
118	о характере этого	1	1
119	пожалеть что в	1	1
120	это имеет место	3	1
121	когда пишет что	1	1
122	себе дело так	2	1
123	во многих других	1	1
124	одном ряду с	1	1
125	т д а	1	1
126	и по другим	1	1
127	в объяснении этого	1	1
128	на том основании	1	1
129	в области изучения	2	1
130	никак не может	1	1
131	может быть лучше	1	1
132	может рассматриваться как	1	1
133	то что им	1	1
134	указывает что в	1	1
135	но и на	2	1
136	и в нашем	1	1
137	как в большинстве	1	1
138	того или другого	1	1
139	наряду с этим	1	1
140	мы должны признать	1	1
141	состояло в том	2	1
142	до недавнего времени	1	1
143	не значит что	2	1
144	в своем дневнике	1	1
145	в первые годы	1	1
146	эту точку зрения	1	1
147	и у других	1	1
148	и все это	1	1
149	и после этого	1	1
150	оставляет сомнений в	2	1
151	русском языке на	1	1
152	и некоторые другие	2	1
153	бы говорить о	1	1
154	предположить что в	1	1
155	но не только	1	1
156	том что один	1	1
157	что было в	1	1
158	не только из	1	1
159	по значению своему	1	1
160	того же явления	1	1
161	как это имело	1	1
162	и здесь следует	1	1
163	как мы видим	1	1
164	как это имеет	3	1
165	легко заметить что	1	1
166	но может быть	1	1
167	стоит в одном	1	1
168	один из самых	1	1
169	мы однако не	1	1
170	по аналогии с	1	1
171	нас в данном	1	1
172	в одном ряду	1	1
173	во многих случаях	4	1
174	том что в	7	1
175	ставит себе целью	1	1
176	не оставляет сомнений	2	1
177	не имеет смысла	1	1
178	в этой роли	1	1
179	что именно в	1	1
180	и во многих	1	1
181	не имеет ничего	1	1
182	связанные с этим	1	1
183	что в этом	2	1
184	несмотря на все	1	1
185	в одно место	1	1
186	что подобного рода	1	1
187	дело так будто	1	1
188	с этим в	1	1
189	до того как	2	1
190	например полагает что	1	1
191	значении этого слова	1	1
192	по этому поводу	3	1
193	попытку подойти к	1	1
194	в своей книге	1	1
195	то и дело	2	1
196	а именно в	1	1
197	для нас особенно	1	1
198	и в первый	1	1
199	сказывается и в	1	1
200	собою как бы	1	1
201	одном и том	1	1
202	в связь с	1	1
203	еще не все	1	1
204	но это не	3	1
205	о том чтобы	1	1
206	можно рассматривать как	1	1
207	он так и	1	1
208	видел в нем	1	1
209	в этих случаях	1	1
210	заметок и статей	1	1
211	в том какие	1	1
212	нужно иметь в	1	1
213	том основании что	1	1
214	и должен был	1	1
215	и том же	1	1
216	так и у	1	1
217	как это часто	1	1
218	есть один из	1	1
219	ни о каких	1	1
220	можно предположить что	2	1
221	одним из самых	1	1
222	но и в	1	1
223	сомнений в их	1	1
224	одна из основных	1	1
225	каждый из этих	2	1
226	к другому и	1	1
227	но она не	1	1
228	то же значение	1	1
229	и несмотря на	1	1
230	это не имеет	1	1
231	в это время	3	1
232	можно понимать как	1	1
233	главным образом на	1	1
234	в себе и	1	1
235	сюда же относятся	1	1
236	могут рассматриваться как	1	1
237	как и в	1	1
238	в целом ряде	1	1
239	необходимо для того	1	1
240	для дальнейшего развития	1	1
241	что с ними	1	1
242	было бы говорить	1	1
243	к выводу что	3	1
244	не только у	2	1
245	из всех этих	1	1
246	имеет тот же	1	1
247	значения между тем	1	1
248	одна из наиболее	1	1
249	в значении этого	1	1
250	одном из своих	1	1
251	по существу не	1	1
252	один от другого	1	1
253	о чем свидетельствует	1	1
254	то время как	1	1
255	из ряда других	2	1
256	с а а	1	1
257	того чтобы на	1	1
258	они ничего не	1	1
259	об этом можно	1	1
260	тому как в	1	1
261	таким образом к	1	1
262	что без таких	1	1
263	значения и смысла	1	1
264	мы имеем здесь	1	1
265	входит в круг	1	1
266	приводит к тому	1	1
267	по меньшей мере	1	1
268	так как они	2	1
269	этом случае он	1	1
270	в одном и	1	1
271	известно и в	1	1
272	во всех этих	1	1
273	так что в	1	1
274	у нас на	1	1
275	и другие попытки	1	1
276	смысл который в	1	1
277	стоит в связи	2	1
278	не более как	1	1
279	вне зависимости от	1	1
280	не случайно что	1	1
281	все эти случаи	1	1
282	в этой же	1	1
283	самом деле как	1	1
284	ниже мы увидим	1	1
285	доказать что в	1	1
286	по его мнению	1	1
287	тогда как в	1	1
288	на этом же	1	1
289	составляют необходимую принадлежность	1	1
290	следует обратить внимание	1	1
291	брать на себя	1	1
292	то увидим что	1	1
293	и не только	1	1
294	по содержанию своему	1	1
295	между прочим в	1	1
296	в виду что	2	1
297	но и как	1	1
298	только в тех	1	1
299	мы не можем	5	1
300	на первое место	1	1
