N	2gram	Medvedev_S	DiskursI
1	может быть	2	56
2	не только	3	49
3	и в	3	49
4	как и	1	47
5	и не	1	44
6	в том	5	44
7	том что	2	40
8	в этом	5	38
9	в частности	2	36
10	но и	2	35
11	но не	1	31
12	так и	1	28
13	не может	1	27
14	отнюдь не	1	23
15	еще не	2	23
16	в своей	1	19
17	все же	1	19
18	прежде всего	1	19
19	далеко не	2	18
20	то же	2	17
21	в данном	1	17
22	с другой	1	17
23	в мире	1	17
24	по отношению	2	17
25	отношению к	2	17
26	только в	2	16
27	о том	1	15
28	то что	2	15
29	в его	3	15
30	одной стороны	1	14
31	с одной	1	14
32	не в	3	14
33	это не	1	14
34	как бы	2	13
35	в целом	1	13
36	по природе	2	11
37	не было	1	11
38	столь же	1	11
39	что в	2	11
40	и как	1	11
41	а с	1	10
42	а в	1	10
43	же время	1	10
44	в них	1	9
45	между тем	1	9
46	в силу	1	9
47	в то	1	9
48	в этих	1	8
49	в котором	1	8
50	и о	1	8
51	таким образом	2	7
52	иначе говоря	1	7
53	его в	1	7
54	в этой	1	7
55	в процессе	1	7
56	перед нами	1	7
57	и его	1	7
58	в строгом	1	6
59	именно в	1	6
60	конечном счете	1	6
61	крайней мере	1	6
62	никогда не	1	6
63	сказать и	1	6
64	в конечном	1	6
65	в сущности	1	6
66	что он	1	6
67	по крайней	1	6
68	может служить	1	5
69	я и	1	5
70	тем что	1	5
71	один из	1	5
72	жанра и	1	5
73	за пределы	2	5
74	ничего не	1	5
75	и потому	1	5
76	но она	1	5
77	же самое	1	5
78	как будто	2	5
79	в результате	2	4
80	во всяком	1	4
81	связи с	1	4
82	по себе	1	4
83	в наше	1	4
84	и есть	1	4
85	наше время	1	4
86	с ним	1	4
87	более чем	3	4
88	зависит от	1	4
89	объекта и	1	4
90	далеко еще	1	4
91	строгом значении	1	4
92	более не	1	3
93	на первый	1	3
94	к которому	2	3
95	опираясь на	1	3
96	или не	1	3
97	исторической поэтики	1	3
98	в области	1	3
99	между собой	1	3
100	но как	1	3
101	и что	2	3
102	было бы	2	3
103	и по	1	3
104	должна быть	2	3
105	это и	2	3
106	и более	1	3
107	на основании	1	3
108	тем же	1	3
109	всяком случае	1	3
110	они не	1	3
111	мы не	1	3
112	еще и	1	3
113	место в	1	3
114	все эти	1	3
115	или даже	2	3
116	ли не	1	3
117	он говорит	1	3
118	хотя бы	1	3
119	дело не	2	3
120	для этого	1	3
121	и наконец	1	3
122	что на	1	3
123	те же	1	2
124	происходит не	1	2
125	собой не	1	2
126	с помощью	1	2
127	а между	1	2
128	о литературе	3	2
129	жанр как	1	2
130	точке зрения	1	2
131	все то	1	2
132	в литературоведении	2	2
133	время в	1	2
134	не от	1	2
135	у него	1	2
136	что она	1	2
137	очевидно что	2	2
138	должно было	1	2
139	в чем	1	2
140	остается в	1	2
141	в каждом	1	2
142	теоретической мысли	1	2
143	в него	1	2
144	вопросом о	1	2
145	и должно	1	2
146	том и	1	2
147	ни одно	1	2
148	в любой	1	2
149	вступает в	1	2
150	со своими	1	2
151	на этот	1	2
152	выходит за	1	2
153	может не	1	2
154	все это	7	2
155	же не	1	2
156	по существу	2	2
157	вовсе не	1	2
158	тем более	2	2
159	он ни	1	2
160	мы должны	1	2
161	только то	1	2
162	право на	1	2
163	и только	3	2
164	же это	1	2
165	науки о	1	1
166	новое и	1	1
167	тому что	1	1
168	даже в	1	1
169	а вот	1	1
170	не меняет	1	1
171	происходящее в	1	1
172	могло и	1	1
173	настаивает на	1	1
174	искусство слова	1	1
175	на все	1	1
176	словесного творчества	1	1
177	научной мысли	1	1
178	как совокупность	1	1
179	в смысле	2	1
180	именно такого	1	1
181	как искусство	1	1
182	вопрос автор	1	1
183	спросить о	1	1
184	в противном	1	1
185	или нет	1	1
186	в заключение	1	1
187	система не	1	1
188	представить себе	1	1
189	автор с	1	1
190	и мы	2	1
191	тогда и	1	1
192	не должна	1	1
193	и будет	1	1
194	входящие в	1	1
195	том именно	1	1
196	в конце	2	1
197	исторического развития	2	1
198	литературе и	1	1
199	в связи	1	1
200	между ними	1	1
201	противоположностей и	1	1
202	благодаря тому	1	1
203	по необходимости	1	1
204	упрощенно говоря	1	1
205	бы в	1	1
206	можно принять	1	1
207	положения в	1	1
208	не дает	1	1
209	не один	1	1
210	идей и	2	1
211	это по	1	1
212	именно и	1	1
213	но только	1	1
214	даже не	1	1
215	не место	1	1
216	мы еще	1	1
217	когда мы	1	1
218	на отдельные	1	1
219	образом в	1	1
220	этом не	1	1
221	нет а	1	1
222	и должны	1	1
223	литературы как	1	1
224	что это	1	1
225	никак не	1	1
226	в область	1	1
227	литературного развития	1	1
228	том как	1	1
229	в те	1	1
230	друг от	1	1
231	субъект может	1	1
232	и заключается	2	1
233	наконец в	1	1
234	и разрешить	1	1
235	развития и	1	1
236	ни были	1	1
237	на что	1	1
238	но именно	1	1
239	к субъекту	1	1
240	истории литературы	10	1
241	что автор	1	1
242	для нас	3	1
243	не способен	1	1
244	в виде	1	1
245	в таких	1	1
246	от друга	1	1
247	же по	1	1
248	противном случае	1	1
249	мысли в	1	1
250	утверждение будто	1	1
251	наука о	1	1
252	это как	1	1
253	и остаются	1	1
254	и какие	1	1
255	стало быть	1	1
256	как то	1	1
257	слова но	1	1
258	проникнута и	1	1
259	может означать	1	1
