N	3gram	Bakhtin_sl	RusskieA
1	в том что	4	49
2	и т д	7	21
3	тем не менее	2	14
4	в этом случае	4	12
5	о том что	2	10
6	том что в	1	9
7	для того чтобы	1	8
8	в данном случае	3	8
9	но это не	1	8
10	о том же	2	7
11	мы не можем	1	7
12	не может быть	11	6
13	как мы видели	2	6
14	в связи с	2	5
15	к тому что	2	5
16	мы видели что	1	5
17	как мы уже	4	4
18	в отличие от	12	4
19	не только на	2	4
20	в этих случаях	1	4
21	а иногда и	1	4
22	в то время	2	4
23	можно было бы	2	4
24	во всяком случае	7	4
25	по отношению к	2	3
26	еще далеко не	1	3
27	в какой степени	1	3
28	более или менее	5	3
29	до сих пор	4	3
30	до некоторой степени	1	3
31	самом же деле	1	3
32	в своей книге	1	3
33	на самом же	1	3
34	и в том	2	3
35	в свою очередь	3	3
36	на то что	1	3
37	с точки зрения	11	3
38	между тем это	1	3
39	далеко не все	1	3
40	может быть и	2	3
41	это не значит	2	2
42	в других случаях	2	2
43	в большинстве случаев	11	2
44	и т п	49	2
45	но и на	1	2
46	для наших целей	1	2
47	может быть только	3	2
48	и некоторые другие	1	2
49	друг с другом	2	2
50	но все же	1	2
51	с другой стороны	5	2
52	не только по	1	2
53	в евгении онегине	3	2
54	равно как и	1	2
55	между собой в	1	2
56	мы увидим что	1	2
57	каждый из этих	1	2
58	как и в	2	2
59	можно сказать что	1	2
60	иметь в виду	1	2
61	с таким же	1	2
62	не только в	3	2
63	во всех этих	2	2
64	и в этом	2	2
65	всяком случае не	1	2
66	привело к тому	1	2
67	с одной стороны	7	2
68	в этом отношении	2	2
69	не только как	1	2
70	и связанные с	2	2
71	в одних случаях	1	1
72	быту и в	1	1
73	время от времени	1	1
74	но и по	1	1
75	в нашем быту	1	1
76	и наконец в	2	1
77	только одна из	1	1
78	своей книге о	1	1
79	у нас в	1	1
80	и по формам	1	1
81	одни и те	1	1
82	в первый раз	1	1
83	до наших дней	1	1
84	свой смысл в	1	1
85	и все это	1	1
86	так что они	1	1
87	они как бы	2	1
88	все то что	1	1
89	которые как бы	1	1
90	прямо и непосредственно	4	1
91	как например в	1	1
92	а между тем	2	1
93	может быть не	1	1
94	с одним из	1	1
95	она не может	1	1
96	за тридевять земель	1	1
97	как мы видим	1	1
98	между тем как	1	1
99	не исключена возможность	1	1
100	по аналогии с	1	1
101	в один из	1	1
102	его и в	1	1
103	говорит о том	1	1
104	мы видим что	1	1
105	связанные с этим	1	1
106	которые как известно	1	1
107	одна из форм	1	1
108	не может не	5	1
109	не входит в	1	1
110	из самых распространенных	1	1
111	сама по себе	2	1
112	и там где	5	1
113	но и этого	1	1
114	или во всяком	2	1
115	в применении к	1	1
116	в значительной степени	6	1
117	и потому не	1	1
118	прежде всего как	1	1
119	в одном из	1	1
120	следовательно не только	1	1
121	и могут быть	1	1
122	и те же	1	1
123	в противном случае	1	1
124	одновременно и в	2	1
125	и может быть	1	1
126	но и в	2	1
127	как поэтический образ	1	1
128	со всеми его	1	1
129	не до конца	1	1
130	эта точка зрения	1	1
131	в целом ряде	1	1
132	до этого момента	1	1
133	как один из	1	1
134	а следовательно и	2	1
135	тем и другим	2	1
136	носят ли они	1	1
137	между прочим в	1	1
138	таким образом в	4	1
139	но все это	1	1
140	хотя и не	1	1
141	не выходят за	1	1
142	необходимо иметь в	1	1
143	дело в том	1	1
144	них как в	1	1
145	всех этих случаях	1	1
146	ни с одним	1	1
147	у него нет	2	1
148	в собственном смысле	2	1
149	влияние и на	1	1
150	в русском языке	1	1
151	в новое время	2	1
152	и этого мало	1	1
153	и связанных с	2	1
154	такая точка зрения	1	1
155	представителями которого в	1	1
156	того чтобы придать	1	1
157	то время как	2	1
158	иногда совпадая с	1	1
159	не могла быть	1	1
160	нас в данном	1	1
161	потому что по	1	1
