N	2gram	Bakhtin_KF	EvropaiE
1	и в	28	37
2	в отношении	1	32
3	точки зрения	13	23
4	что в	4	21
5	не только	5	18
6	с точки	10	17
7	в то	3	16
8	то же	5	15
9	хотя бы	5	15
10	отношении к	2	15
11	в качестве	2	14
12	и не	28	14
13	но и	9	14
14	же время	2	14
15	в своем	17	14
16	но в	5	14
17	в этом	15	12
18	в том	6	11
19	в их	9	11
20	в области	2	11
21	так и	2	10
22	в себе	21	9
23	прежде всего	4	9
24	только в	18	9
25	в смысле	6	9
26	не может	29	9
27	отнюдь не	7	9
28	в ее	17	8
29	в своей	11	8
30	между тем	4	8
31	было бы	8	8
32	думать что	2	8
33	к тому	1	8
34	так как	1	7
35	того что	3	7
36	как и	5	7
37	между прочим	1	7
38	по своему	3	7
39	также и	1	7
40	то есть	1	6
41	и даже	1	6
42	и на	3	6
43	том что	4	6
44	вовсе не	7	6
45	во всех	11	6
46	может быть	45	6
47	того чтобы	2	6
48	для того	3	6
49	то что	7	6
50	как бы	9	6
51	на то	1	6
52	тем самым	4	5
53	в виде	2	5
54	не в	13	5
55	но не	12	5
56	от этого	2	5
57	со стороны	8	5
58	и потому	2	5
59	которую мы	1	5
60	как мы	1	5
61	одной из	1	5
62	столь же	1	5
63	и по	1	5
64	в самом	1	4
65	бы то	2	4
66	мы не	3	4
67	в предыдущем	1	4
68	ни было	4	4
69	того или	3	4
70	для нас	4	4
71	для удовлетворения	1	4
72	чем в	1	4
73	само по	1	4
74	в некотором	3	4
75	именно в	5	4
76	в процессе	2	4
77	по себе	2	4
78	не имеет	6	4
79	в каком	4	4
80	культуры в	1	4
81	той или	3	4
82	вопрос о	2	4
83	лежат в	3	4
84	то ни	2	4
85	или иного	3	4
86	как это	1	4
87	несмотря на	1	4
88	к ней	1	4
89	в ней	3	4
90	можно сказать	1	4
91	или иной	2	4
92	мира в	6	4
93	независимо от	3	4
94	и к	1	3
95	и мы	2	3
96	различия в	2	3
97	можно ли	2	3
98	она в	1	3
99	из всех	1	3
100	ее в	1	3
101	что и	7	3
102	в результате	1	3
103	или иную	1	3
104	мы можем	1	3
105	не является	1	3
106	настоящему моменту	1	3
107	к настоящему	1	3
108	не более	1	3
109	дело в	2	3
110	тем что	3	3
111	в стороне	1	3
112	большинстве случаев	1	3
113	как в	2	3
114	жизни в	5	3
115	мира и	4	3
116	в известном	1	3
117	на своем	3	3
118	бы ни	1	3
119	во всяком	1	3
120	ни на	1	3
121	бы и	3	3
122	во все	1	3
123	в данном	2	3
124	ли это	2	3
125	в свою	3	3
126	не дает	3	3
127	ту или	1	3
128	потому что	2	3
129	и тем	3	3
130	во второй	1	3
131	когда он	1	3
132	не будет	2	3
133	и для	10	3
134	этот факт	2	3
135	этом смысле	3	3
136	уже и	1	3
137	себе в	1	3
138	к ним	4	3
139	с тем	2	3
140	известном смысле	1	3
141	в данной	1	3
142	и от	1	3
143	место в	6	3
144	о том	3	3
145	от них	1	3
146	там где	5	3
147	и только	7	3
148	всяком случае	1	3
149	не из	2	3
150	того же	1	3
151	никогда не	5	3
152	данной области	1	2
153	всего в	1	2
154	именно к	1	2
155	утверждать что	1	2
156	и то	2	2
157	во втором	1	2
158	и во	1	2
159	мы видим	1	2
160	и этот	3	2
161	культурные ценности	3	2
162	можно в	1	2
163	этот процесс	1	2
164	на язык	3	2
165	второй половине	1	2
166	и того	2	2
167	должна быть	4	2
168	во власти	1	2
169	тогда когда	3	2
170	и имеет	1	2
171	в его	42	2
172	свою очередь	1	2
173	культуры из	1	2
174	одна и	2	2
175	еще более	2	2
176	мира но	5	2
177	что это	4	2
178	это значит	1	2
179	хотя и	1	2
180	с этим	1	2
