N	2gram	Nazirov_Vr	NovoeSre
1	не может	2	16
2	и в	8	16
3	совсем не	1	12
4	и не	5	11
5	и есть	1	10
6	что в	7	9
7	в том	3	8
8	жизни и	1	8
9	он не	3	8
10	в этом	8	7
11	может быть	4	7
12	не будет	1	7
13	как и	6	7
14	высшей степени	1	6
15	с его	3	6
16	но это	2	6
17	в высшей	1	6
18	никогда не	2	6
19	не только	9	5
20	в ней	4	5
21	все это	4	5
22	в жизни	1	5
23	в нем	6	5
24	с ее	1	5
25	истории к	1	4
26	по своему	1	4
27	быть может	1	4
28	потому что	1	4
29	это не	4	4
30	прежде всего	1	4
31	в них	2	4
32	то что	7	4
33	не было	5	4
34	и все	7	4
35	не менее	2	4
36	не имеет	1	4
37	о том	4	4
38	во всех	1	3
39	в ее	1	3
40	к реальному	1	3
41	в истории	4	3
42	в духе	1	3
43	с другой	1	3
44	к ним	2	3
45	в россии	5	3
46	наряду с	3	3
47	не есть	1	3
48	в своей	2	3
49	в мире	2	3
50	как в	1	3
51	но и	7	3
52	это было	1	3
53	человека и	1	3
54	еще не	2	3
55	с этим	1	2
56	и от	1	2
57	еще до	1	2
58	это и	1	2
59	права на	2	2
60	и что	8	2
61	возвращается к	1	2
62	не могли	1	2
63	ли это	1	2
64	хотя и	1	2
65	которых не	1	2
66	так и	1	2
67	нашего времени	2	2
68	сама жизнь	1	2
69	не могла	1	2
70	другой стороны	1	2
71	этом смысле	1	2
72	у него	5	2
73	место в	2	2
74	а в	2	2
75	и даже	6	2
76	и с	6	2
77	не хотят	1	2
78	и начинается	1	2
79	приближаемся к	1	2
80	равно как	1	2
81	могут быть	1	2
82	в себе	2	2
83	уже не	2	2
84	я не	3	2
85	не знал	1	2
86	же как	2	2
87	такой же	1	2
88	вместе с	2	2
89	но я	1	2
90	одна из	2	2
91	роль в	1	2
92	но не	1	2
93	в то	5	2
94	том что	3	2
95	в мировой	1	2
96	так же	4	2
97	и это	2	2
98	но для	1	2
99	в одну	2	2
100	себя в	1	2
101	но в	6	2
102	и т.п	2	2
103	в той	2	1
104	все в	1	1
105	своего рода	1	1
106	войне и	1	1
107	в самом	1	1
108	ближе к	1	1
109	во всем	1	1
110	нет ничего	1	1
111	то он	1	1
112	все что	1	1
113	человека в	3	1
114	во все	1	1
115	для всех	1	1
116	это конечно	1	1
117	до сих	1	1
118	мире а	1	1
119	и этот	1	1
120	в котором	6	1
121	по преимуществу	1	1
122	что этот	1	1
123	по всем	1	1
124	и русской	1	1
125	они не	1	1
126	из них	2	1
127	также что	1	1
128	который не	1	1
129	уже давно	1	1
130	уже в	4	1
131	эти слова	3	1
132	может идти	1	1
133	вели к	1	1
134	к себе	2	1
135	в свою	2	1
136	во всяком	1	1
137	все свои	1	1
138	мы приближаемся	1	1
139	одну из	1	1
140	он часто	1	1
141	вопросу о	1	1
142	более всего	1	1
143	не всегда	1	1
144	отцы и	2	1
145	из их	1	1
146	а это	1	1
147	в этот	3	1
148	он и	1	1
149	было бы	1	1
150	и из	1	1
151	не должна	1	1
152	этом он	1	1
153	в недрах	1	1
154	в его	3	1
155	от этой	1	1
156	но ведь	1	1
157	и их	1	1
158	говорить о	1	1
159	не с	1	1
160	одному из	1	1
161	это была	1	1
162	людей и	1	1
163	себя на	1	1
164	в виду	4	1
165	еще в	1	1
166	привела к	1	1
167	труд и	1	1
168	по своей	1	1
169	от того	1	1
170	николая i	1	1
171	лежал в	1	1
172	сам этот	1	1
173	что образ	1	1
174	есть еще	1	1
175	россию и	1	1
176	просвещение и	1	1
177	но он	3	1
178	и а	2	1
179	перед ними	1	1
180	не хотел	1	1
181	в этой	2	1
182	этого не	1	1
183	я думаю	1	1
184	франции не	1	1
185	а также	2	1
186	как на	1	1
187	россия в	1	1
188	на нее	1	1
189	во многом	4	1
190	стремится быть	1	1
191	в будущее	1	1
192	из всех	1	1
193	в глубине	1	1
194	оба они	1	1
195	тем что	3	1
196	русский народ	1	1
197	и во	3	1
198	не хочет	1	1
199	к этой	1	1
200	то время	1	1
201	это время	1	1
202	в конце	3	1
203	к которому	1	1
204	в своем	3	1
205	давно уже	3	1
206	есть по	1	1
207	человечества и	1	1
208	с идеями	1	1
209	сих пор	1	1
210	россии в	2	1
211	что он	4	1
212	известном смысле	1	1
213	их в	2	1
214	в силу	1	1
215	всю жизнь	1	1
216	истории человечества	1	1
217	в этих	1	1
218	в период	2	1
219	в речах	1	1
220	не имел	1	1
221	на место	2	1
222	времени а	1	1
223	с ним	4	1
224	мыслей и	1	1
225	во франции	1	1
226	ли он	1	1
227	всяком случае	1	1
228	во время	2	1
229	друг друга	1	1
230	в эти	2	1
231	к вопросу	1	1
232	к своим	1	1
233	в это	2	1
234	того же	1	1
235	в известном	2	1
236	в чем	3	1
237	в каком	1	1
238	не был	1	1
239	и его	3	1
240	в эту	2	1
241	и у	3	1
242	одного и	1	1
243	на это	2	1
244	был в	1	1
245	партии и	1	1
246	разобраться в	1	1
247	чтобы разобраться	1	1
248	гораздо больше	1	1
249	тут нет	1	1
250	к нему	1	1
251	ему не	1	1
252	на них	1	1
