N	2gram	Tiupa_Narr	BTomashe
1	у нас	4	3
2	все это	1	2
3	в ней	5	2
4	можно было	2	2
5	не то	1	2
6	и не	34	2
7	следовало бы	1	1
8	для которой	1	1
9	вопрос о	1	1
10	словесного творчества	1	1
11	и о	4	1
12	о них	5	1
13	было и	2	1
14	нас по	1	1
15	и нет	1	1
16	не только	50	1
17	а о	2	1
18	таким образом	5	1
19	не было	3	1
20	прежде всего	7	1
21	и в	22	1
22	на самом	1	1
23	так и	12	1
24	в своей	8	1
25	иначе не	1	1
26	во всяком	2	1
27	и потому	2	1
28	за пределы	1	1
29	по крайней	1	1
30	как часть	1	1
31	в речи	5	1
32	с другой	6	1
33	не со	1	1
34	об этом	8	1
35	как будто	4	1
36	совершенно не	1	1
37	не о	2	1
38	другой стороны	2	1
39	крайней мере	1	1
40	всяком случае	2	1
41	было бы	2	1
42	не следует	3	1
43	учителя словесности	1	1
44	и ее	3	1
45	одной из	2	1
46	в значительной	1	1
47	о художественной	1	1
48	свести к	2	1
49	в пределах	2	1
50	в данном	17	1
51	должна быть	2	1
52	в области	4	1
53	далеко не	6	1
54	тем более	2	1
55	говорить не	1	1
56	не вполне	3	1
57	и более	2	1
58	что все	1	1
59	не все	2	1
60	никак не	5	1
61	в книге	1	1
62	значительной степени	1	1
63	его не	1	1
64	будто бы	2	1
65	также не	2	1
66	а не	27	1
67	о художественном	1	1
68	отнюдь не	6	1
69	до конца	2	1
70	и на	5	1
71	между ними	3	1
72	еще не	6	1
73	к ней	3	1
74	все же	10	1
75	что в	6	1
