N	4gram	Losev_Prob	Mirosoze
1	и там и здесь	2	6
2	в то время как	6	4
3	не что иное как	6	4
4	одной и той же	1	3
5	в том что он	1	3
6	так же как и	3	3
7	есть не что иное	6	3
8	друг к другу и	1	2
9	все более и более	1	2
10	ни в чем не	2	2
11	не может быть и	1	2
12	у нас не было	1	2
13	том смысле что он	1	1
14	что до сих пор	1	1
15	в том смысле что	4	1
16	мы имеем в виду	1	1
17	тем что он не	1	1
18	и есть не что	1	1
19	можно ли сказать что	2	1
20	не сама по себе	2	1
21	ни с чем не	1	1
22	это и есть настоящее	1	1
23	и по сравнению с	1	1
24	но это не значит	1	1
25	то время как другие	1	1
26	это не значит что	1	1
27	или лучше сказать с	1	1
28	и есть то что	1	1
29	только о том что	1	1
30	может быть и речи	1	1
31	это и есть то	1	1
32	есть та или иная	1	1
33	не может быть никакого	1	1
34	ничего общего не имеет	1	1
35	в тех случаях когда	1	1
36	когда мы говорим что	1	1
