N	4gram	Vygotskiy_	VerxiiNi
1	и вместе с тем	3	3
2	с этой точки зрения	2	2
3	точно так же как	1	2
4	свидетельствует о том что	1	1
5	до сих пор было	1	1
6	состоит в том что	1	1
7	указывает на то что	3	1
8	действия в самом деле	1	1
9	до сих пор не	1	1
10	мы уже говорили о	1	1
11	есть не более как	1	1
12	не совпадает с тем	1	1
13	все более и более	4	1
14	такую видную роль в	1	1
15	в том что они	2	1
16	одного и того же	1	1
17	не в том что	1	1
18	с тем что в	1	1
19	и в этом отношении	1	1
20	но совершенно ясно что	2	1
21	в самом деле если	2	1
22	в том или ином	1	1
23	один и тот же	1	1
