N	3gram	Vygotskiy_	Sovremen
1	мы не можем	2	6
2	с точки зрения	12	5
3	в зависимости от	6	4
4	не может быть	14	4
5	мы видели что	2	3
6	не может не	1	3
7	с самого начала	1	3
8	в свою очередь	3	2
9	с помощью которых	1	2
10	то же самое	8	2
11	во всяком случае	7	2
12	тем не менее	6	2
13	так как он	1	2
14	в отличие от	4	2
15	в настоящее время	2	2
16	он может быть	1	1
17	том случае когда	1	1
18	и всегда мы	1	1
19	есть не что	1	1
20	все же мы	1	1
21	физика и химия	1	1
22	не было бы	3	1
23	что в каждом	1	1
24	разложить ее на	1	1
25	то ни было	1	1
26	таким образом все	2	1
27	мы знаем что	3	1
28	в том что	21	1
29	что при таком	1	1
30	поэтому что с	1	1
31	один и тот	2	1
32	и те же	3	1
33	на самом деле	6	1
34	совершенно независимо от	1	1
35	дело идет о	1	1
36	не могут быть	2	1
37	до сих пор	8	1
38	одни и те	3	1
39	одной стороны и	1	1
40	в которой он	1	1
41	а может быть	1	1
42	до наших дней	1	1
43	имеет только один	1	1
44	нуждаются в объяснении	2	1
45	в свое время	1	1
46	сами по себе	4	1
47	представление о том	2	1
48	и тот же	2	1
49	не что иное	2	1
50	той же природы	1	1
51	которая не может	2	1
52	в связи с	2	1
53	может быть в	1	1
54	в самом деле	13	1
55	дело в том	1	1
56	в такой же	1	1
57	у каждого из	1	1
58	в том случае	3	1
59	и могут быть	1	1
60	только один смысл	1	1
61	ясно что при	2	1
62	равны между собой	1	1
63	и во всех	2	1
64	что иное как	2	1
65	в данном случае	1	1
66	и не было	1	1
67	только ничего не	1	1
68	который как бы	1	1
69	совершенно так же	1	1
70	не только ничего	1	1
71	и той же	5	1
72	в конечном счете	6	1
73	когда мы говорим	1	1
74	с одной стороны	6	1
75	следующим образом если	1	1
76	одной и той	5	1
77	в этой области	3	1
78	мы не знаем	1	1
79	в известном смысле	1	1
80	в одном случае	1	1
81	такой же мере	1	1
82	так же как	8	1
83	по аналогии с	1	1
84	точки зрения и	1	1
85	то же время	2	1
86	не в том	7	1
87	а не только	1	1
88	и что следовательно	3	1
89	у нас есть	1	1
90	и может быть	1	1
91	в том как	1	1
92	в то же	2	1
93	оно может быть	1	1
94	бы то ни	2	1
95	заключает в себе	3	1
96	красивое оперение птиц	1	1
97	на этот раз	1	1
98	на этот вопрос	1	1
99	было бы так	1	1
100	таким образом из	1	1
101	к одному и	2	1
102	и в этом	1	1
103	по крайней мере	1	1
104	то он уже	1	1
105	те или иные	1	1
106	же самое что	2	1
107	и ничего не	1	1
108	можно было бы	2	1
109	в этом смысле	3	1
110	в процессе развития	1	1
111	и не может	2	1
112	ясного и отчетливого	1	1
113	мы видим что	4	1
114	вместе с последней	1	1
115	может быть только	1	1
