N	4gram	Berdyaev_M	Tvorches
1	в преступлении и наказании	1	16
2	в записках из подполья	2	5
3	легенда о великом инквизиторе	1	3
4	и не может быть	1	3
5	преступление и наказание а	1	2
6	переходит в свою противоположность	3	2
7	место в творчестве достоевского	2	2
8	это не значит что	1	2
9	к человеку как к	1	2
10	с такой силой как	1	1
11	и в самом последнем	1	1
12	не что иное как	4	1
13	в начале xx века	1	1
14	легенде о великом инквизиторе	2	1
15	достоевского нет ничего кроме	1	1
16	уже в записках из	1	1
17	достоевского есть прежде всего	2	1
18	в том смысле что	1	1
19	в творчестве достоевского есть	1	1
20	и сам достоевский в	1	1
21	все более и более	1	1
22	в творчестве достоевского но	1	1
23	одна и та же	2	1
24	по отношению к достоевскому	1	1
25	у достоевского нет никаких	1	1
26	ни в чем не	2	1
27	бы он ни был	1	1
28	кто бы он ни	1	1
29	но это не значит	1	1
30	в том что это	1	1
31	и в самом деле	1	1
32	великом инквизиторе иван карамазов	1	1
33	мир в котором не	1	1
34	что красота спасет мир	1	1
35	мы имеем в виду	1	1
36	и добро и зло	1	1
37	начале xix века в	1	1
38	бесы и братья карамазовы	1	1
39	одну и ту же	1	1
40	и в конце концов	2	1
41	в свою противоположность в	1	1
42	так же как и	1	1
43	в начале xix века	1	1
44	не может быть назван	1	1
45	о великом инквизиторе иван	1	1
