N	2gram	Medvedev_B	Russkaja
1	и не	2	19
2	и в	1	14
3	таким образом	1	11
4	не только	1	9
5	во всяком	1	9
6	прежде всего	1	8
7	в данном	1	7
8	отнюдь не	1	7
9	все это	2	6
10	на самом	1	6
11	всяком случае	1	6
12	и на	1	5
13	в своей	1	5
14	вопрос о	1	5
15	было бы	1	5
16	что в	1	4
17	все же	1	4
18	можно было	2	4
19	не было	1	3
20	еще не	1	3
21	и потому	1	3
22	в значительной	1	3
23	говорить о	1	3
24	точке зрения	1	3
25	и во	1	3
26	одной из	1	3
27	что все	1	3
28	должна быть	1	2
29	видеть в	2	2
30	на которой	1	2
31	не о	1	2
32	работа по	1	2
33	совершенно не	1	2
34	больше чем	2	2
35	и более	1	2
36	в ней	2	2
37	а не	1	2
38	и о	1	2
39	как будто	1	2
40	в области	1	2
41	всего в	1	1
42	узко и	1	1
43	ясного и	1	1
44	сейчас в	1	1
45	для которой	1	1
46	так и	1	1
47	неудивительно что	1	1
48	остановиться на	1	1
49	было говорить	1	1
50	целиком в	1	1
51	а о	1	1
52	в эпоху	1	1
53	более что	1	1
54	об этом	1	1
55	тем более	1	1
56	по крайней	1	1
57	следовало бы	1	1
58	говорить не	1	1
59	не следовало	1	1
60	не следует	1	1
61	значительной степени	1	1
62	работу по	1	1
63	с другой	1	1
64	к ней	1	1
65	крайней мере	1	1
66	до конца	1	1
67	никак не	1	1
68	по нашему	1	1
