N	2gram	Bakhtin_KF	Problema
1	и в	28	182
2	то есть	1	165
3	и не	28	152
4	вовсе не	7	145
5	то что	7	144
6	не есть	22	113
7	не только	5	104
8	потому что	2	89
9	в этом	15	88
10	может быть	45	82
11	в том	6	81
12	том что	4	81
13	не просто	1	80
14	только в	18	73
15	но и	9	70
16	в виде	2	69
17	также и	1	68
18	и даже	1	66
19	по себе	2	64
20	не менее	3	58
21	о том	3	57
22	тем не	2	56
23	а не	17	56
24	так и	2	56
25	но в	5	55
26	ни в	12	51
27	для нас	4	50
28	в себе	21	48
29	отнюдь не	7	48
30	смысле слова	1	47
31	было бы	8	46
32	прежде всего	4	45
33	в своей	11	45
34	что в	4	44
35	в его	42	44
36	не в	13	43
37	все эти	11	43
38	то же	5	42
39	а именно	1	42
40	как раз	1	42
41	если мы	1	42
42	и то	2	40
43	что он	2	40
44	так как	1	40
45	что мы	1	40
46	во всяком	1	39
47	не может	29	39
48	и тем	3	39
49	в этой	2	39
50	как бы	9	39
51	той или	3	38
52	в данном	2	38
53	хотя бы	5	37
54	в нем	32	37
55	того что	3	37
56	точки зрения	13	36
57	еще не	5	36
58	и все	9	36
59	когда мы	1	35
60	в виду	3	34
61	уже не	7	34
62	и с	1	34
63	как и	5	34
64	же самое	1	33
65	не является	1	33
66	или иной	2	33
67	здесь не	3	32
68	в то	3	32
69	но не	12	32
70	едва ли	2	32
71	в своем	17	31
72	но это	6	31
73	все это	10	31
74	ясно что	3	30
75	и для	10	30
76	настоящее время	1	30
77	в настоящее	1	30
78	все же	5	29
79	можно сказать	1	29
80	как мы	1	29
81	об этом	1	29
82	мы не	3	28
83	а в	5	28
84	есть только	1	28
85	и о	1	28
86	и это	12	27
87	и как	2	27
88	хотя и	1	27
89	ничего общего	2	27
90	ничего не	3	27
91	в результате	1	26
92	вместе с	1	26
93	это не	10	26
94	и его	18	26
95	мы можем	1	25
96	и на	3	25
97	тем самым	4	25
98	с точки	10	25
99	всяком случае	1	25
100	с тем	2	24
101	на самом	3	24
102	в нашем	1	24
103	не имеет	6	24
104	содержит в	1	23
105	по своему	3	23
106	на то	1	23
107	при этом	4	23
108	в качестве	2	23
109	а только	1	23
110	и к	1	22
111	раз и	2	22
112	только на	1	22
113	можно ли	2	22
114	никогда не	5	22
115	всех этих	3	22
116	нет ничего	1	22
117	значит что	1	22
118	его в	5	22
119	и от	1	22
120	и есть	10	22
121	что и	7	22
122	другими словами	1	22
123	в самом	1	21
124	мы должны	1	21
125	и ее	2	21
126	говорить о	2	21
127	для себя	7	21
128	и только	7	21
129	именно в	5	20
130	для того	3	20
131	но как	5	20
132	и потому	2	20
133	тем что	3	20
134	несмотря на	1	20
135	как о	1	20
136	или в	1	20
137	это значит	1	19
138	с ним	5	19
139	самом деле	3	19
140	в каком	4	19
141	того или	3	19
142	в отношении	1	19
143	но только	1	19
144	этом смысле	3	19
145	он не	6	19
146	это есть	2	19
147	если не	2	19
148	если бы	8	19
149	как в	2	19
150	жизни и	8	19
151	в этих	1	18
152	того же	1	18
153	не было	8	18
154	не будет	2	18
155	и ни	3	18
156	не существует	1	18
157	в ее	17	18
158	того чтобы	2	18
159	в ней	3	18
160	во всех	11	17
161	но уже	1	17
162	и здесь	7	17
163	пока еще	1	17
164	гораздо более	2	17
165	есть именно	2	17
166	мы уже	1	17
167	совсем не	2	17
168	ни о	1	17
169	это и	3	17
170	совершенно не	7	17
171	что она	1	16
172	как это	1	16
173	он и	2	16
174	же в	1	16
175	для этого	2	16
176	но все	6	16
177	к тому	1	16
178	с этим	1	15
179	в чем	4	15
180	что не	3	15
181	здесь в	1	15
182	людей и	3	14
183	уже и	1	14
184	что все	1	14
185	сих пор	1	14
186	а это	2	14
187	все равно	1	14
188	в котором	24	14
189	до сих	1	14
190	то ни	2	14
191	же и	1	13
192	тому что	2	13
193	действительности и	1	13
194	ни на	1	13
195	бы и	3	13
196	только при	1	13
197	или другой	1	13
198	мы имеем	5	13
199	в их	9	13
200	в области	2	13
201	уже давно	1	13
202	или иного	3	13
