N	3gram	Tiupa_Lite	Formalny
1	с точки зрения	4	40
2	не может быть	5	29
3	на самом деле	1	21
4	то же время	12	20
5	в то же	12	20
6	и т п	2	18
7	в связи с	4	16
8	во всяком случае	2	16
9	по отношению к	4	12
10	в самом деле	1	11
11	в этом отношении	5	11
12	бы то ни	1	10
13	в зависимости от	1	10
14	в большинстве случаев	1	9
15	с другой стороны	5	9
16	и не может	1	9
17	для того чтобы	1	8
18	до сих пор	1	8
19	как мы видели	1	8
20	с одной стороны	8	8
21	то ни было	1	7
22	в свою очередь	2	7
23	как мы знаем	1	7
24	и в этом	1	7
25	в том что	15	6
26	и в то	1	6
27	в данном случае	6	6
28	одной стороны и	1	5
29	к тому чтобы	1	5
30	в отличие от	6	5
31	к тому что	1	5
32	в значительной степени	1	5
33	прежде всего в	4	5
34	мы не можем	1	5
35	тем не менее	4	4
36	все более и	1	4
37	в конце концов	1	4
38	более и более	1	4
39	не могут быть	1	4
40	как раз и	1	4
41	вовсе не является	1	4
42	но все же	1	4
43	а не в	1	4
44	с тем же	1	4
45	в лучшем случае	1	4
46	подобно тому как	4	4
47	с самого начала	1	4
48	нет и не	1	4
49	по аналогии с	3	4
50	же время не	2	3
51	в том числе	2	3
52	как и всякое	1	3
53	идеологического кругозора и	1	3
54	всяком случае в	1	3
55	так или иначе	8	3
56	не только на	1	3
57	не сводится к	3	3
58	только то что	2	3
59	бы ни были	1	3
60	в том чтобы	1	3
61	а не как	1	3
62	при этом не	1	3
63	и в частности	1	3
64	но в то	1	3
65	и не менее	1	3
66	именно в том	1	3
67	не могло не	1	3
68	все то что	1	2
69	в той мере	1	2
70	и наконец в	1	2
71	том что искусство	1	2
72	это приводит к	1	2
73	не выходит за	1	2
74	говоря уже о	2	2
75	с этой точки	3	2
76	но даже и	1	2
77	но при этом	2	2
78	как например в	1	2
79	иметь в виду	1	2
80	в отношении к	1	2
81	что перед нами	1	2
82	между тем как	1	2
83	тех или иных	2	2
84	и тем самым	2	2
85	и прежде всего	4	2
86	в пределах одной	1	2
87	в последнее время	1	2
88	было бы наивно	1	2
89	из того что	2	2
90	даже и не	1	2
91	слово как таковое	1	2
92	по тем же	2	2
93	может и не	1	2
94	лишь тогда когда	1	2
95	в основе этой	1	2
96	и тем же	1	2
97	как это было	1	2
98	так и не	1	2
99	в это время	1	2
100	не может и	1	2
101	этой точки зрения	3	2
102	один из моментов	1	2
103	том или ином	1	2
104	в целом ряде	2	2
105	какой бы то	1	2
106	как один из	1	2
107	ничего общего с	2	2
108	не может стать	1	2
109	не говоря уже	3	2
110	в одной из	1	2
111	одним и тем	1	2
112	дело в том	2	2
113	не только в	4	2
114	в этом случае	2	2
115	тот или иной	1	2
116	что он не	1	1
117	в самом начале	1	1
118	как и во	1	1
119	тем более не	1	1
120	каждого из них	1	1
121	не приводит к	1	1
122	например с точки	1	1
123	что в ней	1	1
124	на задний план	1	1
125	того что они	1	1
126	одним из первых	1	1
127	обстоит дело и	1	1
128	однако и здесь	1	1
129	может быть наиболее	1	1
130	он не может	1	1
131	в том же	3	1
132	во внешнем мире	1	1
133	литературного произведения как	1	1
134	органической связи с	1	1
135	искусства и культуры	1	1
136	только при условии	1	1
137	и то же	1	1
138	в частности в	1	1
139	одного и того	1	1
140	все же в	2	1
141	более того он	1	1
142	и всякая иная	1	1
143	как бы между	1	1
144	и не должно	1	1
145	здесь этот образ	1	1
146	с лица земли	1	1
147	лишь в той	1	1
148	романа с этой	1	1
149	и без остатка	1	1
150	о литературе в	1	1
151	может быть от	1	1
152	что он в	1	1
153	и не о	1	1
154	в этой книге	1	1
155	первого и второго	1	1
156	том что этот	1	1
157	существует как бы	1	1
158	до тех пор	2	1
159	а с другой	2	1
160	не могло быть	2	1
161	может быть названа	2	1
162	с обратным знаком	1	1
163	и в пределах	1	1
164	прежде всего это	1	1
165	и того же	1	1
166	в первой главе	1	1
167	состоит в том	8	1
168	искусства с точки	1	1
169	жизни не только	2	1
170	по этому поводу	1	1
171	при этом от	1	1
172	а прежде всего	1	1
173	и нет в	1	1
174	а не только	1	1
175	но не менее	1	1
176	мышления о мире	1	1
177	не было на	1	1
178	теми или иными	1	1
179	в этом последнем	1	1
180	а также и	1	1
181	в чистом виде	1	1
182	а то и	2	1
183	за то что	2	1
184	чуть ли не	2	1
185	той или иной	1	1
186	тем что в	2	1
187	точки зрения для	1	1
188	на то что	1	1
189	не столько в	1	1
190	каждый творческий акт	1	1
191	как и для	1	1
192	в этом же	1	1
193	не нуждается в	1	1
194	в историю литературы	1	1
195	о том что	3	1
196	по крайней мере	2	1
197	ту или иную	2	1
198	мира в его	1	1
199	но и не	1	1
200	только в качестве	1	1
201	и не было	1	1
202	в общественном сознании	1	1
203	в основе всех	1	1
204	и даже в	1	1
205	только в том	2	1
206	конститутивным моментом самого	1	1
207	нет у нас	1	1
208	и культуры в	3	1
209	эстетики и поэтики	1	1
210	она уже не	1	1
211	резко отличается от	1	1
212	одно и то	1	1
213	окружающей его действительности	1	1
214	идет о литературе	1	1
215	только потому что	1	1
216	во всех этих	1	1
217	предшествующим и последующим	1	1
218	в сущности не	1	1
219	как особого рода	1	1
220	произведения искусства с	1	1
221	друг для друга	2	1
222	и в литературе	1	1
223	внешнее и внутреннее	1	1
224	язык а не	1	1
225	как одной из	1	1
226	жизни и в	2	1
227	является одним из	1	1
228	произведение в целом	1	1
229	между прочим и	1	1
230	же время здесь	1	1
231	можно было бы	2	1
232	цену жизни и	1	1
