N	4gram	Tiupa_Hudo	Morfolog
1	в связи с этим	2	4
2	состоит в том что	3	3
3	в том случае если	2	2
4	и т д он	1	2
5	с этой точки зрения	1	1
6	по отношению к этой	1	1
7	есть на самом деле	1	1
8	во что бы то	1	1
9	то можно было бы	1	1
10	бы то ни стало	1	1
11	в том что он	1	1
12	не имеет ничего общего	1	1
13	в тот момент когда	3	1
14	все более и более	1	1
15	в то же время	11	1
16	только в том случае	1	1
17	приводит к тому что	2	1
18	а для того чтобы	1	1
19	что бы то ни	1	1
20	на самом деле в	1	1
21	ответить на вопрос что	1	1
