N	2gram	Bakhtin_Fr	Dialekti
1	и не	23	120
2	а не	6	78
3	и в	67	77
4	точки зрения	7	72
5	может быть	4	71
6	не только	23	66
7	то что	9	59
8	и есть	5	55
9	ничего не	5	54
10	не может	9	53
11	и даже	6	47
12	в мифе	1	47
13	с точки	5	46
14	что это	4	46
15	есть нечто	2	46
16	так как	16	46
17	потому что	8	45
18	не просто	1	44
19	как бы	18	43
20	и что	3	42
21	ни в	5	42
22	не имеет	4	41
23	вовсе не	19	41
24	в том	16	40
25	в этом	27	39
26	то же	18	39
27	что она	4	38
28	в себе	3	38
29	что он	7	37
30	том что	13	37
31	прежде всего	19	37
32	так что	1	36
33	это не	5	36
34	что в	14	34
35	в нем	20	34
36	и все	18	33
37	того что	4	33
38	но и	23	32
39	ясно что	1	31
40	все это	15	31
41	сказать что	12	30
42	и как	7	30
43	было бы	5	29
44	так и	14	29
45	как и	19	28
46	никогда не	6	27
47	в виду	2	26
48	не в	8	26
49	есть и	8	26
50	говорить о	5	25
51	и то	2	25
52	и пр	1	25
53	есть только	1	25
54	есть не	1	25
55	мифологии и	1	24
56	но это	10	24
57	если бы	2	24
58	таким образом	20	23
59	в то	17	23
60	это и	10	23
61	и вот	4	23
62	что не	4	21
63	в чем	6	21
64	должна быть	1	21
65	и с	18	20
66	о том	8	20
67	что и	8	20
68	что все	4	20
69	в таком	2	20
70	только в	6	20
71	только тогда	1	20
72	уже не	1	20
73	как раз	5	20
74	и вообще	3	20
75	в самом	7	19
76	не менее	4	19
77	не существует	1	19
78	в своем	13	19
79	и притом	2	19
80	и это	5	19
81	как это	5	19
82	тогда когда	3	19
83	и его	19	19
84	же время	14	18
85	хотя бы	2	18
86	не что	1	18
87	с другой	3	18
88	что иное	1	18
89	ни на	1	18
90	жизни и	11	18
91	иное как	1	18
92	в особенности	7	17
93	можно сказать	4	17
94	в сущности	13	17
95	той или	1	17
96	в основе	6	17
97	но если	1	17
98	кроме того	11	16
99	то это	1	16
100	одно и	1	16
101	к нему	5	16
102	есть просто	1	16
103	тем не	1	16
104	в своей	6	16
105	да и	2	16
106	нет ничего	1	16
107	конечно не	5	16
108	мы не	6	16
109	об этом	5	16
110	другими словами	3	16
111	же и	2	15
112	ровно ничего	2	15
113	все же	7	15
114	так же	13	15
115	то в	3	15
116	и мы	1	15
117	несмотря на	3	15
118	мы уже	13	15
119	но только	1	15
120	как таковой	1	15
121	самом деле	6	15
122	хотя и	6	15
123	в виде	1	15
124	также и	11	15
125	быть и	1	15
126	и о	8	15
127	на то	2	15
128	а именно	2	14
129	даже и	1	14
130	с ним	6	14
131	не было	3	14
132	и ее	2	14
133	ни с	2	14
134	жизнь и	5	14
135	на свете	1	14
136	и потому	1	14
137	и только	2	14
138	же это	1	14
139	и к	7	13
140	говорит о	1	13
141	другой стороны	2	13
142	что именно	1	13
143	что они	3	13
144	в смысле	1	13
145	он не	9	13
146	и та	2	13
147	в силу	1	13
148	с ее	7	13
149	ни о	2	13
150	но в	20	13
151	мы находим	5	13
152	в ней	10	13
153	вы не	1	13
154	именно в	5	12
155	с этим	6	12
156	но как	1	12
157	но не	6	12
158	могут быть	1	12
159	никак не	3	12
160	не могут	3	12
161	перед нами	6	12
162	еще не	5	12
163	и если	3	12
164	и тогда	1	12
165	и тут	1	12
166	всегда есть	1	12
167	все эти	12	12
168	тем более	3	12
169	и ни	3	12
170	и жизни	2	12
171	а в	4	12
172	в них	12	11
173	от всего	1	11
174	как только	1	11
175	в данном	4	11
176	только на	1	11
177	что я	1	11
178	не о	1	11
179	из них	5	11
180	есть ли	1	11
181	та же	2	11
182	мы говорим	1	11
183	от того	3	11
184	ничем не	1	11
185	в вечности	1	11
186	или в	3	11
187	есть в	5	11
188	нисколько не	4	11
189	его не	5	11
190	только то	1	11
191	в одну	1	11
192	во всем	1	10
193	в душе	1	10
194	с этой	1	10
195	одно из	2	10
196	в результате	5	10
197	в жизни	4	10
198	веры и	1	10
199	к тому	4	10
200	во всяком	1	10
201	для того	8	10
202	можно ли	1	10
203	мы видим	6	10
204	ни того	2	10
205	в ее	2	10
206	от этого	2	10
207	и для	4	10
208	если же	2	10
209	что для	1	10
210	чтобы не	2	10
211	за пределы	4	10
212	времени и	4	10
213	если мы	3	10
214	история есть	1	10
215	только о	2	10
216	нет ни	2	10
217	в его	17	10
218	в их	4	10
219	это было	4	10
220	в частности	4	10
221	и можно	1	10
222	как мы	16	10
223	как будто	2	10
224	при этом	5	9
225	тому что	1	9
226	случае не	1	9
227	не как	3	9
228	и на	12	9
229	мир и	5	9
230	в котором	3	9
231	в одном	7	9
232	и когда	1	9
233	превращается в	5	9
234	и он	4	9
235	мы можем	5	9
236	не нуждается	2	9
237	же как	4	9
238	бы в	5	9
239	на этом	7	9
240	общего с	1	9
241	и по	3	9
242	утверждать что	1	9
243	подобно тому	2	9
244	с ними	1	9
245	то время	4	9
246	все на	1	9
247	и более	1	9
248	той же	6	9
249	всех этих	9	9
250	и от	6	9
251	или иной	1	9
252	смысл и	1	9
253	между собою	6	9
254	имеется в	2	9
255	как он	3	9
256	в истории	2	9
257	тому как	2	9
258	от него	2	8
259	даже в	5	8
260	в разных	2	8
261	и говорить	1	8
262	в отношении	2	8
263	но все	2	8
264	теперь мы	1	8
265	в дальнейшем	2	8
266	вот почему	1	8
267	уже и	3	8
268	то как	1	8
269	нет и	4	8
270	все время	3	8
271	себя в	1	8
272	с одной	2	8
273	не будет	2	8
274	что эта	3	8
275	в этой	13	8
276	в одной	3	8
277	один из	6	8
278	и из	1	8
279	не на	1	8
280	но вот	1	8
281	ничего общего	1	8
282	в поэзии	3	8
283	одна и	1	8
284	же вы	2	8
285	у нас	3	8
286	на самом	8	8
287	бы и	2	8
288	как нечто	1	8
289	и без	3	8
290	только и	1	8
291	бы только	1	8
292	но она	5	8
293	если она	1	8
294	все что	3	7
295	как она	1	7
296	есть именно	1	7
297	тем что	3	7
298	зависимости от	1	7
299	но он	5	7
