N	2gram	Medvedev_F	Vvedenie
1	и т	22	45
2	т е	50	40
3	т д	11	39
4	в том	17	38
5	в этом	39	35
6	и в	54	35
7	может быть	30	30
8	том что	3	30
9	не только	14	26
10	для того	3	23
11	того чтобы	4	22
12	таким образом	28	21
13	также и	1	20
14	не может	26	19
15	то что	14	19
16	потому что	2	18
17	только в	6	16
18	со стороны	7	16
19	о том	1	16
20	так как	4	15
21	языка и	13	15
22	в общем	8	14
23	что в	10	13
24	в самом	17	13
25	и не	34	13
26	в нем	25	13
27	в его	30	12
28	того что	7	12
29	в их	16	12
30	точки зрения	21	12
31	что такое	2	12
32	как на	5	12
33	то же	16	11
34	в ее	10	11
35	по себе	10	11
36	в данном	2	11
37	этом смысле	3	11
38	ясно что	3	11
39	как мы	10	11
40	прежде всего	34	10
41	не в	16	10
42	вопрос о	3	10
43	между тем	4	10
44	в той	3	10
45	уже и	1	10
46	но в	9	10
47	науки о	4	9
48	как об	1	9
49	тем не	2	9
50	смысле этого	4	9
51	все же	8	9
52	из этих	4	9
53	но не	5	9
54	и как	6	9
55	не менее	12	9
56	в истории	10	9
57	это не	4	8
58	в качестве	2	8
59	именно в	12	8
60	а только	4	8
61	широком смысле	3	8
62	можно было	1	8
63	с другой	8	8
64	представить себе	1	7
65	и то	1	7
66	до сих	7	7
67	смысле слова	1	7
68	в применении	4	7
69	в большей	1	7
70	в широком	5	7
71	как и	18	7
72	самом деле	12	7
73	но и	18	7
74	сих пор	7	7
75	было бы	10	7
76	только как	3	7
77	этот вопрос	2	7
78	как бы	10	7
79	той мере	1	6
80	один из	4	6
81	этом случае	1	6
82	к истории	2	6
83	все это	11	6
84	не могут	8	6
85	его в	5	6
86	на этот	1	6
87	тем что	6	6
88	с тем	11	6
89	в какой	3	6
90	а именно	3	6
91	вместе с	8	6
92	науки в	1	6
93	и историей	1	6
94	же время	13	6
95	и это	4	6
96	так например	3	6
97	вовсе не	18	6
98	уже не	9	6
99	мере в	1	6
100	применении к	4	6
101	и даже	7	6
102	в руки	1	6
103	хотя бы	10	6
104	нельзя не	1	6
105	каждой из	3	6
106	и что	2	6
107	как он	2	6
108	о языке	4	6
109	сказать что	3	6
110	что история	1	6
111	могут быть	7	6
112	том чтобы	3	6
113	но если	1	6
114	и его	27	6
115	в то	14	6
116	а в	11	6
117	культуры как	1	6
118	истории языка	1	6
119	иное как	1	6
120	связь между	1	5
121	на почве	20	5
122	этого понятия	1	5
123	уже в	1	5
124	с этой	4	5
125	хотя и	3	5
126	язык как	8	5
