N	2gram	Vinokur_Vv	ViktorSh
1	конце концов	2	2
2	в конце	3	2
3	и в	35	2
4	в том	38	2
5	том что	30	2
6	в другом	3	1
7	все время	2	1
8	но это	2	1
9	одно и	2	1
10	история языка	2	1
11	том же	2	1
12	по существу	2	1
13	ведь это	1	1
14	а отсюда	2	1
15	главным образом	1	1
16	в самом	13	1
17	как же	1	1
18	чем больше	2	1
19	не одно	1	1
20	и т.д	5	1
21	для них	2	1
22	а только	8	1
23	от других	2	1
24	именно в	8	1
25	что сами	1	1
26	все то	1	1
27	ни к	2	1
28	имеется в	1	1
29	другое дело	3	1
30	самом деле	7	1
31	другом месте	2	1
32	и составляет	1	1
33	ясно что	11	1
34	материалов и	2	1
35	с большой	1	1
36	в частности	3	1
37	чем к	1	1
38	и то	7	1
39	крайней мере	4	1
40	и заключается	4	1
41	этом и	1	1
42	техники и	1	1
43	стоит на	1	1
44	время в	2	1
45	и его	6	1
46	теснейшим образом	1	1
47	как говорили	1	1
48	бы уже	1	1
49	значительной степени	1	1
50	хотя бы	6	1
51	других и	1	1
52	не даром	1	1
53	по поводу	1	1
54	или без	1	1
55	далеко не	1	1
56	тем более	2	1
57	по крайней	4	1
58	впрочем не	1	1
59	в которых	6	1
60	говорится в	1	1
61	к этому	3	1
62	о теории	1	1
63	только в	16	1
64	одном и	1	1
65	потому что	18	1
66	в значительной	3	1
67	в их	12	1
68	в пылу	1	1
69	то же	11	1
70	и том	1	1
71	и не	13	1
72	деле как	2	1
73	гораздо более	3	1
74	дело в	5	1
75	да и	4	1
76	в этом	35	1
77	так как	15	1
78	все это	6	1
79	совершенно ясно	1	1
